Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
A,0.5,0.3,0.4,0.5,0.3,0.5,0.5,0.3,0.5,0.3,0.5,0.3333333333333333,0.5,0.2,0.5,0.5,0.5,0.5,0.2,0.5,0.5
B,0.0,0.3,0.0,0.8,0.0,0.0,0.0,0.3,0.4,0.0,0.8,0.0,0.6,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.4
C,0.0,0.4,0.0,0.6,0.4,0.0,1.0,0.4,0.6,0.5999999939999999,1.0,0.0,0.4,0.6,0.1,0.0,0.3999999999999999,1.0,0.2,0.6,0.6
D,0.0,0.6,0.4,1.0,0.05,0.0,1.0,0.6,1.0,0.0,1.0,0.0,0.8,0.4,0.4,0.0,0.6,1.0,0.025,1.0,0.8
E,0.0,0.6,0.4,0.6,0.0,0.0,0.0,0.6,0.6,0.0,1.0,0.0,0.4,0.4,0.4,0.0,0.6,1.0,0.0,1.0,0.8
F,0.0,0.1333333333333333,0.0,0.2666666666666666,0.0,0.0,0.0,0.1333333333333333,0.2666666666666666,0.0,0.1999999999999999,0.0,0.1999999999999999,0.1999999999999999,0.0666666666666666,0.0,0.1333333333333333,0.1999999999999999,0.0666666666666666,0.1999999999999999,0.0
G,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.2,0.0,1.0,0.2,0.0,0.0,0.2,0.8,0.0,0.6,0.0,0.8,0.3,0.2,0.0,0.2,0.6,0.2,0.3,0.6
I,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.2
J,0.0,0.2,0.16,0.24,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.08
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.0,0.4,0.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0
M,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.2666666666666666,0.0,0.2666666666666666,0.0,0.1999999999999999,0.0,0.0,0.0,0.0,0.2666666666666666,0.0,0.1999999999999999,0.1333333333333333
O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,0.0666666666666666,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.1999999999999999,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.0
R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.4
S,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.2,0.6,0.0,0.6,0.0,0.4,0.6,0.0,0.0,0.0,0.6,0.2,0.6,0.4
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
