Ecosystem service,Asset,Driver,Influence
Animal-based energy,Species,Diseases,1.0
Animal-based energy,Species,Droughts,0.666667
Bio-remediation,Habitats,Habitat modification,1.0
Bio-remediation,Species,Habitat modification,1.0
Bio-remediation,Species,Invasive species,0.666667
Bio-remediation,Habitats,Pollution,0.666667
Bio-remediation,Species,Pollution,0.666667
Bio-remediation,Species,Weather conditions,0.666667
Buffering and attenuation of mass flows,Habitats,Droughts,1.0
Buffering and attenuation of mass flows,Soils and sediments,Droughts,0.666667
Buffering and attenuation of mass flows,Habitats,Flooding,1.0
Buffering and attenuation of mass flows,Land geomorphology,Flooding,1.0
Buffering and attenuation of mass flows,Soils and sediments,Flooding,0.666667
Buffering and attenuation of mass flows,Habitats,Habitat modification,1.0
Buffering and attenuation of mass flows,Habitats,Habitat modification,1.0
Buffering and attenuation of mass flows,Land geomorphology,Habitat modification,0.666667
Buffering and attenuation of mass flows,Soils and sediments,Habitat modification,0.666667
Buffering and attenuation of mass flows,Soils and sediments,Habitat modification,0.666667
Buffering and attenuation of mass flows,Habitats,Industrial or domestic activities,0.666667
Buffering and attenuation of mass flows,Land geomorphology,Industrial or domestic activities,0.666667
Buffering and attenuation of mass flows,Soils and sediments,Industrial or domestic activities,0.666667
Buffering and attenuation of mass flows,Soils and sediments,Intensive agriculture and aquaculture,0.666667
Buffering and attenuation of mass flows,Soils and sediments,Intensive agriculture and aquaculture,0.666667
Buffering and attenuation of mass flows,Habitats,Landslides,1.0
Buffering and attenuation of mass flows,Land geomorphology,Landslides,0.666667
Buffering and attenuation of mass flows,Soils and sediments,Landslides,0.666667
Buffering and attenuation of mass flows,Habitats,Storms,1.0
Buffering and attenuation of mass flows,Soils and sediments,Storms,0.666667
Buffering and attenuation of mass flows,Habitats,Weather conditions,1.0
Buffering and attenuation of mass flows,Habitats,Weather conditions,1.0
Buffering and attenuation of mass flows,Soils and sediments,Weather conditions,0.666667
Buffering and attenuation of mass flows,Soils and sediments,Weather conditions,0.666667
Climate regulation,Atmosphere,Habitat modification,1.0
Climate regulation,Habitats,Habitat modification,1.0
Climate regulation,Habitats,Habitat modification,1.0
Climate regulation,Habitats,Habitat modification,1.0
Climate regulation,Habitats,Habitat modification,1.0
Climate regulation,Soils and sediments,Habitat modification,0.666667
Climate regulation,Soils and sediments,Habitat modification,0.666667
Climate regulation,Species,Habitat modification,1.0
Climate regulation,Species,Habitat modification,1.0
Climate regulation,Water,Habitat modification,1.0
Climate regulation,Water,Habitat modification,1.0
Climate regulation,Habitats,Industrial or domestic activities,0.666667
Climate regulation,Habitats,Industrial or domestic activities,0.666667
Climate regulation,Soils and sediments,Industrial or domestic activities,0.666667
Climate regulation,Soils and sediments,Industrial or domestic activities,0.666667
Climate regulation,Water,Industrial or domestic activities,1.0
Climate regulation,Atmosphere,Industrial or domestic construction,0.666667
Climate regulation,Habitats,Industrial or domestic construction,0.666667
Climate regulation,Water,Industrial or domestic construction,1.0
Climate regulation,Habitats,Ocean current and circulation,1.0
Climate regulation,Habitats,Ocean current and circulation,1.0
Climate regulation,Water,Ocean current and circulation,0.3333333
Climate regulation,Water,Ocean current and circulation,0.3333333
Climate regulation,Soils and sediments,Overharvesting,0.666667
Climate regulation,Soils and sediments,Overharvesting,0.666667
Climate regulation,Species,Overharvesting,0.666667
Climate regulation,Species,Overharvesting,0.666667
Climate regulation,Habitats,Sea level rise,1.0
Climate regulation,Water,Sea level rise,0.666667
Climate regulation,Habitats,Sea surface temperature,0.666667
Climate regulation,Soils and sediments,Sea surface temperature,0.666667
Climate regulation,Species,Sea surface temperature,1.0
Climate regulation,Water,Sea surface temperature,1.0
Climate regulation,Atmosphere,Weather conditions,1.0
Climate regulation,Habitats,Weather conditions,1.0
Climate regulation,Habitats,Weather conditions,1.0
Climate regulation,Soils and sediments,Weather conditions,0.666667
Climate regulation,Species,Weather conditions,0.666667
Climate regulation,Water,Weather conditions,1.0
Dilution by atmosphere and ecosystems,Water,Droughts,1.0
Dilution by atmosphere and ecosystems,Atmosphere,Human movement,1.0
Dilution by atmosphere and ecosystems,Atmosphere,Industrial or domestic activities,1.0
Dilution by atmosphere and ecosystems,Ocean geomorphology,Industrial or domestic activities,0.666667
Dilution by atmosphere and ecosystems,Water,Industrial or domestic activities,1.0
Dilution by atmosphere and ecosystems,Water,Industrial or domestic construction,1.0
Dilution by atmosphere and ecosystems,Water,Ocean current and circulation,0.3333333
Dilution by atmosphere and ecosystems,Water,Pollution,1.0
Dilution by atmosphere and ecosystems,Water,Storms,1.0
Dilution by atmosphere and ecosystems,Water,Water abstraction,1.0
Dilution by atmosphere and ecosystems,Atmosphere,Weather conditions,1.0
Dilution by atmosphere and ecosystems,Water,Weather conditions,1.0
Disease control,Habitats,Habitat modification,1.0
