Production process,Disturbances,Freshwater ecosystem use,GHG emissions,Marine ecosystem use,Non-GHG air pollutants,Other resource use,Soil pollutants,Solid waste,Terrestrial ecosystem use,Water pollutants,Water use
Airport services,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.8,0.0,0.8,0.8
Airport services,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.8,0.0,0.8,0.8
Alcoholic fermentation and distilling,0.0,0.0,0.8,0.0,0.0,0.6,0.8,0.8,0.0,0.8,0.8
Alcoholic fermentation and distilling,0.0,0.0,0.8,0.0,0.0,0.6,0.8,0.8,0.0,0.8,0.8
Alumina refining,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.8,0.0,0.8,1.0
Aquaculture,0.0,1.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.8,0.0
Biomass energy production,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.8,0.0,0.8,0.8
Cable and satellite installations on land,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
Cable and satellite installations on land,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
"Catalytic cracking, fractional distillation and crystallization",0.0,0.0,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8
"Catalytic cracking, fractional distillation and crystallization",0.0,0.0,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8
"Catalytic cracking, fractional distillation and crystallization",0.0,0.0,0.8,0.0,0.8,0.0,0.8,0.8,0.8,0.8,0.8
Construction,0.8,0.8,0.8,0.0,0.8,0.0,0.6,0.8,1.0,0.6,0.8
Construction,0.8,0.8,0.8,0.0,0.8,0.0,0.6,0.8,1.0,0.6,0.8
Construction materials production,0.8,0.8,0.8,0.8,0.6,0.0,0.0,0.8,1.0,0.6,0.8
Cruise line provision,0.0,0.0,0.8,0.6,0.4,0.0,0.0,0.6,0.0,0.8,0.6
Cryogenic air separation,0.8,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.6,0.8
Distribution,0.8,0.0,0.8,0.6,0.8,0.0,0.4,0.0,0.0,0.4,0.0
Distribution,0.8,0.0,0.8,0.6,0.8,0.0,0.4,0.0,0.0,0.4,0.0
Distribution,0.8,0.0,0.8,0.6,0.8,0.0,0.4,0.0,0.0,0.4,0.0
Distribution,0.8,0.0,0.8,0.6,0.8,0.0,0.4,0.0,0.0,0.4,0.0
Distribution,0.8,0.0,0.8,0.6,0.8,0.0,0.4,0.0,0.0,0.4,0.0
Distribution,0.8,0.0,0.8,0.6,0.8,0.0,0.4,0.0,0.0,0.4,0.0
Electric/nuclear power transmission and distribution,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0
Electric/nuclear power transmission and distribution,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0
Electronics and hardware production,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.8,0.0
Electronics and hardware production,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.8,0.0
Electronics and hardware production,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.8,0.0
Electronics and hardware production,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.8,0.0
Electronics and hardware production,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.8,0.0
Electronics and hardware production,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.8,0.0
Electronics and hardware production,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.0,0.8,0.0
Environmental and facilities services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Fibre-optic cable installation (marine),0.8,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Financial services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Footwear production,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.6,0.0,0.6,0.8
Freshwater wild-caught fish,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0
Gas adsorption,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gas distribution,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Gas retail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Geothermal energy production,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.8,1.0
Glass making,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.4,0.0,0.8,1.0
Hotels and resorts provision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Houseware and specialities production,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.6,0.0,0.6,1.0
Hydropower production,0.0,1.0,0.8,0.0,0.0,0.0,0.8,0.0,1.0,0.8,1.0
Hydropower production,0.0,1.0,0.8,0.0,0.0,0.0,0.8,0.0,1.0,0.8,1.0
Hydropower production,0.0,1.0,0.8,0.0,0.0,0.0,0.8,0.0,1.0,0.8,1.0
Incomplete combustion,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8
Infrastructure builds,0.8,0.8,0.8,1.0,0.8,0.0,0.8,0.6,1.0,0.6,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
Infrastructure holdings,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.6,0.0,0.8,0.8
