Impact Driver,Driver,Asset,Influence,"Likely response	",Effect of variability,"Human action or natural variation	",Timescale,Spatial Characteristics
Disturbances,Pollution,Habitats,A,Habitat degradation and reduction or interruption of algal species’ ability to perform bio-remediation.,Decreased bio-remediation due to decreased ability of algae to perform bio-remediation.,Human action,Short term,Local
Disturbances,Pollution,Atmosphere,R,"Alters conditions: temperature, humidity, rainfall","Pollution may alter presence and conditions of urban and suburban vegetation, may diminish plants’ capacity of gas absorption.",Human action,Short-Mid-term,Global
Disturbances,Pollution,Water,R,Reduction in dilution service potential.,"Both point and non-point source pollutants results in eutrophication and coastal economic damage, e.g. beach closures.",Human action,Short term,Coastal ecosystems
Disturbances,Pollution,Soils and sediments,A,Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,"Acid rain and pollution, acidity in air, etc. alters weathering agents in the environment (water, soil, air).",Human action,Long term,Local-Global
Disturbances,Pollution,Species,A,Habitat degradation and reduction or interruption of algal species’ ability to perform bio-remediation.,Decreased bio-remediation due to decreased ability of algae to perform bio-remediation.,Human action,Short term,Local
Disturbances,Population changes,Species,A,Resistance to biological control measures,"Loss of efficiency of biological control agents against plant pathogens, e.g. fungicide resistance in fungal plant pathogens.",Natural variation,Long term,Global
Disturbances,Volcanoes,Minerals,R,Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Disturbances,Volcanoes,Soils and sediments,R,Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Disturbances,Volcanoes,Land geomorphology,A,Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Disturbances,Volcanoes,Species,A,"Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.Human actionLong termLocal",,,,
Freshwater ecosystem use,Diseases,Species,R,"Draught animals are rarely kept in herds, often kept apart from other animals, and are often in remote areas but may travel considerable distances and congregate in local markets. When an animal dies in the middle of a cultivation season it is difficult to borrow or hire another, because animal power is in demand. Ultimately reduced work output can be reflected in reduced farm productivity.","Service provision will decline in infected animals, e.g. cost of working oxen affected by bovine dermatophilosis in Zambia was USD 193 per affected ox.",Natural variation,Short term,Global
Freshwater ecosystem use,Flooding,Habitats,R,Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural variation,Short term,Global
Freshwater ecosystem use,Flooding,Land geomorphology,R,Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural variation,Short term,Global
Freshwater ecosystem use,Flooding,Water,R,Decreases in the number of plants along a water course. Physical alteration of water bodies.,"Reduced number of seed dispersing plants. Changes to the distance and direction of seed dispersal through water bodies, resulting in decreased seed dispersal in the case of long term flooding, or increased seed dispersal in the case of short term flooding.",Natural variation,Short term,Local
Freshwater ecosystem use,Flooding,Soils and sediments,A,Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural variation,Short term,Global
Freshwater ecosystem use,Flooding,Species,A,"Climate change driven rising temperatures, changes in rainfall patterns and an increase in extreme weather events threatens fodder crop production.","Models suggest substantial risks to the volume, volatility, and quality of animal feed supply chains despite some gains in productivity.",Human action,Long-term,Global
Freshwater ecosystem use,Habitat modification,Habitats,R,"Habitat degradation and loss of plant species, thus reducing the number of plants available to perform phyto-remediation.",Decreased ability of plants to perform phyto-remediation.,Human action,Short term,Local
Freshwater ecosystem use,Habitat modification,Atmosphere,R,Conversion of wetlands for commercial purposes and resource extraction leads to loss of regional climate regulating function.,Conversion of wetlands causes the average temperature to increase by 0.77?C in all four seasons.,Human action,Medium term,Global
Freshwater ecosystem use,Habitat modification,Minerals,R,"Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Freshwater ecosystem use,Habitat modification,Species,R,"Habitat degradation and loss of plant species, thus reducing the number of plants available to perform phyto-remediation.",Decreased ability of plants to perform phyto-remediation.,Human action,Short term,Local
