Ecosystem service,Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Animal-based energy,Species,Diseases,R,"Disease vectors and pathogens can impact all species, and cause dramatic shifts in community structure, biodiversity ecosystem function and services, and human health. However, individual responses to diseases varies by species. Increased connectivity of global human populations has increased the frequency and magnitude of disease outbreaks.","Draught animals are rarely kept in herds, often kept apart from other animals, and are often in remote areas but may travel considerable distances and congregate in local markets. When an animal dies in the middle of a cultivation season it is difficult to borrow or hire another, because animal power is in demand. Ultimately reduced work output can be reflected in reduced farm productivity.","Service provision will decline in infected animals, e.g. cost of working oxen affected by bovine dermatophilosis in Zambia was USD 193 per affected ox.",Natural variation,Short term,Global
Animal-based energy,Species,Droughts,A,Species are highly susceptible to droughts as most are dependent on water resources for survival. Droughts have been observed to increase in frequency and intensity over the last 60 years and they are expected to increase over the next 100.,Change in service demand based on climate change impacts on water availability.,"The adaptability of the animals to climatic changes will determine the availability of the provision of the service. Animals which adapt faster to climate extremes, e.g. to aridity will maintain provision of the service. are most suited to particular areas. Already drought resistant animals (notably donkeys) are becoming increasingly appreciated in the drought affected areas of southern, eastern and western Africa. Over time though, animals adapt to grazing and consuming different types of grasses and plant species dependent upon on location, climate and availability.",Human action,Long term,Global
Bio-remediation,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Habitat degradation and loss of plant species, thus reducing the number of plants available to perform phyto-remediation.",Decreased ability of plants to perform phyto-remediation.,Human action,Short term,Local
Bio-remediation,Species,Habitat modification,R,Degradation of habitat quality or quantity can reduce population size and growth rates and elevate the change of local extinction events.,"Habitat degradation and loss of plant species, thus reducing the number of plants available to perform phyto-remediation.",Decreased ability of plants to perform phyto-remediation.,Human action,Short term,Local
Bio-remediation,Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.",Increased populations of sea urchins lead to overgrazing of kelp,Decreased bio-remediation by kelp,Human action,Mid-Long term,Global
Bio-remediation,Habitats,Pollution,A,"Pollution can cause physical and chemical changes to habitats, which reduces provisioning capacity, subsequently impacting species. Habitats have the ability to recover from pollution impacts if not too overloaded with irreversible pollutants, with pollution type and loading level both important. Some habitats are more resilient to the effects of pollution - the relationship is usually context specific, and depends on the habitat, but also the type of contaminant.",Habitat degradation and reduction or interruption of algal species’ ability to perform bio-remediation.,Decreased bio-remediation due to decreased ability of algae to perform bio-remediation.,Human action,Short term,Local
Bio-remediation,Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Habitat degradation and reduction or interruption of algal species’ ability to perform bio-remediation.,Decreased bio-remediation due to decreased ability of algae to perform bio-remediation.,Human action,Short term,Local
Bio-remediation,Species,Weather conditions,A,Temperature increases and extreme weather event lead to impacts on habitats and species composition. Adverse trends are expected to continue with expected increases in temperatures over the next 100 years.,"Increased or decreased availability of solar energy for algae, which affects how well species are able to grow, survive, and perform their bio-remediation function.",Increased or decreased bio-remediation performed by algae. This variation occurs on seasonal or annual basis (e.g. solar radiance is lower in winter or when cloud cover is dense),Natural variation,Short term,Global
Buffering and attenuation of mass flows,Habitats,Droughts,R,"Habitats are highly susceptible to droughts, as water imbalances induce the likelihood of disease, fire, wind erosion, insect infestation and losses in vegetative productivity. Droughts have become more intensive and frequent in the last 50 years and are projected to follow this trend over the next 100 years, increasing the negative pressures on habitats.",Damage protective vegetation.,Poor vegetation cover. Damage protective vegetation.,Human action,Short term,Local
Buffering and attenuation of mass flows,Soils and sediments,Droughts,A,"Droughts can have a high impact on soil health, reducing fertility, causing changes in water balance, nutrient balance, biotic community, soil organic matter, and other biological and chemical properties. They also alters the physical characteristics of soil, like compaction, erodibility, and stability. These impacts are dependent on soil conditions, and length of droughts, which are both highly variable.",Damage protective vegetation.,Poor vegetation cover. Damage protective vegetation.,Human action,Short term,Local
Buffering and attenuation of mass flows,Habitats,Flooding,R,"Freshwater habitats are highly susceptible to floods through geomorphological change and invasive species introduction. Consequently, it is expected that there will be a negative change in habitat due to increased frequency of floods. Flood events have increased in intensity and duration since the early 2000s and are expected to increase in the future with enhanced frequency directly impacting habitats.",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural variation,Short term,Global
Buffering and attenuation of mass flows,Land geomorphology,Flooding,R,"Floods impact land geomorphology by altering the natural flow of water bodies, moving large volumes of soil and sediments, deposit of sediments, washing away of rock fragments; they also indirectly cause change through erosion, habitat change and changes in soil.",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural variation,Short term,Global
Buffering and attenuation of mass flows,Soils and sediments,Flooding,A,"Floods decrease the stability of soils and cause changes incomposition. Oxygen availability is also affected by extended flooding and causes a shift in nutrient cycling, affecting soil processes in return.",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural variation,Short term,Global
Buffering and attenuation of mass flows,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Deforestation, reduction in vegetation cover",Decreases stability and resistance of topsoil. No barriers for buffering and attenuation.,Human action,Short-Mid-term,Local
Buffering and attenuation of mass flows,Habitats,Habitat modification,R,"Habitat modification directly impacts habitats: altering landscapes and communities through reducing population sizes and fragmenting ranges by imposing physical or biological barriers to dispersal. Habitats vary in resilience however, therefore impacts differ.","Deforestation, reduction in vegetation cover",Decreases stability and resistance of top-soil. Reduction of erosion control.,Human action,Short-Mid-term,Local
Buffering and attenuation of mass flows,Land geomorphology,Habitat modification,A,"Habitat changes such as deforestation, can indirectly alter land forms by exposing land to erosion and landslides, one of the main drivers of land form alterations.","Diversion of drainage furrows, waterways, dam by washes, etc.",Run-off concentration. Increase soil break up and vulnerability to erosion leading to loss of service.,Human action,Short-Mid-term,Local
Buffering and attenuation of mass flows,Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.","Diversion of drainage furrows, waterways, dam by washes, etc.",Run-off concentration. Increase soil break up and vulnerability to erosion leading to loss of service.,Human action,Short-Mid-term,Local
Buffering and attenuation of mass flows,Soils and sediments,Habitat modification,A,"Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Habitat modification is expected to worsen as a result of demographic and economic growth, leading to adverse long term trends for soils and sediments.","Diversion of drainage furrows, waterways, dam by washes, etc.",Run-off concentration. Increased soil break up and vulnerability to water erosion.,Human action,Short-Mid-term,Local
Buffering and attenuation of mass flows,Habitats,Industrial or domestic activities,A,"As with the impacts from construction, habitat quantity and quality is anticipated to decline in the long term, as a result of pressures from economic development. The mechanisms by which industrial or domestic activities drive change in habitats are often complex, and there is some uncertainty. Some habitats are more resilient to impacts than others, therefore there is variabilty in responses. ",Strong wave action by boats,Coastal systems such as mangrove forests could be damaged.,Human action,Short term,Local
Buffering and attenuation of mass flows,Land geomorphology,Industrial or domestic activities,A,"Intentional activities (eg. mining, construction, industry, waste generation, and construction of roads, canals, etc) and unintentional activities (e.g. erosion related to habitat modification) result in significant changes to the earth's subsurface. Human impacts on geomorphological processes and structures are increasing in amount and strength through time.",Strong wave action by boats,Coastal systems such as mangrove forests could be damaged.,Human action,Short term,Local
Buffering and attenuation of mass flows,Soils and sediments,Industrial or domestic activities,A,"Industrial activities and urbanisation are key sources of local soil contamination. Intensive activites such as inadequate waste disposal, and industry accidents can cause excessive contamination of soils. Urbanisation and industralisation also increases acid deposition in soils, changes in soil nutrients and soil water.",Strong wave action by boats,Coastal systems such as mangrove forests could be damaged.,Human action,Short term,Local
Buffering and attenuation of mass flows,Soils and sediments,Intensive agriculture and aquaculture,A,"Intensification in agricultural land-use and the use of inorganic fertlisers have a great impact on soil degradation and quality. Modern agricultural practices such as machine tilling change soil structure and reduce fertility. The damage depends largely on soil type and other factors. Agrochemicals cause soil pollution, changes in soil acidification, salinity, nutrient and water balance and soil biodiversity.",Changes soil properties,Changes soil water retention properties thus increases susceptibility to water or wind erosion.,Human action,Short-Mid-term,Local
Buffering and attenuation of mass flows,Soils and sediments,Intensive agriculture and aquaculture,A,"Intensification in agricultural land-use and the use of inorganic fertlisers have a great impact on soil degradation and quality. Modern agricultural practices such as machine tilling change soil structure and reduce fertility. The damage depends largely on soil type and other factors. Agrochemicals cause soil pollution, changes in soil acidification, salinity, nutrient and water balance and soil biodiversity.",Changes soil properties,Changes soil water retention properties thus increases susceptibility to water or wind erosion.,Human action,Short-Mid-term,Local
Buffering and attenuation of mass flows,Habitats,Landslides,R,Habitats are increasingly subjected to changes as a result of geological changes induced by mass flows. Studies have shown increases in the frequency and intensity of the associated processes as a result of  human activities. Grassland and freshwater aquatic habitats are highly susceptible to the disruption in nutrient balances and water quality that mass flows cause.,"Earth movements, alteration of slope steepness, slope length and slope morphology.","Increased soil break up and vulnerability to water erosion. The speed of runoff increases on steep slopes, which increases the power of water to break off and carry soil particles.",Natural variation,Short term,Local
Buffering and attenuation of mass flows,Land geomorphology,Landslides,A,"Erosion and landslides have significant impacts on hillslope morphology, river channels, valley floors, etc, and cause changes in structural elements such as elevation, relief, and slope. Susceptibility depends largely on length and angle of slope, soil and structural characteristics and strength of impact, thus there is variability in the response of the asset to this driver, but it is low. ","Earth movements, alteration of slope steepness, slope length and slope morphology.","Increased soil break up and vulnerability to water erosion. The speed of runoff increases on steep slopes, which increases the power of water to break off and carry soil particles.",Natural variation,Short term,Local
Buffering and attenuation of mass flows,Soils and sediments,Landslides,A,"Geological changes have direct negative effects on fertility and water availability, among others. Soil susceptibility to geological changes is variable and depends on various physical, biotic and chemical properties, while the erodibility of soil is highly dependent on external factors such as vegetation.","Earth movements, alteration of slope steepness, slope length and slope morphology.","Increased soil break up and vulnerability to water erosion. The speed of runoff increases on steep slopes, which increases the power of water to break off and carry soil particles.",Natural variation,Short term,Local
Buffering and attenuation of mass flows,Habitats,Storms,R,"Storms can have strong negative impacts on specific types of habitats such as shallow coral reefs. Storm intensity and frequency is expected to increase over the next 100 years  with tropical storms predicted to increase in intensity by 2-11%. There is, however, a high level of variability in habitat responses to storms.",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural variation,Short term,Global
Buffering and attenuation of mass flows,Soils and sediments,Storms,A,"Storms drive soil erosion by changes in rainfall and wind intensity, runoff and loss of structural stability. Runoff can cause loss of nutrients and fertility. Susceptibility depends on soil properties and driver intensity, leading to variability in impact. ",Loss of cover due to event induced tree throw. Wave action generated by winds.,Damage protective vegetation.,Natural variation,Short term,Global
Buffering and attenuation of mass flows,Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Rainfall intensity,Risk as heavy raindrops on bare soil causes soil surface to seal increasing erodibility. Increased soil break up and vulnerability to water erosion.,Natural variation,Short term,Local
Buffering and attenuation of mass flows,Habitats,Weather conditions,R,"Weather conditions affect habitats in many ways. Increased temperatures have, for example, led to changes in vegetation composition, whilst extreme weather events have affected of habitats globally. Alterations of existing habitats are therefore expected to increase over the next 100 years with predicted increases in temperatures and changes in climatic conditions.",Rainfall intensity,Risk as heavy raindrops on bare soil causes soil surface to seal increasing erodibility.,Natural variation,Short term,Local
Buffering and attenuation of mass flows,Soils and sediments,Weather conditions,A,"Soils and sediments can be dried out and rearranged by strong winds. As soil is dried out, plant growth is reduced, which reduces the stability of the surface layer and leads to erosion. Desertification is a more extreme version of this process, where soils that lose stable plant communities become unstable themselves, and subsequently start to shift around. In contrast, increases in precipitation can cause changes to soil texture and structure, with increases in run-off causing reduction in top soil (which is often the most productive part of the soil).",Rainfall intensity,Risk as heavy raindrops on bare soil causes soil surface to seal increasing erodibility. Increased soil break up and vulnerability to water erosion.,Natural variation,Short term,Local
Buffering and attenuation of mass flows,Soils and sediments,Weather conditions,A,"Soils and sediments can be dried out and rearranged by strong winds. As soil is dried out, plant growth is reduced, which reduces the stability of the surface layer and leads to erosion. Desertification is a more extreme version of this process, where soils that lose stable plant communities become unstable themselves, and subsequently start to shift around. In contrast, increases in precipitation can cause changes to soil texture and structure, with increases in run-off causing reduction in top soil (which is often the most productive part of the soil).",Rainfall intensity,Risk as heavy raindrops on bare soil causes soil surface to seal increasing erodibility.,Natural variation,Short term,Local
