Ecosystem service,Asset,Driver,Influence
Animal-based energy,Species,Diseases,R
Animal-based energy,Species,Droughts,A
Bio-remediation,Habitats,Habitat modification,R
Bio-remediation,Species,Habitat modification,R
Bio-remediation,Species,Invasive species,A
Bio-remediation,Habitats,Pollution,A
Bio-remediation,Species,Pollution,A
Bio-remediation,Species,Weather conditions,A
Buffering and attenuation of mass flows,Habitats,Droughts,R
Buffering and attenuation of mass flows,Soils and sediments,Droughts,A
Buffering and attenuation of mass flows,Habitats,Flooding,R
Buffering and attenuation of mass flows,Land geomorphology,Flooding,R
Buffering and attenuation of mass flows,Soils and sediments,Flooding,A
Buffering and attenuation of mass flows,Habitats,Habitat modification,R
Buffering and attenuation of mass flows,Habitats,Habitat modification,R
Buffering and attenuation of mass flows,Land geomorphology,Habitat modification,A
Buffering and attenuation of mass flows,Soils and sediments,Habitat modification,A
Buffering and attenuation of mass flows,Soils and sediments,Habitat modification,A
Buffering and attenuation of mass flows,Habitats,Industrial or domestic activities,A
Buffering and attenuation of mass flows,Land geomorphology,Industrial or domestic activities,A
Buffering and attenuation of mass flows,Soils and sediments,Industrial or domestic activities,A
Buffering and attenuation of mass flows,Soils and sediments,Intensive agriculture and aquaculture,A
Buffering and attenuation of mass flows,Soils and sediments,Intensive agriculture and aquaculture,A
Buffering and attenuation of mass flows,Habitats,Landslides,R
Buffering and attenuation of mass flows,Land geomorphology,Landslides,A
Buffering and attenuation of mass flows,Soils and sediments,Landslides,A
Buffering and attenuation of mass flows,Habitats,Storms,R
Buffering and attenuation of mass flows,Soils and sediments,Storms,A
Buffering and attenuation of mass flows,Habitats,Weather conditions,R
Buffering and attenuation of mass flows,Habitats,Weather conditions,R
Buffering and attenuation of mass flows,Soils and sediments,Weather conditions,A
Buffering and attenuation of mass flows,Soils and sediments,Weather conditions,A
Climate regulation,Atmosphere,Habitat modification,R
Climate regulation,Habitats,Habitat modification,R
Climate regulation,Habitats,Habitat modification,R
Climate regulation,Habitats,Habitat modification,R
Climate regulation,Habitats,Habitat modification,R
Climate regulation,Soils and sediments,Habitat modification,A
Climate regulation,Soils and sediments,Habitat modification,A
Climate regulation,Species,Habitat modification,R
Climate regulation,Species,Habitat modification,R
Climate regulation,Water,Habitat modification,R
Climate regulation,Water,Habitat modification,R
Climate regulation,Habitats,Industrial or domestic activities,A
Climate regulation,Habitats,Industrial or domestic activities,A
Climate regulation,Soils and sediments,Industrial or domestic activities,A
Climate regulation,Soils and sediments,Industrial or domestic activities,A
Climate regulation,Water,Industrial or domestic activities,R
Climate regulation,Atmosphere,Industrial or domestic construction,A
Climate regulation,Habitats,Industrial or domestic construction,A
Climate regulation,Water,Industrial or domestic construction,R
Climate regulation,Habitats,Ocean current and circulation,R
Climate regulation,Habitats,Ocean current and circulation,R
Climate regulation,Water,Ocean current and circulation,G
Climate regulation,Water,Ocean current and circulation,G
Climate regulation,Soils and sediments,Overharvesting,A
Climate regulation,Soils and sediments,Overharvesting,A
Climate regulation,Species,Overharvesting,A
Climate regulation,Species,Overharvesting,A
Climate regulation,Habitats,Sea level rise,R
Climate regulation,Water,Sea level rise,A
Climate regulation,Habitats,Sea surface temperature,A
Climate regulation,Soils and sediments,Sea surface temperature,A
Climate regulation,Species,Sea surface temperature,R
Climate regulation,Water,Sea surface temperature,R
Climate regulation,Atmosphere,Weather conditions,R
Climate regulation,Habitats,Weather conditions,R
Climate regulation,Habitats,Weather conditions,R
Climate regulation,Soils and sediments,Weather conditions,A
Climate regulation,Species,Weather conditions,A
Climate regulation,Water,Weather conditions,R
