Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
A,0.2614015976761075,0.1873510188389081,0.22794347786062782,0.18810547049870172,0.20037136066547828,0.19436473776502464,0.1948616325963009,0.19092346616065778,0.2029034690799396,0.010457516339869275,0.1939481965625756,0.18971972969978948,0.2615219421101774,0.18911170528817584,0.19403815580286166,0.19651416122004356,0.19850838024978965,0.22358387799564272,0.18765432098765422,0.19132647594556945,0.20923505204550952
B,0.6015226337448559,0.5561437908496731,0.569525299947835,0.500304414003044,0.53243265993266,0.542710027100271,0.5420567375886524,0.5801672640382319,0.5555128205128205,0.0,0.5780384087791496,0.5200564971751412,0.6151322751322752,0.5669640852974186,0.5197197197197198,0.5379811183732751,0.572108544187752,0.5636882716049383,0.5544444444444444,0.5743472981177898,0.6013991769547324
C,0.3376430975622895,0.32630273312982766,0.3011320955405463,0.2733271066290992,0.2780819558681129,0.3172893569002217,0.30555448091134746,0.35125855318084065,0.31940559434615384,0.013636363636363634,0.3557098764539843,0.2972534668158706,0.30755627702121213,0.3416574838393021,0.2886609335859951,0.2968300652877302,0.30886288622382235,0.3082354797260101,0.33623737364814815,0.33318678580452066,0.3643686867912458
D,0.41746961805555555,0.37052313112745094,0.37435904489436617,0.32971960616438356,0.34524591619318185,0.3685022865853658,0.3615400598404255,0.38135710685483876,0.36724008413461534,0.0,0.39213686342592596,0.3512943591101695,0.3982589285714286,0.37666607481060604,0.35221178209459464,0.35667126225490187,0.3758469987623762,0.3719401041666667,0.37529658564814816,0.3790535348360656,0.40071614583333337
E,0.06846846846846844,0.05850556438791731,0.05116102017510465,0.04487226952980377,0.046437346437346434,0.05458141067897162,0.05347901092581938,0.06068003487358322,0.047401247401247376,0.0,0.05645645645645642,0.0439761795693999,0.04169884169884168,0.05896805896805895,0.05084002921840758,0.05500794912559618,0.04913031843724912,0.05405405405405401,0.05645645645645642,0.05795303500221531,0.05645645645645642
F,0.2148148148148148,0.1956427015250544,0.2065727699530516,0.1856925418569253,0.1954545454545454,0.19186991869918696,0.19456264775413704,0.20215053763440863,0.2034188034188034,0.0,0.2032921810699589,0.1939736346516007,0.22984126984126982,0.19831649831649822,0.184984984984985,0.1919389978213507,0.2044004400440043,0.2027777777777777,0.1934156378600823,0.2007285974499088,0.2156378600823044
G,0.30370370370370364,0.3516339869281046,0.27417840375586855,0.25479452054794516,0.2590909090909091,0.34146341463414637,0.30070921985815613,0.3827956989247312,0.282051282051282,0.0,0.3703703703703703,0.2779661016949152,0.20190476190476186,0.3707070707070707,0.3063063063063063,0.30392156862745096,0.30165016501650166,0.29444444444444445,0.3604938271604938,0.36174863387978146,0.34567901234567905
H,0.3287037037037037,0.34346405228758164,0.3153755868544601,0.3126712328767123,0.32140151515151516,0.3205284552845528,0.33829787234042547,0.34865591397849466,0.3474358974358975,0.0,0.3515432098765432,0.3594632768361582,0.3430952380952381,0.3400252525252525,0.3,0.3263888888888889,0.3525577557755775,0.30312500000000003,0.3268518518518519,0.3430327868852459,0.3891975308641975
I,0.0333333333333333,0.0352941176470588,0.021126760563380205,0.0205479452054794,0.0204545454545454,0.0292682926829268,0.0287234042553191,0.0387096774193548,0.023076923076923,0.0,0.0333333333333333,0.0203389830508474,0.0085714285714285,0.0363636363636363,0.0243243243243243,0.029411764705882297,0.0237623762376237,0.0249999999999999,0.0333333333333333,0.0344262295081967,0.0333333333333333
J,0.1994444444444444,0.20637254901960783,0.16197183098591544,0.1400684931506849,0.14352272727272725,0.2048780487804878,0.1723404255319149,0.22548387096774195,0.1515384615384615,0.0,0.21518518518518515,0.1462711864406779,0.10342857142857134,0.21886363636363634,0.18513513513513508,0.17926470588235294,0.1662871287128713,0.17916666666666664,0.2144444444444444,0.2123770491803279,0.19185185185185188
K,0.06667333333333327,0.07059529411764699,0.04225774647887317,0.04109999999999997,0.04091318181818181,0.0585424390243902,0.057452553191489265,0.07742709677419346,0.0461584615384615,0.0,0.06667333333333327,0.04068203389830506,0.017144571428571367,0.07273454545454544,0.04865351351351347,0.05882941176470587,0.047529504950494995,0.05000499999999993,0.06667333333333327,0.06885934426229504,0.06667333333333327
L,0.5333333333333334,0.5058823529411764,0.5267605633802817,0.4602739726027397,0.4863636363636364,0.4682926829268293,0.4872340425531914,0.567741935483871,0.5384615384615384,0.0,0.5185185185185186,0.4677966101694916,0.5885714285714286,0.5333333333333332,0.42702702702702705,0.4843137254901961,0.4950495049504951,0.525,0.4888888888888889,0.5213114754098362,0.5925925925925927
