Code,Animal-based energy,Bio-remediation,Buffering and attenuation of mass flows,Climate regulation,Dilution by atmosphere and ecosystems,Disease control,Fibres and other materials,Filtration,Flood and storm protection,Genetic materials,Ground water,Maintain nursery habitats,Mass stabilisation and erosion control,Mediation of sensory impacts,Pest control,Pollination,Soil quality,Surface water,Ventilation,Water flow maintenance,Water quality
A,0.0222222222222222,0.0235294117647058,0.0140845070422535,0.0136986301369863,0.0136363636363636,0.0195121951219512,0.0191489361702127,0.0258064516129032,0.0153846153846153,0.0,0.0222222222222222,0.0135593220338983,0.0057142857142857,0.0242424242424242,0.0162162162162162,0.0196078431372548,0.0158415841584158,0.0166666666666666,0.0222222222222222,0.0229508196721311,0.0222222222222222
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.1333333333333333,0.1098039215686274,0.132394366197183,0.1123287671232876,0.1181818181818182,0.1121951219512195,0.1127659574468085,0.1204301075268817,0.1333333333333333,0.0,0.1259259259259259,0.1163841807909604,0.1676190476190476,0.1171717171717171,0.1063063063063063,0.1078431372549019,0.1207920792079207,0.1305555555555555,0.1160493827160493,0.1158469945355191,0.1382716049382716
G,0.2444444444444444,0.3490196078431373,0.2647887323943662,0.2246575342465753,0.2272727272727273,0.3219512195121951,0.2829787234042554,0.3741935483870969,0.2461538461538461,0.0,0.3703703703703703,0.2338983050847457,0.1485714285714285,0.3606060606060605,0.2918918918918919,0.296078431372549,0.2693069306930694,0.2833333333333334,0.3407407407407408,0.3606557377049181,0.3185185185185186
H,0.0888888888888888,0.1490196078431372,0.1211267605633802,0.1205479452054794,0.1272727272727273,0.1317073170731707,0.1361702127659574,0.167741935483871,0.1538461538461538,0.0,0.1629629629629629,0.1423728813559322,0.1371428571428571,0.1575757575757575,0.1135135135135135,0.1274509803921568,0.1564356435643564,0.1166666666666666,0.1481481481481481,0.1573770491803278,0.1777777777777777
I,0.0333333333333333,0.0352941176470588,0.0211267605633802,0.0205479452054794,0.0204545454545454,0.0292682926829268,0.0287234042553191,0.0387096774193548,0.023076923076923,0.0,0.0333333333333333,0.0203389830508474,0.0085714285714285,0.0363636363636363,0.0243243243243243,0.0294117647058823,0.0237623762376237,0.0249999999999999,0.0333333333333333,0.0344262295081967,0.0333333333333333
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K,0.0666666666666666,0.0705882352941176,0.0422535211267605,0.0410958904109589,0.0409090909090909,0.0585365853658536,0.0574468085106382,0.0774193548387096,0.0461538461538461,0.0,0.0666666666666666,0.0406779661016949,0.0171428571428571,0.0727272727272727,0.0486486486486486,0.0588235294117647,0.0475247524752475,0.0499999999999999,0.0666666666666666,0.0688524590163934,0.0666666666666666
L,0.5333333333333334,0.5058823529411764,0.5267605633802817,0.4602739726027397,0.4863636363636364,0.4682926829268293,0.4872340425531914,0.567741935483871,0.5384615384615384,0.0,0.5185185185185186,0.4677966101694916,0.5885714285714286,0.5333333333333332,0.427027027027027,0.4843137254901961,0.4950495049504951,0.525,0.4888888888888889,0.5213114754098362,0.5925925925925927
M,0.3333333333333333,0.3490196078431373,0.2647887323943662,0.2246575342465753,0.2272727272727273,0.351219512195122,0.2829787234042554,0.3870967741935484,0.2461538461538461,0.0,0.3703703703703703,0.2338983050847457,0.1485714285714285,0.3757575757575758,0.3135135135135135,0.296078431372549,0.2693069306930694,0.3,0.3703703703703703,0.3606557377049181,0.3185185185185186
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.2222222222222222,0.2352941176470588,0.2169014084507042,0.2136986301369862,0.209090909090909,0.2097560975609756,0.2340425531914894,0.2580645161290322,0.2769230769230769,0.0,0.2518518518518518,0.264406779661017,0.2628571428571429,0.2424242424242424,0.1783783783783783,0.2176470588235294,0.2356435643564357,0.1999999999999999,0.2222222222222222,0.2295081967213114,0.3111111111111111
P,0.3333333333333333,0.3490196078431373,0.2647887323943662,0.2246575342465753,0.2272727272727273,0.351219512195122,0.2829787234042554,0.3870967741935484,0.2461538461538461,0.0,0.3703703703703703,0.2338983050847457,0.1485714285714285,0.3757575757575758,0.3135135135135135,0.296078431372549,0.2693069306930694,0.3,0.3703703703703703,0.3606557377049181,0.3185185185185186
Q,0.0222222222222222,0.0235294117647058,0.0140845070422535,0.0136986301369863,0.0136363636363636,0.0195121951219512,0.0191489361702127,0.0258064516129032,0.0153846153846153,0.0,0.0222222222222222,0.0135593220338983,0.0057142857142857,0.0242424242424242,0.0162162162162162,0.0196078431372548,0.0158415841584158,0.0166666666666666,0.0222222222222222,0.0229508196721311,0.0222222222222222
R,0.0666666666666666,0.0705882352941176,0.0422535211267605,0.0410958904109589,0.0409090909090909,0.0585365853658536,0.0574468085106382,0.0774193548387096,0.0461538461538461,0.0,0.0666666666666666,0.0406779661016949,0.0171428571428571,0.0727272727272727,0.0486486486486486,0.0588235294117647,0.0475247524752475,0.0499999999999999,0.0666666666666666,0.0688524590163934,0.0666666666666666
S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
