Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,3.8340171783599035e-49,
Agricultural Bank of China Ltd,Bio-remediation,52092.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,740.0,1.7045367141812718e-121,
Agricultural Bank of China Ltd,Climate regulation,39402.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,19019.0,5.670930558085799e-307,
Agricultural Bank of China Ltd,Disease control,0.0,4.714854301753129e-95,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,1.83237570023464e-130,
Agricultural Bank of China Ltd,Filtration,48122.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,51792.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,0.0,1.5463573121377617e-111,
Agricultural Bank of China Ltd,Ground water,87432.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,2.4770276393652366e-07,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,99271.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,11723.0,6.4255758779287086e-189,
Agricultural Bank of China Ltd,Pest control,2516.0,6.45087285774823e-139,
Agricultural Bank of China Ltd,Pollination,0.0,2.4393300838443433e-89,
Agricultural Bank of China Ltd,Soil quality,3645.0,1.098095529068564e-201,
Agricultural Bank of China Ltd,Surface water,87439.0,0.0,
Agricultural Bank of China Ltd,Ventilation,8601.0,1.7115577222611034e-200,
Agricultural Bank of China Ltd,Water flow maintenance,30110.0,0.0,
Agricultural Bank of China Ltd,Water quality,39836.0,0.0,
BNP Paribas SA,Animal-based energy,7037.0,2.952078692778365e-30,
BNP Paribas SA,Bio-remediation,697475.0,6.470602060076883e-193,
BNP Paribas SA,Buffering and attenuation of mass flows,50747.0,3.2585299852871773e-69,
BNP Paribas SA,Climate regulation,822815.0,3.468068680711475e-191,
BNP Paribas SA,Dilution by atmosphere and ecosystems,402741.0,8.413031580206895e-144,
BNP Paribas SA,Disease control,26551.0,1.807998553965703e-58,
BNP Paribas SA,Fibres and other materials,61887.0,4.89680121093473e-70,
BNP Paribas SA,Filtration,829915.0,8.780390564254064e-237,
BNP Paribas SA,Flood and storm protection,878117.0,4.651063375442549e-208,
BNP Paribas SA,Genetic materials,39844.0,4.0764384235422065e-65,
BNP Paribas SA,Ground water,1590181.0,1.1000390207481776e-306,
BNP Paribas SA,Maintain nursery habitats,98.0,4.604215754513095e-05,
BNP Paribas SA,Mass stabilisation and erosion control,1619265.0,6.771791442381871e-262,
BNP Paribas SA,Mediation of sensory impacts,173437.0,1.199081455933681e-87,
BNP Paribas SA,Pest control,66439.0,2.156666745003242e-81,
BNP Paribas SA,Pollination,23835.0,2.7168003517382654e-54,
BNP Paribas SA,Soil quality,155215.0,5.653226758273207e-107,
BNP Paribas SA,Surface water,1583573.0,5.314352263351614e-308,
BNP Paribas SA,Ventilation,185810.0,1.7151068445200647e-92,
BNP Paribas SA,Water flow maintenance,874352.0,1.470653396026089e-202,
BNP Paribas SA,Water quality,719434.0,5.515993058370848e-189,
Banco Santander SA,Animal-based energy,45999.0,0.004814981475438517,
Banco Santander SA,Bio-remediation,2681137.0,1.1015929338702631e-20,
Banco Santander SA,Buffering and attenuation of mass flows,286639.0,2.704960080632917e-07,
Banco Santander SA,Climate regulation,2881374.0,8.616910470630593e-27,
Banco Santander SA,Dilution by atmosphere and ecosystems,1690019.0,5.046976960831946e-15,
Banco Santander SA,Disease control,183001.0,0.0001920942938704818,
Banco Santander SA,Fibres and other materials,328731.0,3.968297719878138e-06,
Banco Santander SA,Filtration,3400687.0,3.624538746140054e-21,
Banco Santander SA,Flood and storm protection,3212378.0,3.225823807837595e-23,
Banco Santander SA,Genetic materials,225554.0,2.3498063963574994e-10,
Banco Santander SA,Ground water,5569612.0,7.666460924950968e-31,
Banco Santander SA,Maintain nursery habitats,734.0,0.34686103807286583,
Banco Santander SA,Mass stabilisation and erosion control,4907922.0,6.111253691101566e-35,
Banco Santander SA,Mediation of sensory impacts,692334.0,2.2621164373313298e-13,
Banco Santander SA,Pest control,377346.0,5.143373634420934e-08,
Banco Santander SA,Pollination,160197.0,0.0001516837863705226,
Banco Santander SA,Soil quality,749791.0,1.7315324420373089e-09,
Banco Santander SA,Surface water,5543202.0,4.4544045659007095e-32,
Banco Santander SA,Ventilation,769592.0,2.6377520757001996e-12,
Banco Santander SA,Water flow maintenance,3174391.0,6.183673390178663e-23,
Banco Santander SA,Water quality,2738974.0,9.778892442105317e-22,
Bank of America Corp,Animal-based energy,47049.0,9.11119596765438e-05,
Bank of America Corp,Bio-remediation,2560179.0,3.5823948431037075e-35,
Bank of America Corp,Buffering and attenuation of mass flows,267083.0,6.0218387928885005e-15,
Bank of America Corp,Climate regulation,2842783.0,2.336097933867045e-34,
Bank of America Corp,Dilution by atmosphere and ecosystems,1764422.0,2.000783633626463e-19,
Bank of America Corp,Disease control,179481.0,1.409647714690153e-08,
Bank of America Corp,Fibres and other materials,337568.0,2.326953719790622e-10,
Bank of America Corp,Filtration,3151918.0,1.5090789060564367e-47,
Bank of America Corp,Flood and storm protection,3039162.0,1.8039788853596238e-39,
Bank of America Corp,Genetic materials,226766.0,3.1287924872589897e-16,
Bank of America Corp,Ground water,5458970.0,2.8396081671497e-48,
Bank of America Corp,Maintain nursery habitats,721.0,0.1532484058834784,
Bank of America Corp,Mass stabilisation and erosion control,4939234.0,9.375940317750202e-46,
Bank of America Corp,Mediation of sensory impacts,723201.0,4.0687404813507435e-15,
Bank of America Corp,Pest control,360009.0,3.731456573891349e-15,
Bank of America Corp,Pollination,158425.0,4.1322717261340136e-08,
Bank of America Corp,Soil quality,691210.0,1.104646344629195e-21,
Bank of America Corp,Surface water,5471519.0,1.4536585151097772e-47,
Bank of America Corp,Ventilation,826804.0,1.1280686635431194e-13,
Bank of America Corp,Water flow maintenance,3195462.0,5.024267502110691e-31,
Bank of America Corp,Water quality,2623359.0,2.43212685024846e-35,
Bank of China Ltd,Animal-based energy,290.0,5.220466729455236e-48,
Bank of China Ltd,Bio-remediation,134128.0,0.0,
Bank of China Ltd,Buffering and attenuation of mass flows,3614.0,3.40148753520672e-117,
Bank of China Ltd,Climate regulation,137296.0,0.0,
Bank of China Ltd,Dilution by atmosphere and ecosystems,63075.0,6.075539845979023e-281,
Bank of China Ltd,Disease control,570.0,6.429623920844166e-94,
Bank of China Ltd,Fibres and other materials,3116.0,7.35918334642482e-126,
Bank of China Ltd,Filtration,134086.0,0.0,
Bank of China Ltd,Flood and storm protection,169820.0,0.0,
Bank of China Ltd,Genetic materials,3281.0,9.092570303244293e-106,
Bank of China Ltd,Ground water,253142.0,0.0,
Bank of China Ltd,Maintain nursery habitats,0.0,2.4770276393652366e-07,
Bank of China Ltd,Mass stabilisation and erosion control,355784.0,0.0,
Bank of China Ltd,Mediation of sensory impacts,37086.0,2.861616020729088e-166,
Bank of China Ltd,Pest control,5033.0,1.0614087486983921e-135,
Bank of China Ltd,Pollination,536.0,3.3424056127047116e-88,
Bank of China Ltd,Soil quality,15746.0,6.302225007847691e-191,
Bank of China Ltd,Surface water,253158.0,0.0,
Bank of China Ltd,Ventilation,30131.0,1.7667985018206895e-181,
Bank of China Ltd,Water flow maintenance,102478.0,0.0,
