Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,3.8340171783599035e-49,
Agricultural Bank of China Ltd,Bio-remediation,51202.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,740.0,1.7045367141812718e-121,
Agricultural Bank of China Ltd,Climate regulation,39212.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,18648.0,3.2375089087601337e-307,
Agricultural Bank of China Ltd,Disease control,0.0,4.714854301753129e-95,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,1.83237570023464e-130,
Agricultural Bank of China Ltd,Filtration,47912.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,51577.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,0.0,1.5463573121377617e-111,
Agricultural Bank of China Ltd,Ground water,86844.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,2.4770276393652366e-07,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,97863.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,11691.0,5.9540555215998046e-189,
Agricultural Bank of China Ltd,Pest control,2500.0,6.105724919957593e-139,
Agricultural Bank of China Ltd,Pollination,0.0,2.4393300838443433e-89,
Agricultural Bank of China Ltd,Soil quality,3636.0,1.0747770803643804e-201,
Agricultural Bank of China Ltd,Surface water,86888.0,0.0,
Agricultural Bank of China Ltd,Ventilation,8563.0,1.5675089025209393e-200,
Agricultural Bank of China Ltd,Water flow maintenance,29994.0,0.0,
Agricultural Bank of China Ltd,Water quality,39553.0,0.0,
BNP Paribas SA,Animal-based energy,7250.0,1.2531909943661872e-29,
BNP Paribas SA,Bio-remediation,697125.0,5.08019819082734e-193,
BNP Paribas SA,Buffering and attenuation of mass flows,50519.0,1.8176309019319783e-69,
BNP Paribas SA,Climate regulation,822719.0,3.263367360169412e-191,
BNP Paribas SA,Dilution by atmosphere and ecosystems,402367.0,5.987528367505023e-144,
BNP Paribas SA,Disease control,27032.0,9.640972224302875e-58,
BNP Paribas SA,Fibres and other materials,61744.0,3.51097378176836e-70,
BNP Paribas SA,Filtration,824762.0,3.32601690978495e-238,
BNP Paribas SA,Flood and storm protection,873952.0,3.5776932621818725e-209,
BNP Paribas SA,Genetic materials,40272.0,1.3918920301376346e-64,
BNP Paribas SA,Ground water,1589607.0,8.45688787376821e-307,
BNP Paribas SA,Maintain nursery habitats,97.0,4.3358360720475016e-05,
BNP Paribas SA,Mass stabilisation and erosion control,1614320.0,7.26440585381979e-263,
BNP Paribas SA,Mediation of sensory impacts,173220.0,8.884809871313944e-88,
BNP Paribas SA,Pest control,67047.0,8.345523337579445e-81,
BNP Paribas SA,Pollination,23885.0,3.2678949091198364e-54,
BNP Paribas SA,Soil quality,153740.0,6.4576219533412885e-108,
BNP Paribas SA,Surface water,1589647.0,8.613294185649368e-307,
BNP Paribas SA,Ventilation,184245.0,2.109537375322454e-93,
BNP Paribas SA,Water flow maintenance,870735.0,1.5822330252417968e-203,
BNP Paribas SA,Water quality,715152.0,2.9900189359997293e-190,
Banco Santander SA,Animal-based energy,45981.0,0.004722657308777684,
Banco Santander SA,Bio-remediation,2699553.0,1.6822498753706835e-19,
Banco Santander SA,Buffering and attenuation of mass flows,287261.0,3.588247720588863e-07,
Banco Santander SA,Climate regulation,2886912.0,2.0828965279641763e-26,
Banco Santander SA,Dilution by atmosphere and ecosystems,1702624.0,4.7314245701855033e-14,
Banco Santander SA,Disease control,182898.0,0.00018262960555883397,
Banco Santander SA,Fibres and other materials,328986.0,4.3709631020565966e-06,
Banco Santander SA,Filtration,3413696.0,1.8932182326956878e-20,
Banco Santander SA,Flood and storm protection,3225146.0,1.8773942937903288e-22,
Banco Santander SA,Genetic materials,225365.0,2.0835628840726542e-10,
Banco Santander SA,Ground water,5591613.0,7.848544995758061e-30,
Banco Santander SA,Maintain nursery habitats,732.0,0.33898131424688616,
Banco Santander SA,Mass stabilisation and erosion control,4927774.0,6.899158210685632e-34,
Banco Santander SA,Mediation of sensory impacts,695467.0,6.171593304675979e-13,
Banco Santander SA,Pest control,377217.0,4.889147013675788e-08,
Banco Santander SA,Pollination,160719.0,0.00020118392927638882,
Banco Santander SA,Soil quality,749250.0,1.5034463348547189e-09,
Banco Santander SA,Surface water,5567306.0,5.993733068502707e-31,
Banco Santander SA,Ventilation,771580.0,4.66922267984526e-12,
Banco Santander SA,Water flow maintenance,3179850.0,1.321057661756293e-22,
Banco Santander SA,Water quality,2756108.0,1.2625515457216375e-20,
Bank of America Corp,Animal-based energy,46428.0,3.895494782800873e-05,
Bank of America Corp,Bio-remediation,2524613.0,3.0175100734100175e-38,
