Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,2.9868109665490466e-43,
Agricultural Bank of China Ltd,Bio-remediation,25434.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,701.0,3.933307012299309e-115,
Agricultural Bank of China Ltd,Climate regulation,26069.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,8191.0,4.477046110851676e-267,
Agricultural Bank of China Ltd,Disease control,0.0,1.8419872873646416e-83,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,1.21621505485084e-106,
Agricultural Bank of China Ltd,Filtration,25777.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,29824.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,0.0,1.1527114884224833e-97,
Agricultural Bank of China Ltd,Ground water,57490.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,2.4770276393652366e-07,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,72304.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,6082.0,9.300402235944548e-168,
Agricultural Bank of China Ltd,Pest control,741.0,1.170729654650286e-121,
Agricultural Bank of China Ltd,Pollination,0.0,1.8419872873646416e-83,
Agricultural Bank of China Ltd,Soil quality,1087.0,4.3298140828951594e-178,
Agricultural Bank of China Ltd,Surface water,57483.0,0.0,
Agricultural Bank of China Ltd,Ventilation,3077.0,3.1880860131459052e-173,
Agricultural Bank of China Ltd,Water flow maintenance,17311.0,0.0,
Agricultural Bank of China Ltd,Water quality,19525.0,0.0,
BNP Paribas SA,Animal-based energy,5212.0,2.1092374710132033e-27,
BNP Paribas SA,Bio-remediation,472347.0,3.1042050170033673e-173,
BNP Paribas SA,Buffering and attenuation of mass flows,38303.0,7.207955396159972e-73,
BNP Paribas SA,Climate regulation,680424.0,2.671614559709847e-183,
BNP Paribas SA,Dilution by atmosphere and ecosystems,280667.0,2.4591863862737922e-135,
BNP Paribas SA,Disease control,20087.0,3.847052285704009e-52,
BNP Paribas SA,Fibres and other materials,37173.0,1.9163719572928987e-62,
BNP Paribas SA,Filtration,661407.0,1.2630473836433141e-225,
BNP Paribas SA,Flood and storm protection,683723.0,4.598988502123568e-202,
BNP Paribas SA,Genetic materials,28828.0,6.1676277682205445e-56,
BNP Paribas SA,Ground water,1325919.0,9.976366676631003e-290,
BNP Paribas SA,Maintain nursery habitats,98.0,4.604215754513095e-05,
BNP Paribas SA,Mass stabilisation and erosion control,1378512.0,4.002218437435009e-252,
BNP Paribas SA,Mediation of sensory impacts,122186.0,1.2211676381178987e-81,
BNP Paribas SA,Pest control,43204.0,2.3831674259827637e-76,
BNP Paribas SA,Pollination,20072.0,3.622717477909587e-52,
BNP Paribas SA,Soil quality,99670.0,9.193580209822178e-106,
BNP Paribas SA,Surface water,1312751.0,1.3252366291634898e-292,
BNP Paribas SA,Ventilation,121206.0,4.806676003667302e-86,
BNP Paribas SA,Water flow maintenance,693151.0,1.0749092771059305e-192,
BNP Paribas SA,Water quality,476475.0,1.633532696684954e-181,
Banco Santander SA,Animal-based energy,35711.0,0.004754026812032046,
Banco Santander SA,Bio-remediation,2001073.0,7.339798812013098e-17,
Banco Santander SA,Buffering and attenuation of mass flows,263044.0,1.357696135448765e-06,
Banco Santander SA,Climate regulation,2531946.0,9.555713170421512e-26,
Banco Santander SA,Dilution by atmosphere and ecosystems,1313831.0,4.9652581399394274e-12,
Banco Santander SA,Disease control,142611.0,0.000188857230002743,
Banco Santander SA,Fibres and other materials,225066.0,2.3130418484702946e-05,
Banco Santander SA,Filtration,2974994.0,5.578228710104449e-18,
Banco Santander SA,Flood and storm protection,2806824.0,1.5203426393942693e-19,
Banco Santander SA,Genetic materials,148736.0,2.2491109403387135e-11,
Banco Santander SA,Ground water,4950191.0,3.716695452889143e-28,
Banco Santander SA,Maintain nursery habitats,731.0,0.33508487023558686,
Banco Santander SA,Mass stabilisation and erosion control,4486097.0,1.5893666061616913e-29,
Banco Santander SA,Mediation of sensory impacts,542926.0,2.7096208833576952e-11,
Banco Santander SA,Pest control,293540.0,5.901346682398934e-07,
Banco Santander SA,Pollination,142386.0,0.00016542147875484934,
Banco Santander SA,Soil quality,601540.0,1.4906617344992406e-07,
Banco Santander SA,Surface water,4929660.0,4.696762042946129e-29,
Banco Santander SA,Ventilation,577262.0,1.9540712133195597e-10,
Banco Santander SA,Water flow maintenance,2685744.0,2.196104505957701e-20,
Banco Santander SA,Water quality,2166358.0,3.2128839502966954e-16,
Bank of America Corp,Animal-based energy,34779.0,3.91527785456416e-06,
Bank of America Corp,Bio-remediation,1800523.0,9.897473247263784e-40,
Bank of America Corp,Buffering and attenuation of mass flows,235277.0,5.802242343808936e-17,
Bank of America Corp,Climate regulation,2396546.0,1.1481275696518965e-40,
Bank of America Corp,Dilution by atmosphere and ecosystems,1301011.0,3.259126082561125e-23,
Bank of America Corp,Disease control,134884.0,2.588449966621295e-10,
Bank of America Corp,Fibres and other materials,219155.0,3.324736822856371e-12,
Bank of America Corp,Filtration,2646482.0,4.041487030495529e-51,
Bank of America Corp,Flood and storm protection,2519456.0,1.5135345856568019e-44,
Bank of America Corp,Genetic materials,142345.0,3.424631210423699e-15,
Bank of America Corp,Ground water,4596916.0,5.774511359196822e-58,
Bank of America Corp,Maintain nursery habitats,684.0,0.0890312232637884,
Bank of America Corp,Mass stabilisation and erosion control,4230078.0,1.890852372780571e-55,
Bank of America Corp,Mediation of sensory impacts,546435.0,2.3907498810753875e-15,
Bank of America Corp,Pest control,267573.0,8.757737439145147e-17,
Bank of America Corp,Pollination,135114.0,3.187400446692973e-10,
Bank of America Corp,Soil quality,520475.0,2.5703702759933045e-25,
Bank of America Corp,Surface water,4579902.0,2.802352878059728e-59,
Bank of America Corp,Ventilation,593365.0,2.039407893628121e-14,
Bank of America Corp,Water flow maintenance,2599583.0,2.5738639668617106e-36,
Bank of America Corp,Water quality,1980224.0,1.1732533911652802e-37,
Bank of China Ltd,Animal-based energy,254.0,4.059017054716975e-42,
Bank of China Ltd,Bio-remediation,68248.0,0.0,
Bank of China Ltd,Buffering and attenuation of mass flows,1403.0,5.285451929461601e-114,
Bank of China Ltd,Climate regulation,103709.0,0.0,
