,Agricultural Bank of China Ltd,BNP Paribas SA,Banco Santander SA,Bank of America Corp,Bank of China Ltd,Bank of Communications Co Ltd,Bank of New York Mellon Corp,Barclays PLC,China Construction Bank Corp,Citigroup Inc,Credite Agricole SA,Deutsche Bank AG,Goldman Sachs Group Inc,Groupe BPCE,HSBC Holdings PLC,ING Groupe NV,Industrial & Commercial Bank of China Ltd,JPMorgan Chase & Co,Mitsubishi UFJ Financial Group Inc,Mizuho Financial Group Inc,Morgan Stanley,Royal Bank of Canada,Societe Generale SA,Standard Chartered PLC,State Street Corp,Sumitomo Mitsui Financial Group Inc,Toronto-Dominion Bank,UBS Group AG,Wells Fargo & Co
Animal-based energy,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,**,***,***,***,***,***,***,NS,***,***,***,***
Bio-remediation,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Buffering and attenuation of mass flows,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Climate regulation,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Dilution by atmosphere and ecosystems,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Disease control,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,**,***,***,***,***,***,***,NS,***,***,***,***
Fibres and other materials,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Filtration,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Flood and storm protection,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Genetic materials,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,NS,***,***,NS,***,***,***,***,***,***,*,***,***,***,***
Ground water,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Maintain nursery habitats,***,***,***,***,***,***,***,***,***,***,***,***,**,***,NS,***,***,*,***,***,***,***,***,***,NS,***,***,***,***
Mass stabilisation and erosion control,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Mediation of sensory impacts,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Pest control,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Pollination,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Soil quality,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Surface water,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Ventilation,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Water flow maintenance,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
Water quality,***,***,***,***,***,***,***,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,NS,***,***,***,***
