Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,160858.0,0.0,
Agricultural Bank of China Ltd,Bio-remediation,164085.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,161996.0,0.0,
Agricultural Bank of China Ltd,Climate regulation,163218.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,162120.0,0.0,
Agricultural Bank of China Ltd,Disease control,160548.0,0.0,
Agricultural Bank of China Ltd,Fibres and other materials,161572.0,0.0,
Agricultural Bank of China Ltd,Filtration,162788.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,163127.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,154715.0,0.0,
Agricultural Bank of China Ltd,Ground water,162799.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,157062.0,0.0,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,163678.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,163138.0,0.0,
Agricultural Bank of China Ltd,Pest control,161753.0,0.0,
Agricultural Bank of China Ltd,Pollination,160700.0,0.0,
Agricultural Bank of China Ltd,Soil quality,162281.0,0.0,
Agricultural Bank of China Ltd,Surface water,162725.0,0.0,
Agricultural Bank of China Ltd,Ventilation,162625.0,0.0,
Agricultural Bank of China Ltd,Water flow maintenance,162431.0,0.0,
Agricultural Bank of China Ltd,Water quality,162557.0,0.0,
BNP Paribas SA,Animal-based energy,2490524.0,0.0,
BNP Paribas SA,Bio-remediation,2593494.0,0.0,
BNP Paribas SA,Buffering and attenuation of mass flows,2535605.0,0.0,
BNP Paribas SA,Climate regulation,2569171.0,0.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,2574096.0,0.0,
BNP Paribas SA,Disease control,2477067.0,0.0,
BNP Paribas SA,Fibres and other materials,2541970.0,0.0,
BNP Paribas SA,Filtration,2582841.0,0.0,
BNP Paribas SA,Flood and storm protection,2579569.0,0.0,
BNP Paribas SA,Genetic materials,2328353.0,0.0,
BNP Paribas SA,Ground water,2567887.0,0.0,
BNP Paribas SA,Maintain nursery habitats,2474593.0,0.0,
BNP Paribas SA,Mass stabilisation and erosion control,2588143.0,0.0,
BNP Paribas SA,Mediation of sensory impacts,2581259.0,0.0,
BNP Paribas SA,Pest control,2563664.0,0.0,
BNP Paribas SA,Pollination,2491065.0,0.0,
BNP Paribas SA,Soil quality,2553489.0,0.0,
BNP Paribas SA,Surface water,2559007.0,0.0,
BNP Paribas SA,Ventilation,2594548.0,0.0,
BNP Paribas SA,Water flow maintenance,2567651.0,0.0,
BNP Paribas SA,Water quality,2568706.0,0.0,
Banco Santander SA,Animal-based energy,7265207.0,6.275240250233502e-64,
Banco Santander SA,Bio-remediation,7613410.0,4.008882884334459e-47,
Banco Santander SA,Buffering and attenuation of mass flows,7535136.0,1.1319588955623161e-50,
Banco Santander SA,Climate regulation,7573373.0,6.3704839262731336e-49,
Banco Santander SA,Dilution by atmosphere and ecosystems,7549404.0,5.136447610203724e-50,
Banco Santander SA,Disease control,7296112.0,2.484928594438657e-62,
Banco Santander SA,Fibres and other materials,7431436.0,1.4048995622811858e-55,
Banco Santander SA,Filtration,7615824.0,5.133052395562077e-47,
Banco Santander SA,Flood and storm protection,7582788.0,1.6994291225588676e-48,
Banco Santander SA,Genetic materials,7089909.0,2.2078755095263842e-73,
Banco Santander SA,Ground water,7564324.0,2.470589126567846e-49,
Banco Santander SA,Maintain nursery habitats,7132518.0,5.0472709460052395e-71,
Banco Santander SA,Mass stabilisation and erosion control,7622576.0,1.0232291901483965e-46,
Banco Santander SA,Mediation of sensory impacts,7631446.0,2.523778185256868e-46,
Banco Santander SA,Pest control,7495483.0,1.6042287584769347e-52,
Banco Santander SA,Pollination,7284335.0,6.150656297823361e-63,
Banco Santander SA,Soil quality,7557545.0,1.2118911461545233e-49,
Banco Santander SA,Surface water,7556312.0,1.0643708333466605e-49,
Banco Santander SA,Ventilation,7566125.0,2.984118135783952e-49,
Banco Santander SA,Water flow maintenance,7554445.0,8.743278942936032e-50,
Banco Santander SA,Water quality,7531626.0,7.790615162154031e-51,
Bank of America Corp,Animal-based energy,7218170.0,3.793223708129874e-75,
Bank of America Corp,Bio-remediation,7357661.0,1.3701813778892401e-67,
Bank of America Corp,Buffering and attenuation of mass flows,7291875.0,4.2008811294105e-71,
Bank of America Corp,Climate regulation,7332001.0,5.986374332628864e-69,
Bank of America Corp,Dilution by atmosphere and ecosystems,7348590.0,4.546993682104778e-68,
Bank of America Corp,Disease control,7171109.0,8.649536024391972e-78,
Bank of America Corp,Fibres and other materials,7239063.0,5.4580139074709215e-74,
Bank of America Corp,Filtration,7323202.0,2.0312281186541599e-69,
Bank of America Corp,Flood and storm protection,7308092.0,3.1469054645254935e-70,
Bank of America Corp,Genetic materials,7037257.0,1.4727821831941477e-85,
Bank of America Corp,Ground water,7335694.0,9.412218622604316e-69,
Bank of America Corp,Maintain nursery habitats,7133840.0,6.481717259708586e-80,
Bank of America Corp,Mass stabilisation and erosion control,7349089.0,4.831947786827098e-68,
Bank of America Corp,Mediation of sensory impacts,7363143.0,2.663504456929924e-67,
Bank of America Corp,Pest control,7262482.0,1.0572300916057629e-72,
Bank of America Corp,Pollination,7201466.0,4.431675928502701e-76,
Bank of America Corp,Soil quality,7258298.0,6.238171469191472e-73,
Bank of America Corp,Surface water,7331147.0,5.391086477794108e-69,
Bank of America Corp,Ventilation,7352657.0,7.45972237168824e-68,
Bank of America Corp,Water flow maintenance,7344982.0,2.9288687691112013e-68,
Bank of America Corp,Water quality,7302572.0,1.5879016131096557e-70,
Bank of China Ltd,Animal-based energy,503684.0,0.0,
Bank of China Ltd,Bio-remediation,524653.0,0.0,
Bank of China Ltd,Buffering and attenuation of mass flows,519960.0,0.0,
Bank of China Ltd,Climate regulation,519827.0,0.0,
Bank of China Ltd,Dilution by atmosphere and ecosystems,515435.0,0.0,
Bank of China Ltd,Disease control,504364.0,0.0,
Bank of China Ltd,Fibres and other materials,511008.0,0.0,
Bank of China Ltd,Filtration,521370.0,0.0,
Bank of China Ltd,Flood and storm protection,522870.0,0.0,
Bank of China Ltd,Genetic materials,471124.0,0.0,
Bank of China Ltd,Ground water,521015.0,0.0,
Bank of China Ltd,Maintain nursery habitats,505462.0,0.0,
Bank of China Ltd,Mass stabilisation and erosion control,522275.0,0.0,
Bank of China Ltd,Mediation of sensory impacts,523205.0,0.0,
Bank of China Ltd,Pest control,513913.0,0.0,
Bank of China Ltd,Pollination,503976.0,0.0,
Bank of China Ltd,Soil quality,517897.0,0.0,
Bank of China Ltd,Surface water,520875.0,0.0,
Bank of China Ltd,Ventilation,521071.0,0.0,
Bank of China Ltd,Water flow maintenance,519225.0,0.0,
Bank of China Ltd,Water quality,517726.0,0.0,
Bank of Communications Co Ltd,Animal-based energy,270209.0,0.0,
Bank of Communications Co Ltd,Bio-remediation,268161.0,0.0,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,269416.0,0.0,
Bank of Communications Co Ltd,Climate regulation,265188.0,0.0,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,270693.0,0.0,
Bank of Communications Co Ltd,Disease control,269926.0,0.0,
Bank of Communications Co Ltd,Fibres and other materials,270880.0,0.0,
Bank of Communications Co Ltd,Filtration,266884.0,0.0,
Bank of Communications Co Ltd,Flood and storm protection,269533.0,0.0,
Bank of Communications Co Ltd,Genetic materials,261975.0,0.0,
Bank of Communications Co Ltd,Ground water,270458.0,0.0,
Bank of Communications Co Ltd,Maintain nursery habitats,274910.0,0.0,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,271164.0,0.0,
Bank of Communications Co Ltd,Mediation of sensory impacts,271387.0,0.0,
Bank of Communications Co Ltd,Pest control,269522.0,0.0,
Bank of Communications Co Ltd,Pollination,270066.0,0.0,
Bank of Communications Co Ltd,Soil quality,269806.0,0.0,
Bank of Communications Co Ltd,Surface water,270483.0,0.0,
Bank of Communications Co Ltd,Ventilation,271250.0,0.0,
Bank of Communications Co Ltd,Water flow maintenance,270469.0,0.0,
Bank of Communications Co Ltd,Water quality,266647.0,0.0,
Bank of New York Mellon Corp,Animal-based energy,9862191.0,5.596576622067206e-18,
Bank of New York Mellon Corp,Bio-remediation,9857520.0,4.321521994550067e-18,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,9828551.0,8.529489550551817e-19,
Bank of New York Mellon Corp,Climate regulation,9872579.0,9.91520433451904e-18,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,9879875.0,1.4779100305465603e-17,
Bank of New York Mellon Corp,Disease control,9841339.0,1.752988616297095e-18,
