Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,160789.0,0.0,
Agricultural Bank of China Ltd,Bio-remediation,164186.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,161454.0,0.0,
Agricultural Bank of China Ltd,Climate regulation,163288.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,162209.0,0.0,
Agricultural Bank of China Ltd,Disease control,160476.0,0.0,
Agricultural Bank of China Ltd,Fibres and other materials,161365.0,0.0,
Agricultural Bank of China Ltd,Filtration,162747.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,163100.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,154822.0,0.0,
Agricultural Bank of China Ltd,Ground water,162703.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,157069.0,0.0,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,163725.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,162941.0,0.0,
Agricultural Bank of China Ltd,Pest control,161676.0,0.0,
Agricultural Bank of China Ltd,Pollination,160616.0,0.0,
Agricultural Bank of China Ltd,Soil quality,161949.0,0.0,
Agricultural Bank of China Ltd,Surface water,162631.0,0.0,
Agricultural Bank of China Ltd,Ventilation,162456.0,0.0,
Agricultural Bank of China Ltd,Water flow maintenance,162359.0,0.0,
Agricultural Bank of China Ltd,Water quality,162517.0,0.0,
BNP Paribas SA,Animal-based energy,2481386.0,0.0,
BNP Paribas SA,Bio-remediation,2594162.0,0.0,
BNP Paribas SA,Buffering and attenuation of mass flows,2498822.0,0.0,
BNP Paribas SA,Climate regulation,2564430.0,0.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,2575229.0,0.0,
BNP Paribas SA,Disease control,2478755.0,0.0,
BNP Paribas SA,Fibres and other materials,2524136.0,0.0,
BNP Paribas SA,Filtration,2580925.0,0.0,
BNP Paribas SA,Flood and storm protection,2574413.0,0.0,
BNP Paribas SA,Genetic materials,2344916.0,0.0,
BNP Paribas SA,Ground water,2561616.0,0.0,
BNP Paribas SA,Maintain nursery habitats,2474104.0,0.0,
BNP Paribas SA,Mass stabilisation and erosion control,2593087.0,0.0,
BNP Paribas SA,Mediation of sensory impacts,2583588.0,0.0,
BNP Paribas SA,Pest control,2554859.0,0.0,
BNP Paribas SA,Pollination,2483409.0,0.0,
BNP Paribas SA,Soil quality,2535789.0,0.0,
BNP Paribas SA,Surface water,2555182.0,0.0,
BNP Paribas SA,Ventilation,2599770.0,0.0,
BNP Paribas SA,Water flow maintenance,2565906.0,0.0,
BNP Paribas SA,Water quality,2557872.0,0.0,
Banco Santander SA,Animal-based energy,7263578.0,5.162295730162675e-64,
Banco Santander SA,Bio-remediation,7640721.0,6.45969720145191e-46,
