Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,160552.0,0.0,
Agricultural Bank of China Ltd,Bio-remediation,164117.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,160415.0,0.0,
Agricultural Bank of China Ltd,Climate regulation,163186.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,162249.0,0.0,
Agricultural Bank of China Ltd,Disease control,160308.0,0.0,
Agricultural Bank of China Ltd,Fibres and other materials,160404.0,0.0,
Agricultural Bank of China Ltd,Filtration,162336.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,162868.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,152287.0,0.0,
Agricultural Bank of China Ltd,Ground water,162511.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,157027.0,0.0,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,163641.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,162673.0,0.0,
Agricultural Bank of China Ltd,Pest control,160945.0,0.0,
Agricultural Bank of China Ltd,Pollination,160353.0,0.0,
Agricultural Bank of China Ltd,Soil quality,160730.0,0.0,
Agricultural Bank of China Ltd,Surface water,162451.0,0.0,
Agricultural Bank of China Ltd,Ventilation,162003.0,0.0,
Agricultural Bank of China Ltd,Water flow maintenance,162132.0,0.0,
Agricultural Bank of China Ltd,Water quality,162355.0,0.0,
BNP Paribas SA,Animal-based energy,2483485.0,0.0,
BNP Paribas SA,Bio-remediation,2594774.0,0.0,
BNP Paribas SA,Buffering and attenuation of mass flows,2466022.0,0.0,
BNP Paribas SA,Climate regulation,2560308.0,0.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,2564889.0,0.0,
BNP Paribas SA,Disease control,2474670.0,0.0,
BNP Paribas SA,Fibres and other materials,2458561.0,0.0,
BNP Paribas SA,Filtration,2574423.0,0.0,
BNP Paribas SA,Flood and storm protection,2571718.0,0.0,
BNP Paribas SA,Genetic materials,2439768.0,0.0,
BNP Paribas SA,Ground water,2562909.0,0.0,
BNP Paribas SA,Maintain nursery habitats,2473670.0,0.0,
BNP Paribas SA,Mass stabilisation and erosion control,2598429.0,0.0,
BNP Paribas SA,Mediation of sensory impacts,2582084.0,0.0,
BNP Paribas SA,Pest control,2502033.0,0.0,
BNP Paribas SA,Pollination,2478025.0,0.0,
BNP Paribas SA,Soil quality,2456899.0,0.0,
BNP Paribas SA,Surface water,2557639.0,0.0,
BNP Paribas SA,Ventilation,2596824.0,0.0,
BNP Paribas SA,Water flow maintenance,2578953.0,0.0,
BNP Paribas SA,Water quality,2547407.0,0.0,
Banco Santander SA,Animal-based energy,7252791.0,1.4123518298798058e-64,
Banco Santander SA,Bio-remediation,7659827.0,4.4171284469970876e-45,
Banco Santander SA,Buffering and attenuation of mass flows,7423971.0,6.102232511637185e-56,
Banco Santander SA,Climate regulation,7606874.0,2.0498886080885245e-47,
Banco Santander SA,Dilution by atmosphere and ecosystems,7540390.0,1.9779372702869843e-50,
Banco Santander SA,Disease control,7280773.0,4.026468040130615e-63,
Banco Santander SA,Fibres and other materials,7372937.0,1.893762244760067e-58,
Banco Santander SA,Filtration,7627941.0,1.7673553854741488e-46,
Banco Santander SA,Flood and storm protection,7607182.0,2.1158154689830935e-47,
Banco Santander SA,Genetic materials,7171153.0,6.428720932337262e-69,
Banco Santander SA,Ground water,7594000.0,5.4358398506945644e-48,
Banco Santander SA,Maintain nursery habitats,7149721.0,4.40932620984712e-70,
Banco Santander SA,Mass stabilisation and erosion control,7656166.0,3.0603167750272367e-45,
Banco Santander SA,Mediation of sensory impacts,7631302.0,2.487136222604512e-46,
Banco Santander SA,Pest control,7480285.0,3.0742629465958865e-53,
Banco Santander SA,Pollination,7267341.0,8.102434355856954e-64,
Banco Santander SA,Soil quality,7452933.0,1.5269095992405512e-54,
Banco Santander SA,Surface water,7592531.0,4.669398187551393e-48,
Banco Santander SA,Ventilation,7560858.0,1.7169807450554738e-49,
Banco Santander SA,Water flow maintenance,7567677.0,3.511042194621907e-49,
Banco Santander SA,Water quality,7526459.0,4.4898186774216004e-51,
Bank of America Corp,Animal-based energy,7240850.0,6.84945732967196e-74,
Bank of America Corp,Bio-remediation,7364362.0,3.087156905292463e-67,
Bank of America Corp,Buffering and attenuation of mass flows,7240101.0,6.227708530234953e-74,
Bank of America Corp,Climate regulation,7320140.0,1.393243818173498e-69,
Bank of America Corp,Dilution by atmosphere and ecosystems,7338795.0,1.3756084147142413e-68,
Bank of America Corp,Disease control,7173294.0,1.1499769551674432e-77,
Bank of America Corp,Fibres and other materials,7190824.0,1.120624733630045e-76,
Bank of America Corp,Filtration,7340231.0,1.6396181447876044e-68,
Bank of America Corp,Flood and storm protection,7306014.0,2.4329363134750245e-70,
Bank of America Corp,Genetic materials,7251690.0,2.706824124998744e-73,
Bank of America Corp,Ground water,7347215.0,3.8455427287097415e-68,
Bank of America Corp,Maintain nursery habitats,7120514.0,1.1083550843578092e-80,
Bank of America Corp,Mass stabilisation and erosion control,7348255.0,4.365152214604004e-68,
Bank of America Corp,Mediation of sensory impacts,7354111.0,8.902311526944162e-68,
Bank of America Corp,Pest control,7254927.0,4.075649369594161e-73,
Bank of America Corp,Pollination,7204392.0,6.461372799168575e-76,
Bank of America Corp,Soil quality,7271449.0,3.2655492327036385e-72,
Bank of America Corp,Surface water,7341390.0,1.8890830174130198e-68,
Bank of America Corp,Ventilation,7332320.0,6.225169778425549e-69,
Bank of America Corp,Water flow maintenance,7339843.0,1.5636702992234818e-68,
Bank of America Corp,Water quality,7304345.0,1.978371127733378e-70,
Bank of China Ltd,Animal-based energy,499430.0,0.0,
Bank of China Ltd,Bio-remediation,523385.0,0.0,
Bank of China Ltd,Buffering and attenuation of mass flows,501013.0,0.0,
Bank of China Ltd,Climate regulation,516566.0,0.0,
Bank of China Ltd,Dilution by atmosphere and ecosystems,508049.0,0.0,
Bank of China Ltd,Disease control,500242.0,0.0,
Bank of China Ltd,Fibres and other materials,506174.0,0.0,
Bank of China Ltd,Filtration,518689.0,0.0,
Bank of China Ltd,Flood and storm protection,519878.0,0.0,
Bank of China Ltd,Genetic materials,487239.0,0.0,
Bank of China Ltd,Ground water,516887.0,0.0,
Bank of China Ltd,Maintain nursery habitats,505032.0,0.0,
Bank of China Ltd,Mass stabilisation and erosion control,521796.0,0.0,
Bank of China Ltd,Mediation of sensory impacts,520398.0,0.0,
Bank of China Ltd,Pest control,504540.0,0.0,
Bank of China Ltd,Pollination,499698.0,0.0,
Bank of China Ltd,Soil quality,502695.0,0.0,
Bank of China Ltd,Surface water,517276.0,0.0,
Bank of China Ltd,Ventilation,509645.0,0.0,
Bank of China Ltd,Water flow maintenance,512266.0,0.0,
Bank of China Ltd,Water quality,515020.0,0.0,
Bank of Communications Co Ltd,Animal-based energy,271097.0,0.0,
Bank of Communications Co Ltd,Bio-remediation,272439.0,0.0,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,268749.0,0.0,
Bank of Communications Co Ltd,Climate regulation,269239.0,0.0,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,270456.0,0.0,
Bank of Communications Co Ltd,Disease control,270682.0,0.0,
Bank of Communications Co Ltd,Fibres and other materials,270178.0,0.0,
Bank of Communications Co Ltd,Filtration,270890.0,0.0,
Bank of Communications Co Ltd,Flood and storm protection,270550.0,0.0,
Bank of Communications Co Ltd,Genetic materials,258875.0,0.0,
Bank of Communications Co Ltd,Ground water,270789.0,0.0,
Bank of Communications Co Ltd,Maintain nursery habitats,274844.0,0.0,
