,Agricultural Bank of China Ltd,BNP Paribas SA,Banco Santander SA,Bank of America Corp,Bank of China Ltd,Bank of Communications Co Ltd,Bank of New York Mellon Corp,Barclays PLC,China Construction Bank Corp,Citigroup Inc,Credite Agricole SA,Deutsche Bank AG,Goldman Sachs Group Inc,Groupe BPCE,HSBC Holdings PLC,ING Groupe NV,Industrial & Commercial Bank of China Ltd,JPMorgan Chase & Co,Mitsubishi UFJ Financial Group Inc,Mizuho Financial Group Inc,Morgan Stanley,Royal Bank of Canada,Societe Generale SA,Standard Chartered PLC,State Street Corp,Sumitomo Mitsui Financial Group Inc,Toronto-Dominion Bank,UBS Group AG,Wells Fargo & Co
Animal-based energy,NS,***,***,***,NS,NS,***,***,NS,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,***,***,***
Bio-remediation,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Buffering and attenuation of mass flows,NS,***,***,***,*,NS,***,***,NS,***,***,***,***,***,***,***,*,***,***,***,***,***,***,***,***,***,***,***,***
Climate regulation,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Dilution by atmosphere and ecosystems,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Disease control,NS,***,***,***,NS,NS,***,***,NS,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,***,***,***
Fibres and other materials,NS,***,***,***,*,NS,***,***,*,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,***,***,***
Filtration,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Flood and storm protection,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Genetic materials,NS,***,***,***,*,NS,***,***,NS,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,***,***,***
Ground water,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Maintain nursery habitats,NS,*,***,***,NS,NS,***,***,NS,***,*,***,***,*,***,*,NS,***,***,***,***,*,***,*,***,***,**,***,NS
Mass stabilisation and erosion control,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mediation of sensory impacts,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Pest control,NS,***,***,***,*,*,***,***,**,***,***,***,***,***,***,***,**,***,***,***,***,***,***,***,***,***,***,***,***
Pollination,NS,***,***,***,NS,NS,***,***,NS,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,***,***,***
Soil quality,NS,***,***,***,***,*,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Surface water,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Ventilation,**,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Water flow maintenance,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Water quality,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
