Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,1225.0,1.0,
Agricultural Bank of China Ltd,Bio-remediation,0.0,4.428728843931774e-05,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.15865525393145707,
Agricultural Bank of China Ltd,Climate regulation,0.0,0.0004907698762608342,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Disease control,1225.0,1.0,
Agricultural Bank of China Ltd,Fibres and other materials,1225.0,1.0,
Agricultural Bank of China Ltd,Filtration,0.0,0.00021888859728733172,
Agricultural Bank of China Ltd,Flood and storm protection,0.0,0.00014652626009624466,
Agricultural Bank of China Ltd,Genetic materials,1225.0,1.0,
Agricultural Bank of China Ltd,Ground water,0.0,6.591694449141665e-05,
Agricultural Bank of China Ltd,Maintain nursery habitats,1225.0,1.0,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,0.0,4.149049653178655e-06,
Agricultural Bank of China Ltd,Mediation of sensory impacts,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Pest control,0.0,0.054404715020272845,
Agricultural Bank of China Ltd,Pollination,1225.0,1.0,
Agricultural Bank of China Ltd,Soil quality,0.0,0.054404715020272845,
Agricultural Bank of China Ltd,Surface water,0.0,6.591694449141665e-05,
Agricultural Bank of China Ltd,Ventilation,0.0,0.008980238763039383,
Agricultural Bank of China Ltd,Water flow maintenance,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Water quality,0.0,0.0003274791716928477,
BNP Paribas SA,Animal-based energy,0.0,8.401478936385735e-08,
BNP Paribas SA,Bio-remediation,0.0,1.025800922251996e-69,
BNP Paribas SA,Buffering and attenuation of mass flows,0.0,1.3024877719526746e-17,
BNP Paribas SA,Climate regulation,0.0,2.7341642609278654e-74,
BNP Paribas SA,Dilution by atmosphere and ecosystems,0.0,9.024448002967204e-50,
BNP Paribas SA,Disease control,0.0,2.607463260526433e-13,
BNP Paribas SA,Fibres and other materials,0.0,9.343410879886318e-20,
BNP Paribas SA,Filtration,0.0,2.277914991177061e-70,
BNP Paribas SA,Flood and storm protection,0.0,1.4126566220670084e-76,
BNP Paribas SA,Genetic materials,0.0,8.553276089142603e-16,
BNP Paribas SA,Ground water,0.0,1.0152650911574363e-101,
BNP Paribas SA,Maintain nursery habitats,0.0,0.033944577430914495,
BNP Paribas SA,Mass stabilisation and erosion control,0.0,9.746253481216148e-109,
BNP Paribas SA,Mediation of sensory impacts,0.0,9.372707419694865e-32,
BNP Paribas SA,Pest control,0.0,1.3656306539238252e-19,
BNP Paribas SA,Pollination,0.0,1.2025525149230378e-12,
BNP Paribas SA,Soil quality,0.0,2.8086916867766414e-30,
BNP Paribas SA,Surface water,0.0,1.0152650911574363e-101,
BNP Paribas SA,Ventilation,0.0,2.1466623401910953e-33,
BNP Paribas SA,Water flow maintenance,0.0,2.611812149737982e-73,
BNP Paribas SA,Water quality,0.0,4.6195866476027125e-69,
Banco Santander SA,Animal-based energy,0.0,1.4182026533640426e-32,
Banco Santander SA,Bio-remediation,0.0,2.9436360124254298e-266,
Banco Santander SA,Buffering and attenuation of mass flows,0.0,4.571276058854586e-77,
Banco Santander SA,Climate regulation,0.0,1.8475438724676554e-279,
Banco Santander SA,Dilution by atmosphere and ecosystems,0.0,1.3532328776722195e-206,
Banco Santander SA,Disease control,0.0,7.487124246471906e-63,
Banco Santander SA,Fibres and other materials,0.0,4.5492484467870077e-85,
