Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,1225.0,1.7763568394002505e-15,
Agricultural Bank of China Ltd,Bio-remediation,210.0,4.428728843931774e-05,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,1.0,0.15865525393145707,
Agricultural Bank of China Ltd,Climate regulation,105.0,0.0004907698762608342,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,55.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Disease control,1225.0,1.7763568394002505e-15,
Agricultural Bank of China Ltd,Fibres and other materials,1225.0,1.7763568394002505e-15,
Agricultural Bank of China Ltd,Filtration,136.0,0.00021888859728733172,
Agricultural Bank of China Ltd,Flood and storm protection,153.0,0.00014652626009624466,
Agricultural Bank of China Ltd,Genetic materials,1225.0,1.7763568394002505e-15,
Agricultural Bank of China Ltd,Ground water,190.0,6.591694449141665e-05,
Agricultural Bank of China Ltd,Maintain nursery habitats,1225.0,1.7763568394002505e-15,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,351.0,4.149049653178655e-06,
Agricultural Bank of China Ltd,Mediation of sensory impacts,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Pest control,6.0,0.054404715020272845,
Agricultural Bank of China Ltd,Pollination,1225.0,1.7763568394002505e-15,
Agricultural Bank of China Ltd,Soil quality,6.0,0.054404715020272845,
Agricultural Bank of China Ltd,Surface water,190.0,6.591694449141665e-05,
Agricultural Bank of China Ltd,Ventilation,28.0,0.008980238763039383,
Agricultural Bank of China Ltd,Water flow maintenance,55.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Water quality,120.0,0.0003274791716928477,
BNP Paribas SA,Animal-based energy,666.0,8.401478936385735e-08,
BNP Paribas SA,Bio-remediation,85491.0,1.025800922251996e-69,
BNP Paribas SA,Buffering and attenuation of mass flows,4560.0,1.3024877719526746e-17,
BNP Paribas SA,Climate regulation,97461.0,2.7341642609278654e-74,
BNP Paribas SA,Dilution by atmosphere and ecosystems,42486.0,9.024448002967204e-50,
BNP Paribas SA,Disease control,2415.0,2.607463260526433e-13,
BNP Paribas SA,Fibres and other materials,5886.0,9.343410879886318e-20,
BNP Paribas SA,Filtration,87153.0,2.277914991177061e-70,
BNP Paribas SA,Flood and storm protection,103740.0,1.4126566220670084e-76,
BNP Paribas SA,Genetic materials,3570.0,8.553276089142603e-16,
BNP Paribas SA,Ground water,185745.0,1.0152650911574363e-101,
BNP Paribas SA,Maintain nursery habitats,10.0,0.033944577430914495,
BNP Paribas SA,Mass stabilisation and erosion control,212878.0,9.746253481216148e-109,
BNP Paribas SA,Mediation of sensory impacts,16471.0,9.372707419694865e-32,
BNP Paribas SA,Pest control,5778.0,1.3656306539238252e-19,
BNP Paribas SA,Pollination,2145.0,1.2025525149230378e-12,
BNP Paribas SA,Soil quality,14878.0,2.8086916867766414e-30,
BNP Paribas SA,Surface water,185745.0,1.0152650911574363e-101,
BNP Paribas SA,Ventilation,18336.0,2.1466623401910953e-33,
BNP Paribas SA,Water flow maintenance,94830.0,2.611812149737982e-73,
BNP Paribas SA,Water quality,83845.0,4.6195866476027125e-69,
Banco Santander SA,Animal-based energy,17391.0,1.4182026533640426e-32,
Banco Santander SA,Bio-remediation,1309771.0,2.9436360124254298e-266,
Banco Santander SA,Buffering and attenuation of mass flows,105111.0,4.571276058854586e-77,
Banco Santander SA,Climate regulation,1444150.0,1.8475438724676554e-279,
Banco Santander SA,Dilution by atmosphere and ecosystems,784378.0,1.3532328776722195e-206,
Banco Santander SA,Disease control,69006.0,7.487124246471906e-63,
Banco Santander SA,Fibres and other materials,128778.0,4.5492484467870077e-85,
Banco Santander SA,Filtration,1666225.0,5.3786485820021254e-300,
Banco Santander SA,Flood and storm protection,1554966.0,6.847270799984596e-290,
Banco Santander SA,Genetic materials,90951.0,7.712492014556117e-72,
Banco Santander SA,Ground water,3270403.0,0.0,
Banco Santander SA,Maintain nursery habitats,276.0,1.3507974243552752e-05,
Banco Santander SA,Mass stabilisation and erosion control,2869210.0,0.0,
Banco Santander SA,Mediation of sensory impacts,280875.0,1.450060181559717e-124,
Banco Santander SA,Pest control,140185.0,1.1636936893341033e-88,
Banco Santander SA,Pollination,60726.0,4.304168222391771e-59,
Banco Santander SA,Soil quality,302253.0,3.920624116976766e-129,
Banco Santander SA,Surface water,3270403.0,0.0,
Banco Santander SA,Ventilation,316410.0,4.538507768960749e-132,
Banco Santander SA,Water flow maintenance,1576200.0,7.580821619004242e-292,
Banco Santander SA,Water quality,1306536.0,6.23552545692425e-266,
Bank of America Corp,Animal-based energy,21528.0,5.114242253732096e-36,
Bank of America Corp,Bio-remediation,1535385.0,6.518924847611156e-279,
Bank of America Corp,Buffering and attenuation of mass flows,125955.0,3.1073340397459893e-81,
Bank of America Corp,Climate regulation,1692077.0,9.362721884668004e-297,
Bank of America Corp,Dilution by atmosphere and ecosystems,959375.0,9.793620596169359e-227,
Bank of America Corp,Disease control,83028.0,9.803491731715813e-69,
Bank of America Corp,Fibres and other materials,156520.0,1.4726938853741028e-93,
Bank of America Corp,Filtration,1873536.0,1.137069620234375e-303,
Bank of America Corp,Flood and storm protection,1873760.0,0.0,
Bank of America Corp,Genetic materials,110685.0,5.013391463053829e-79,
Bank of America Corp,Ground water,3772293.0,0.0,
Bank of America Corp,Maintain nursery habitats,325.0,6.1451611051242046e-06,
Bank of America Corp,Mass stabilisation and erosion control,3432547.0,0.0,
Bank of America Corp,Mediation of sensory impacts,338640.0,1.8516311116199004e-131,
Bank of America Corp,Pest control,169003.0,1.2692865832414743e-93,
Bank of America Corp,Pollination,73153.0,1.192764955123047e-64,
Bank of America Corp,Soil quality,365662.0,4.7560443974550374e-138,
Bank of America Corp,Surface water,3772382.0,0.0,
Bank of America Corp,Ventilation,398727.0,2.841749989313641e-146,
