Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Bio-remediation,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Climate regulation,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Disease control,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Filtration,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Flood and storm protection,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Genetic materials,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Ground water,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Mediation of sensory impacts,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Pest control,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Pollination,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Soil quality,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Surface water,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Ventilation,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Water flow maintenance,0.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Water quality,0.0,1.8264165951516497e-07,
BNP Paribas SA,Animal-based energy,0.0,5.518588343515195e-136,
BNP Paribas SA,Bio-remediation,0.0,5.518588343515195e-136,
BNP Paribas SA,Buffering and attenuation of mass flows,0.0,5.518588343515195e-136,
BNP Paribas SA,Climate regulation,0.0,5.518588343515195e-136,
BNP Paribas SA,Dilution by atmosphere and ecosystems,0.0,5.518588343515195e-136,
BNP Paribas SA,Disease control,0.0,5.518588343515195e-136,
BNP Paribas SA,Fibres and other materials,0.0,5.518588343515195e-136,
BNP Paribas SA,Filtration,0.0,5.518588343515195e-136,
BNP Paribas SA,Flood and storm protection,0.0,5.518588343515195e-136,
BNP Paribas SA,Genetic materials,0.0,5.518588343515195e-136,
BNP Paribas SA,Ground water,0.0,5.518588343515195e-136,
BNP Paribas SA,Maintain nursery habitats,0.0,5.518588343515195e-136,
