Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Bio-remediation,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Climate regulation,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Disease control,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Fibres and other materials,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Filtration,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Flood and storm protection,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Genetic materials,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Ground water,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Maintain nursery habitats,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Mediation of sensory impacts,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Pest control,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Pollination,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Soil quality,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Surface water,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Ventilation,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Water flow maintenance,595.0,1.8264165951516497e-07,
Agricultural Bank of China Ltd,Water quality,595.0,1.8264165951516497e-07,
BNP Paribas SA,Animal-based energy,335790.0,5.518588343515195e-136,
BNP Paribas SA,Bio-remediation,335790.0,5.518588343515195e-136,
BNP Paribas SA,Buffering and attenuation of mass flows,335790.0,5.518588343515195e-136,
BNP Paribas SA,Climate regulation,335790.0,5.518588343515195e-136,
BNP Paribas SA,Dilution by atmosphere and ecosystems,335790.0,5.518588343515195e-136,
BNP Paribas SA,Disease control,335790.0,5.518588343515195e-136,
BNP Paribas SA,Fibres and other materials,335790.0,5.518588343515195e-136,
BNP Paribas SA,Filtration,335790.0,5.518588343515195e-136,
BNP Paribas SA,Flood and storm protection,335790.0,5.518588343515195e-136,
BNP Paribas SA,Genetic materials,335790.0,5.518588343515195e-136,
BNP Paribas SA,Ground water,335790.0,5.518588343515195e-136,
BNP Paribas SA,Maintain nursery habitats,335790.0,5.518588343515195e-136,
BNP Paribas SA,Mass stabilisation and erosion control,335790.0,5.518588343515195e-136,
BNP Paribas SA,Mediation of sensory impacts,335790.0,5.518588343515195e-136,
BNP Paribas SA,Pest control,335790.0,5.518588343515195e-136,
