,Agricultural Bank of China Ltd,BNP Paribas SA,Banco Santander SA,Bank of America Corp,Bank of China Ltd,Bank of Communications Co Ltd,Bank of New York Mellon Corp,Barclays PLC,China Construction Bank Corp,Citigroup Inc,Credite Agricole SA,Deutsche Bank AG,Goldman Sachs Group Inc,Groupe BPCE,HSBC Holdings PLC,ING Groupe NV,Industrial & Commercial Bank of China Ltd,JPMorgan Chase & Co,Mitsubishi UFJ Financial Group Inc,Mizuho Financial Group Inc,Morgan Stanley,Royal Bank of Canada,Societe Generale SA,Standard Chartered PLC,State Street Corp,Sumitomo Mitsui Financial Group Inc,Toronto-Dominion Bank,UBS Group AG,Wells Fargo & Co
Animal-based energy,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Bio-remediation,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Buffering and attenuation of mass flows,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Climate regulation,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Dilution by atmosphere and ecosystems,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Disease control,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Fibres and other materials,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Filtration,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Flood and storm protection,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Genetic materials,NS,***,***,***,*,NS,***,***,NS,***,***,***,***,***,***,***,NS,***,***,***,***,***,***,***,***,***,***,***,*
Ground water,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Maintain nursery habitats,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mass stabilisation and erosion control,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mediation of sensory impacts,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Pest control,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Pollination,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Soil quality,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Surface water,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Ventilation,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Water flow maintenance,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Water quality,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
