Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Bio-remediation,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Climate regulation,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Disease control,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Filtration,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Flood and storm protection,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Genetic materials,10153.0,1.0,
Agricultural Bank of China Ltd,Ground water,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Mediation of sensory impacts,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Pest control,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Pollination,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Soil quality,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Surface water,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Ventilation,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Water flow maintenance,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Water quality,0.0,0.0038428970276066315,
BNP Paribas SA,Animal-based energy,0.0,1.0473742828591368e-34,
BNP Paribas SA,Bio-remediation,0.0,1.0473742828591368e-34,
BNP Paribas SA,Buffering and attenuation of mass flows,0.0,1.0473742828591368e-34,
BNP Paribas SA,Climate regulation,0.0,1.0473742828591368e-34,
BNP Paribas SA,Dilution by atmosphere and ecosystems,0.0,1.0473742828591368e-34,
BNP Paribas SA,Disease control,0.0,1.0473742828591368e-34,
BNP Paribas SA,Fibres and other materials,0.0,1.0473742828591368e-34,
BNP Paribas SA,Filtration,0.0,1.0473742828591368e-34,
BNP Paribas SA,Flood and storm protection,0.0,1.0473742828591368e-34,
BNP Paribas SA,Genetic materials,0.0,0.0007368904219375711,
BNP Paribas SA,Ground water,0.0,1.0473742828591368e-34,
BNP Paribas SA,Maintain nursery habitats,0.0,1.0473742828591368e-34,
BNP Paribas SA,Mass stabilisation and erosion control,0.0,1.0473742828591368e-34,
BNP Paribas SA,Mediation of sensory impacts,0.0,1.0473742828591368e-34,
BNP Paribas SA,Pest control,0.0,1.0473742828591368e-34,
BNP Paribas SA,Pollination,0.0,1.0473742828591368e-34,
BNP Paribas SA,Soil quality,0.0,1.0473742828591368e-34,
BNP Paribas SA,Surface water,0.0,1.0473742828591368e-34,
BNP Paribas SA,Ventilation,0.0,1.0473742828591368e-34,
BNP Paribas SA,Water flow maintenance,0.0,1.0473742828591368e-34,
BNP Paribas SA,Water quality,0.0,1.0473742828591368e-34,
Banco Santander SA,Animal-based energy,0.0,5.3668337113645406e-120,
Banco Santander SA,Bio-remediation,0.0,5.3668337113645406e-120,
Banco Santander SA,Buffering and attenuation of mass flows,0.0,5.3668337113645406e-120,
Banco Santander SA,Climate regulation,0.0,5.3668337113645406e-120,
Banco Santander SA,Dilution by atmosphere and ecosystems,0.0,5.3668337113645406e-120,
Banco Santander SA,Disease control,0.0,5.3668337113645406e-120,
Banco Santander SA,Fibres and other materials,0.0,5.3668337113645406e-120,
Banco Santander SA,Filtration,0.0,5.3668337113645406e-120,
Banco Santander SA,Flood and storm protection,0.0,5.3668337113645406e-120,
Banco Santander SA,Genetic materials,0.0,1.761475238199409e-09,
Banco Santander SA,Ground water,0.0,5.3668337113645406e-120,
Banco Santander SA,Maintain nursery habitats,0.0,5.3668337113645406e-120,
Banco Santander SA,Mass stabilisation and erosion control,0.0,5.3668337113645406e-120,
Banco Santander SA,Mediation of sensory impacts,0.0,5.3668337113645406e-120,
Banco Santander SA,Pest control,0.0,5.3668337113645406e-120,
Banco Santander SA,Pollination,0.0,5.3668337113645406e-120,
Banco Santander SA,Soil quality,0.0,5.3668337113645406e-120,
Banco Santander SA,Surface water,0.0,5.3668337113645406e-120,
Banco Santander SA,Ventilation,0.0,5.3668337113645406e-120,
Banco Santander SA,Water flow maintenance,0.0,5.3668337113645406e-120,
Banco Santander SA,Water quality,0.0,5.3668337113645406e-120,
Bank of America Corp,Animal-based energy,1942.0,6.572070806047125e-132,
Bank of America Corp,Bio-remediation,1958.0,6.967352892676651e-132,
Bank of America Corp,Buffering and attenuation of mass flows,1948.0,6.717607328941414e-132,
Bank of America Corp,Climate regulation,1956.0,6.916673038492305e-132,
Bank of America Corp,Dilution by atmosphere and ecosystems,1956.0,6.916673038492305e-132,
Bank of America Corp,Disease control,1953.0,6.841342477412399e-132,
Bank of America Corp,Fibres and other materials,1957.0,6.941966794420303e-132,
Bank of America Corp,Filtration,1962.0,7.069827458497886e-132,
Bank of America Corp,Flood and storm protection,1960.0,7.018403463624651e-132,
Bank of America Corp,Genetic materials,0.0,2.572638025858828e-10,
