Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Bio-remediation,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Climate regulation,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Disease control,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Fibres and other materials,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Filtration,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Flood and storm protection,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Genetic materials,10153.0,2.372336736894489e-25,
Agricultural Bank of China Ltd,Ground water,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Maintain nursery habitats,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Mediation of sensory impacts,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Pest control,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Pollination,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Soil quality,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Surface water,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Ventilation,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Water flow maintenance,45.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Water quality,45.0,0.0038428970276066315,
BNP Paribas SA,Animal-based energy,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Bio-remediation,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Buffering and attenuation of mass flows,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Climate regulation,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Dilution by atmosphere and ecosystems,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Disease control,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Fibres and other materials,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Filtration,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Flood and storm protection,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Genetic materials,91.0,0.0007368904219375711,
BNP Paribas SA,Ground water,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Maintain nursery habitats,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Mass stabilisation and erosion control,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Mediation of sensory impacts,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Pest control,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Pollination,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Soil quality,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Surface water,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Ventilation,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Water flow maintenance,19900.0,1.0473742828591368e-34,
BNP Paribas SA,Water quality,19900.0,1.0473742828591368e-34,
Banco Santander SA,Animal-based energy,260281.0,5.3668337113645406e-120,
Banco Santander SA,Bio-remediation,260281.0,5.3668337113645406e-120,
Banco Santander SA,Buffering and attenuation of mass flows,260281.0,5.3668337113645406e-120,
Banco Santander SA,Climate regulation,260281.0,5.3668337113645406e-120,
Banco Santander SA,Dilution by atmosphere and ecosystems,260281.0,5.3668337113645406e-120,
Banco Santander SA,Disease control,260281.0,5.3668337113645406e-120,
Banco Santander SA,Fibres and other materials,260281.0,5.3668337113645406e-120,
Banco Santander SA,Filtration,260281.0,5.3668337113645406e-120,
Banco Santander SA,Flood and storm protection,260281.0,5.3668337113645406e-120,
Banco Santander SA,Genetic materials,1081.0,1.761475238199409e-09,
Banco Santander SA,Ground water,260281.0,5.3668337113645406e-120,
Banco Santander SA,Maintain nursery habitats,260281.0,5.3668337113645406e-120,
Banco Santander SA,Mass stabilisation and erosion control,260281.0,5.3668337113645406e-120,
Banco Santander SA,Mediation of sensory impacts,260281.0,5.3668337113645406e-120,
Banco Santander SA,Pest control,260281.0,5.3668337113645406e-120,
Banco Santander SA,Pollination,260281.0,5.3668337113645406e-120,
Banco Santander SA,Soil quality,260281.0,5.3668337113645406e-120,
Banco Santander SA,Surface water,260281.0,5.3668337113645406e-120,
Banco Santander SA,Ventilation,260281.0,5.3668337113645406e-120,
Banco Santander SA,Water flow maintenance,260281.0,5.3668337113645406e-120,
Banco Santander SA,Water quality,260281.0,5.3668337113645406e-120,
Bank of America Corp,Animal-based energy,328984.0,5.783708749610845e-132,
Bank of America Corp,Bio-remediation,328960.0,6.313380527776787e-132,
Bank of America Corp,Buffering and attenuation of mass flows,328966.0,6.176587532451914e-132,
Bank of America Corp,Climate regulation,328956.0,6.406251982578506e-132,
Bank of America Corp,Dilution by atmosphere and ecosystems,328956.0,6.406251982578506e-132,
Bank of America Corp,Disease control,328969.0,6.109304714306999e-132,
Bank of America Corp,Fibres and other materials,328959.0,6.336471613239817e-132,
Bank of America Corp,Filtration,328954.0,6.453197910343844e-132,
Bank of America Corp,Flood and storm protection,328947.0,6.620229815318771e-132,
Bank of America Corp,Genetic materials,1326.0,2.572638025858828e-10,
Bank of America Corp,Ground water,328959.0,6.336471613239817e-132,
Bank of America Corp,Maintain nursery habitats,328951.0,6.524261549826187e-132,
Bank of America Corp,Mass stabilisation and erosion control,328948.0,6.59610643234139e-132,
Bank of America Corp,Mediation of sensory impacts,328959.0,6.336471613239817e-132,
Bank of America Corp,Pest control,328973.0,6.020731138072457e-132,
Bank of America Corp,Pollination,328961.0,6.290373449831836e-132,
Bank of America Corp,Soil quality,328957.0,6.38290703273963e-132,
Bank of America Corp,Surface water,328969.0,6.109304714306999e-132,
