Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Bio-remediation,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Climate regulation,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Disease control,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Filtration,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Flood and storm protection,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Genetic materials,0.0,4.165198736742955e-18,
Agricultural Bank of China Ltd,Ground water,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Mediation of sensory impacts,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Pest control,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Pollination,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Soil quality,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Surface water,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Ventilation,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Water flow maintenance,0.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Water quality,0.0,1.0250425113917609e-260,
BNP Paribas SA,Animal-based energy,0.0,1.0250425113917609e-260,
BNP Paribas SA,Bio-remediation,0.0,1.0250425113917609e-260,
BNP Paribas SA,Buffering and attenuation of mass flows,0.0,1.0250425113917609e-260,
BNP Paribas SA,Climate regulation,0.0,1.0250425113917609e-260,
BNP Paribas SA,Dilution by atmosphere and ecosystems,0.0,1.0250425113917609e-260,
BNP Paribas SA,Disease control,0.0,1.0250425113917609e-260,
BNP Paribas SA,Fibres and other materials,0.0,1.0250425113917609e-260,
BNP Paribas SA,Filtration,0.0,1.0250425113917609e-260,
BNP Paribas SA,Flood and storm protection,0.0,1.0250425113917609e-260,
BNP Paribas SA,Genetic materials,0.0,4.165198736742955e-18,
BNP Paribas SA,Ground water,0.0,1.0250425113917609e-260,
BNP Paribas SA,Maintain nursery habitats,0.0,1.0250425113917609e-260,
BNP Paribas SA,Mass stabilisation and erosion control,0.0,1.0250425113917609e-260,
BNP Paribas SA,Mediation of sensory impacts,0.0,1.0250425113917609e-260,
BNP Paribas SA,Pest control,0.0,1.0250425113917609e-260,
BNP Paribas SA,Pollination,0.0,1.0250425113917609e-260,
BNP Paribas SA,Soil quality,0.0,1.0250425113917609e-260,
BNP Paribas SA,Surface water,0.0,1.0250425113917609e-260,
BNP Paribas SA,Ventilation,0.0,1.0250425113917609e-260,
BNP Paribas SA,Water flow maintenance,0.0,1.0250425113917609e-260,
BNP Paribas SA,Water quality,0.0,1.0250425113917609e-260,
Banco Santander SA,Animal-based energy,0.0,1.0250425113917609e-260,
Banco Santander SA,Bio-remediation,0.0,1.0250425113917609e-260,
Banco Santander SA,Buffering and attenuation of mass flows,0.0,1.0250425113917609e-260,
Banco Santander SA,Climate regulation,0.0,1.0250425113917609e-260,
Banco Santander SA,Dilution by atmosphere and ecosystems,0.0,1.0250425113917609e-260,
Banco Santander SA,Disease control,0.0,1.0250425113917609e-260,
Banco Santander SA,Fibres and other materials,0.0,1.0250425113917609e-260,
Banco Santander SA,Filtration,0.0,1.0250425113917609e-260,
Banco Santander SA,Flood and storm protection,0.0,1.0250425113917609e-260,
Banco Santander SA,Genetic materials,0.0,4.165198736742955e-18,
Banco Santander SA,Ground water,0.0,1.0250425113917609e-260,
Banco Santander SA,Maintain nursery habitats,0.0,1.0250425113917609e-260,
Banco Santander SA,Mass stabilisation and erosion control,0.0,1.0250425113917609e-260,
Banco Santander SA,Mediation of sensory impacts,0.0,1.0250425113917609e-260,
Banco Santander SA,Pest control,0.0,1.0250425113917609e-260,
Banco Santander SA,Pollination,0.0,1.0250425113917609e-260,
Banco Santander SA,Soil quality,0.0,1.0250425113917609e-260,
Banco Santander SA,Surface water,0.0,1.0250425113917609e-260,
Banco Santander SA,Ventilation,0.0,1.0250425113917609e-260,
Banco Santander SA,Water flow maintenance,0.0,1.0250425113917609e-260,
Banco Santander SA,Water quality,0.0,1.0250425113917609e-260,
Bank of America Corp,Animal-based energy,0.0,1.0250425113917609e-260,
Bank of America Corp,Bio-remediation,0.0,1.0250425113917609e-260,
Bank of America Corp,Buffering and attenuation of mass flows,0.0,1.0250425113917609e-260,
Bank of America Corp,Climate regulation,0.0,1.0250425113917609e-260,
Bank of America Corp,Dilution by atmosphere and ecosystems,0.0,1.0250425113917609e-260,
Bank of America Corp,Disease control,0.0,1.0250425113917609e-260,
Bank of America Corp,Fibres and other materials,0.0,1.0250425113917609e-260,
Bank of America Corp,Filtration,0.0,1.0250425113917609e-260,
Bank of America Corp,Flood and storm protection,0.0,1.0250425113917609e-260,
Bank of America Corp,Genetic materials,0.0,4.165198736742955e-18,
Bank of America Corp,Ground water,0.0,1.0250425113917609e-260,
Bank of America Corp,Maintain nursery habitats,0.0,1.0250425113917609e-260,
Bank of America Corp,Mass stabilisation and erosion control,0.0,1.0250425113917609e-260,
Bank of America Corp,Mediation of sensory impacts,0.0,1.0250425113917609e-260,
Bank of America Corp,Pest control,0.0,1.0250425113917609e-260,
Bank of America Corp,Pollination,0.0,1.0250425113917609e-260,
Bank of America Corp,Soil quality,0.0,1.0250425113917609e-260,
Bank of America Corp,Surface water,0.0,1.0250425113917609e-260,
Bank of America Corp,Ventilation,0.0,1.0250425113917609e-260,
Bank of America Corp,Water flow maintenance,0.0,1.0250425113917609e-260,
Bank of America Corp,Water quality,0.0,1.0250425113917609e-260,
Bank of China Ltd,Animal-based energy,0.0,1.0250425113917609e-260,
Bank of China Ltd,Bio-remediation,0.0,1.0250425113917609e-260,
Bank of China Ltd,Buffering and attenuation of mass flows,0.0,1.0250425113917609e-260,
Bank of China Ltd,Climate regulation,0.0,1.0250425113917609e-260,
Bank of China Ltd,Dilution by atmosphere and ecosystems,0.0,1.0250425113917609e-260,
Bank of China Ltd,Disease control,0.0,1.0250425113917609e-260,
Bank of China Ltd,Fibres and other materials,0.0,1.0250425113917609e-260,
Bank of China Ltd,Filtration,0.0,1.0250425113917609e-260,
Bank of China Ltd,Flood and storm protection,0.0,1.0250425113917609e-260,
Bank of China Ltd,Genetic materials,0.0,4.165198736742955e-18,
