Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Bio-remediation,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Climate regulation,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Disease control,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Fibres and other materials,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Filtration,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Flood and storm protection,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Genetic materials,4851.0,4.165198736742955e-18,
Agricultural Bank of China Ltd,Ground water,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Maintain nursery habitats,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Mediation of sensory impacts,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Pest control,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Pollination,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Soil quality,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Surface water,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Ventilation,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Water flow maintenance,1255320.0,1.0250425113917609e-260,
Agricultural Bank of China Ltd,Water quality,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Animal-based energy,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Bio-remediation,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Buffering and attenuation of mass flows,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Climate regulation,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Dilution by atmosphere and ecosystems,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Disease control,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Fibres and other materials,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Filtration,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Flood and storm protection,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Genetic materials,4851.0,4.165198736742955e-18,
BNP Paribas SA,Ground water,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Maintain nursery habitats,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Mass stabilisation and erosion control,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Mediation of sensory impacts,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Pest control,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Pollination,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Soil quality,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Surface water,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Ventilation,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Water flow maintenance,1255320.0,1.0250425113917609e-260,
BNP Paribas SA,Water quality,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Animal-based energy,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Bio-remediation,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Buffering and attenuation of mass flows,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Climate regulation,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Dilution by atmosphere and ecosystems,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Disease control,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Fibres and other materials,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Filtration,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Flood and storm protection,1255320.0,1.0250425113917609e-260,
Banco Santander SA,Genetic materials,4851.0,4.165198736742955e-18,
