,System
Animal-based energy,***
Bio-remediation,***
Buffering and attenuation of mass flows,***
Climate regulation,***
Dilution by atmosphere and ecosystems,***
Disease control,***
Fibres and other materials,***
Filtration,***
Flood and storm protection,***
Genetic materials,***
Ground water,***
Maintain nursery habitats,***
Mass stabilisation and erosion control,***
Mediation of sensory impacts,***
Pest control,***
Pollination,***
Soil quality,***
Surface water,***
Ventilation,***
Water flow maintenance,***
Water quality,***
