Bank,service,statistic,p-value,z
System,Animal-based energy,0.0,1.9170085891799518e-49,
System,Bio-remediation,2129.0,0.0,
System,Buffering and attenuation of mass flows,0.0,6.207224394317469e-123,
System,Climate regulation,0.0,0.0,
System,Dilution by atmosphere and ecosystems,542.0,0.0,
System,Disease control,0.0,2.3574271508765644e-95,
System,Fibres and other materials,0.0,9.1618785011732e-131,
System,Filtration,0.0,0.0,
System,Flood and storm protection,0.0,0.0,
System,Genetic materials,0.0,7.368587925740484e-111,
System,Ground water,1325.0,0.0,
System,Maintain nursery habitats,0.0,1.2385138196826183e-07,
System,Mass stabilisation and erosion control,3528.0,0.0,
System,Mediation of sensory impacts,0.0,2.1220013065765354e-200,
System,Pest control,0.0,1.6485139087236397e-142,
System,Pollination,0.0,1.2196650419221716e-89,
System,Soil quality,0.0,2.7267458223839017e-205,
System,Surface water,1294.0,0.0,
System,Ventilation,0.0,7.061834000043202e-209,
System,Water flow maintenance,0.0,0.0,
System,Water quality,0.0,0.0,
