Bank,service,statistic,p-value,z
System,Animal-based energy,41905.0,1.9170085891799518e-49,
System,Bio-remediation,3374050.0,0.0,
System,Buffering and attenuation of mass flows,273430.0,6.207224394317469e-123,
System,Climate regulation,3659865.0,0.0,
System,Dilution by atmosphere and ecosystems,1890004.0,0.0,
System,Disease control,162735.0,2.3574271508765644e-95,
System,Fibres and other materials,310078.0,9.1618785011732e-131,
System,Filtration,4226778.0,0.0,
System,Flood and storm protection,4000206.0,0.0,
System,Genetic materials,221445.0,7.368587925740484e-111,
System,Ground water,8149407.0,0.0,
System,Maintain nursery habitats,630.0,1.2385138196826183e-07,
System,Mass stabilisation and erosion control,7382748.0,0.0,
System,Mediation of sensory impacts,737505.0,2.1220013065765354e-200,
System,Pest control,369370.0,1.6485139087236397e-142,
System,Pollination,143380.0,1.2196650419221716e-89,
System,Soil quality,774390.0,2.7267458223839017e-205,
System,Surface water,8149439.0,0.0,
System,Ventilation,802011.0,7.061834000043202e-209,
System,Water flow maintenance,3915801.0,0.0,
System,Water quality,3278080.0,0.0,
