Bank,service,statistic,p-value,z
System,Animal-based energy,2562.0,0.0,
System,Bio-remediation,3446.0,0.0,
System,Buffering and attenuation of mass flows,4458.0,0.0,
System,Climate regulation,3453.0,0.0,
System,Dilution by atmosphere and ecosystems,2906.0,0.0,
System,Disease control,2572.0,0.0,
System,Fibres and other materials,3356.0,0.0,
System,Filtration,2847.0,0.0,
System,Flood and storm protection,3672.0,0.0,
System,Genetic materials,3333.0,0.0,
System,Ground water,3272.0,0.0,
System,Maintain nursery habitats,3509.0,0.0,
System,Mass stabilisation and erosion control,3705.0,0.0,
System,Mediation of sensory impacts,3682.0,0.0,
System,Pest control,2879.0,0.0,
System,Pollination,2534.0,0.0,
System,Soil quality,3522.0,0.0,
System,Surface water,3227.0,0.0,
System,Ventilation,3403.0,0.0,
System,Water flow maintenance,3449.0,0.0,
System,Water quality,3245.0,0.0,
