Bank,service,statistic,p-value,z
System,Animal-based energy,13091840.0,0.0,
System,Bio-remediation,13090900.0,0.0,
System,Buffering and attenuation of mass flows,13090355.0,0.0,
System,Climate regulation,13091041.0,0.0,
System,Dilution by atmosphere and ecosystems,13091456.0,0.0,
System,Disease control,13091768.0,0.0,
System,Fibres and other materials,13091033.0,0.0,
System,Filtration,13091338.0,0.0,
System,Flood and storm protection,13090820.0,0.0,
System,Genetic materials,13091058.0,0.0,
System,Ground water,13091179.0,0.0,
System,Maintain nursery habitats,13090848.0,0.0,
System,Mass stabilisation and erosion control,13090781.0,0.0,
System,Mediation of sensory impacts,13090793.0,0.0,
System,Pest control,13091336.0,0.0,
System,Pollination,13091756.0,0.0,
System,Soil quality,13091143.0,0.0,
System,Surface water,13091236.0,0.0,
System,Ventilation,13090902.0,0.0,
System,Water flow maintenance,13091009.0,0.0,
System,Water quality,13091108.0,0.0,
