Bank,service,statistic,p-value,z
System,Animal-based energy,0.0,1.7763568394002505e-15,
System,Bio-remediation,0.0,1.7763568394002505e-15,
System,Buffering and attenuation of mass flows,0.0,1.7763568394002505e-15,
System,Climate regulation,0.0,1.7763568394002505e-15,
System,Dilution by atmosphere and ecosystems,0.0,1.7763568394002505e-15,
System,Disease control,0.0,1.7763568394002505e-15,
System,Fibres and other materials,0.0,1.7763568394002505e-15,
System,Filtration,0.0,1.7763568394002505e-15,
System,Flood and storm protection,0.0,1.7763568394002505e-15,
System,Genetic materials,0.0,1.7763568394002505e-15,
System,Ground water,0.0,1.7763568394002505e-15,
System,Maintain nursery habitats,0.0,1.7763568394002505e-15,
System,Mass stabilisation and erosion control,0.0,1.7763568394002505e-15,
System,Mediation of sensory impacts,0.0,1.7763568394002505e-15,
System,Pest control,0.0,1.7763568394002505e-15,
System,Pollination,0.0,1.7763568394002505e-15,
System,Soil quality,0.0,1.7763568394002505e-15,
System,Surface water,0.0,1.7763568394002505e-15,
System,Ventilation,0.0,1.7763568394002505e-15,
System,Water flow maintenance,0.0,1.7763568394002505e-15,
System,Water quality,0.0,1.7763568394002505e-15,
