Bank,service,statistic,p-value,z
System,Animal-based energy,1225.0,1.7763568394002505e-15,
System,Bio-remediation,1225.0,1.7763568394002505e-15,
System,Buffering and attenuation of mass flows,1225.0,1.7763568394002505e-15,
System,Climate regulation,1225.0,1.7763568394002505e-15,
System,Dilution by atmosphere and ecosystems,1225.0,1.7763568394002505e-15,
System,Disease control,1225.0,1.7763568394002505e-15,
System,Fibres and other materials,1225.0,1.7763568394002505e-15,
System,Filtration,1225.0,1.7763568394002505e-15,
System,Flood and storm protection,1225.0,1.7763568394002505e-15,
System,Genetic materials,1225.0,1.7763568394002505e-15,
System,Ground water,1225.0,1.7763568394002505e-15,
System,Maintain nursery habitats,1225.0,1.7763568394002505e-15,
System,Mass stabilisation and erosion control,1225.0,1.7763568394002505e-15,
System,Mediation of sensory impacts,1225.0,1.7763568394002505e-15,
System,Pest control,1225.0,1.7763568394002505e-15,
System,Pollination,1225.0,1.7763568394002505e-15,
System,Soil quality,1225.0,1.7763568394002505e-15,
System,Surface water,1225.0,1.7763568394002505e-15,
System,Ventilation,1225.0,1.7763568394002505e-15,
System,Water flow maintenance,1225.0,1.7763568394002505e-15,
System,Water quality,1225.0,1.7763568394002505e-15,
