Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Bio-remediation,30.0,0.3994296749980248,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Climate regulation,20.0,0.7777066305441273,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,11.0,0.9536996510896621,
Agricultural Bank of China Ltd,Disease control,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Filtration,23.0,0.6767688986679152,
Agricultural Bank of China Ltd,Flood and storm protection,33.0,0.28753106508697485,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Ground water,35.0,0.22229336945587275,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,21.0,0.7461878278452381,
Agricultural Bank of China Ltd,Mediation of sensory impacts,19.0,0.8068646398167587,
Agricultural Bank of China Ltd,Pest control,10.0,0.9627690842912973,
Agricultural Bank of China Ltd,Pollination,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Soil quality,10.0,0.9627690842912973,
Agricultural Bank of China Ltd,Surface water,35.0,0.22229336945587275,
Agricultural Bank of China Ltd,Ventilation,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Water flow maintenance,4.0,0.9916975609481387,
Agricultural Bank of China Ltd,Water quality,28.0,0.47967681702008175,
BNP Paribas SA,Animal-based energy,61.0,0.9999264410905017,
BNP Paribas SA,Bio-remediation,314.0,0.17490780947157758,
BNP Paribas SA,Buffering and attenuation of mass flows,240.0,0.6732028520933995,
BNP Paribas SA,Climate regulation,317.0,0.16083209436892582,
BNP Paribas SA,Dilution by atmosphere and ecosystems,276.0,0.4112279846595637,
BNP Paribas SA,Disease control,61.0,0.9999264410905017,
BNP Paribas SA,Fibres and other materials,79.0,0.9997292132243071,
BNP Paribas SA,Filtration,262.0,0.5149161183382575,
BNP Paribas SA,Flood and storm protection,330.0,0.10857722812079362,
BNP Paribas SA,Genetic materials,161.0,0.9729472386610806,
BNP Paribas SA,Ground water,304.0,0.22724286875307853,
