Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Bio-remediation,20.0,0.7777066305441273,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Climate regulation,16.0,0.8794393158612909,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Disease control,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Filtration,21.0,0.7461878278452381,
Agricultural Bank of China Ltd,Flood and storm protection,32.0,0.3232311013320848,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Ground water,34.0,0.2538121721547619,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,12.0,0.9429358361188807,
Agricultural Bank of China Ltd,Mediation of sensory impacts,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Pest control,10.0,0.9627690842912973,
Agricultural Bank of China Ltd,Pollination,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Soil quality,10.0,0.9627690842912973,
Agricultural Bank of China Ltd,Surface water,34.0,0.2538121721547619,
Agricultural Bank of China Ltd,Ventilation,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Water flow maintenance,4.0,0.9916975609481387,
Agricultural Bank of China Ltd,Water quality,28.0,0.47967681702008175,
BNP Paribas SA,Animal-based energy,61.0,0.9999264410905017,
BNP Paribas SA,Bio-remediation,259.0,0.5372447195826835,
BNP Paribas SA,Buffering and attenuation of mass flows,200.0,0.8842945136300492,
BNP Paribas SA,Climate regulation,240.0,0.6732028520933995,
BNP Paribas SA,Dilution by atmosphere and ecosystems,266.0,0.48508388166174254,
BNP Paribas SA,Disease control,61.0,0.9999264410905017,
BNP Paribas SA,Fibres and other materials,79.0,0.9997292132243071,
BNP Paribas SA,Filtration,245.0,0.6388100275909772,
BNP Paribas SA,Flood and storm protection,252.0,0.5887720153404363,
BNP Paribas SA,Genetic materials,139.0,0.990289957594167,
BNP Paribas SA,Ground water,297.0,0.2685959221734261,
BNP Paribas SA,Maintain nursery habitats,31.0,0.9999934027082577,
BNP Paribas SA,Mass stabilisation and erosion control,306.0,0.21612259027060565,
BNP Paribas SA,Mediation of sensory impacts,235.0,0.7061834835845717,
BNP Paribas SA,Pest control,57.0,0.9999457340278907,
BNP Paribas SA,Pollination,61.0,0.9999264410905017,
BNP Paribas SA,Soil quality,199.0,0.8878991412987579,
BNP Paribas SA,Surface water,293.0,0.29381651641542833,
BNP Paribas SA,Ventilation,224.0,0.7727571312469215,
BNP Paribas SA,Water flow maintenance,294.0,0.28740960991134556,
BNP Paribas SA,Water quality,252.0,0.5887720153404363,
Banco Santander SA,Animal-based energy,273.0,0.9871893449024951,
Banco Santander SA,Bio-remediation,381.0,0.8109786160824968,
Banco Santander SA,Buffering and attenuation of mass flows,383.0,0.804139630292415,
Banco Santander SA,Climate regulation,453.0,0.49251807847699575,
Banco Santander SA,Dilution by atmosphere and ecosystems,579.0,0.05544370618063311,
Banco Santander SA,Disease control,272.0,0.987596907223769,
Banco Santander SA,Fibres and other materials,311.0,0.9605210423466238,
Banco Santander SA,Filtration,446.0,0.5274137108485717,
Banco Santander SA,Flood and storm protection,507.0,0.24385573664298604,
Banco Santander SA,Genetic materials,291.0,0.9776165438162541,
Banco Santander SA,Ground water,566.0,0.07611921514877167,
Banco Santander SA,Maintain nursery habitats,285.0,0.9813223707476634,
Banco Santander SA,Mass stabilisation and erosion control,738.0,0.0001702913980434342,
Banco Santander SA,Mediation of sensory impacts,258.0,0.9922281920604874,
Banco Santander SA,Pest control,326.0,0.9417004688952677,
Banco Santander SA,Pollination,288.0,0.9795404600203007,
Banco Santander SA,Soil quality,400.0,0.7401924014182665,
Banco Santander SA,Surface water,461.0,0.4527229235163379,
Banco Santander SA,Ventilation,356.0,0.8837805509292649,
Banco Santander SA,Water flow maintenance,468.0,0.4182742075658845,
Banco Santander SA,Water quality,560.0,0.08744661850738555,
Bank of America Corp,Animal-based energy,307.0,0.9912499712568104,
Bank of America Corp,Bio-remediation,512.0,0.5247510489271628,
Bank of America Corp,Buffering and attenuation of mass flows,435.0,0.8241308922395565,
Bank of America Corp,Climate regulation,472.0,0.6962284265695403,
Bank of America Corp,Dilution by atmosphere and ecosystems,603.0,0.16725095212302532,
Bank of America Corp,Disease control,278.0,0.9965679712328287,
Bank of America Corp,Fibres and other materials,398.0,0.9113094206061023,
Bank of America Corp,Filtration,546.0,0.37384179854945393,
Bank of America Corp,Flood and storm protection,494.0,0.6045944352841559,
Bank of America Corp,Genetic materials,278.0,0.9965679712328287,
Bank of America Corp,Ground water,608.0,0.15350325768852902,
Bank of America Corp,Maintain nursery habitats,278.0,0.9965679712328287,
Bank of America Corp,Mass stabilisation and erosion control,763.0,0.0027934153192443515,
Bank of America Corp,Mediation of sensory impacts,548.0,0.36532149898145116,
Bank of America Corp,Pest control,337.0,0.9791951672266442,
Bank of America Corp,Pollination,309.0,0.9907000586430122,
Bank of America Corp,Soil quality,404.0,0.8999272455393134,
Bank of America Corp,Surface water,598.0,0.18176800398754617,
Bank of America Corp,Ventilation,518.0,0.49774847114784637,
Bank of America Corp,Water flow maintenance,575.0,0.2581581283024177,
Bank of America Corp,Water quality,537.0,0.41289381122522206,
Bank of China Ltd,Animal-based energy,26.0,0.9999549988399926,
Bank of China Ltd,Bio-remediation,173.0,0.6496589938411532,
Bank of China Ltd,Buffering and attenuation of mass flows,82.0,0.9949249719199075,
Bank of China Ltd,Climate regulation,185.0,0.5382794227656842,
Bank of China Ltd,Dilution by atmosphere and ecosystems,165.0,0.7178951423330618,
Bank of China Ltd,Disease control,26.0,0.9999549988399926,
Bank of China Ltd,Fibres and other materials,39.0,0.999843170527372,
Bank of China Ltd,Filtration,170.0,0.6759757710776204,
Bank of China Ltd,Flood and storm protection,216.0,0.2582742420732513,
Bank of China Ltd,Genetic materials,53.0,0.9994572987198349,
Bank of China Ltd,Ground water,218.0,0.24298746414018446,
Bank of China Ltd,Maintain nursery habitats,0.0,0.9999971969417363,
Bank of China Ltd,Mass stabilisation and erosion control,234.0,0.13982076701865076,
Bank of China Ltd,Mediation of sensory impacts,130.0,0.9218279421500946,
Bank of China Ltd,Pest control,62.0,0.9988602611471189,
Bank of China Ltd,Pollination,26.0,0.9999549988399926,
Bank of China Ltd,Soil quality,126.0,0.9349331591559658,
Bank of China Ltd,Surface water,189.0,0.5,
Bank of China Ltd,Ventilation,125.0,0.937926768474873,
Bank of China Ltd,Water flow maintenance,157.0,0.7789939661037887,
Bank of China Ltd,Water quality,179.0,0.5949317690877804,
Bank of Communications Co Ltd,Animal-based energy,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Bio-remediation,19.0,0.9416677676094882,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Climate regulation,30.0,0.7599115550469615,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,31.0,0.7348577015831952,
Bank of Communications Co Ltd,Disease control,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Fibres and other materials,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Filtration,43.0,0.3768418588630787,
Bank of Communications Co Ltd,Flood and storm protection,43.0,0.3768418588630787,
Bank of Communications Co Ltd,Genetic materials,11.0,0.9859719379253782,
Bank of Communications Co Ltd,Ground water,42.0,0.40697267315083047,
Bank of Communications Co Ltd,Maintain nursery habitats,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,34.0,0.6525566988137633,
Bank of Communications Co Ltd,Mediation of sensory impacts,41.0,0.437664624573961,
Bank of Communications Co Ltd,Pest control,11.0,0.9859719379253782,
Bank of Communications Co Ltd,Pollination,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Soil quality,17.0,0.9578102787030197,
Bank of Communications Co Ltd,Surface water,42.0,0.40697267315083047,
Bank of Communications Co Ltd,Ventilation,30.0,0.7599115550469615,
Bank of Communications Co Ltd,Water flow maintenance,29.0,0.7836162096661077,
Bank of Communications Co Ltd,Water quality,35.0,0.6231581411369214,
Bank of New York Mellon Corp,Animal-based energy,473.0,0.6013118899793604,
Bank of New York Mellon Corp,Bio-remediation,433.0,0.7653295719027787,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,485.0,0.5464518678911491,
Bank of New York Mellon Corp,Climate regulation,471.0,0.6102937085798846,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,695.0,0.00979685266560458,
Bank of New York Mellon Corp,Disease control,434.0,0.7617309969189846,
Bank of New York Mellon Corp,Fibres and other materials,478.0,0.5786313101634075,
Bank of New York Mellon Corp,Filtration,588.0,0.13888822456310568,
Bank of New York Mellon Corp,Flood and storm protection,558.0,0.2311021111736991,
Bank of New York Mellon Corp,Genetic materials,441.0,0.7357149898677976,
Bank of New York Mellon Corp,Ground water,666.0,0.02298858020652411,
Bank of New York Mellon Corp,Maintain nursery habitats,436.0,0.7544440335283377,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,812.0,0.00010803315582965346,
Bank of New York Mellon Corp,Mediation of sensory impacts,564.0,0.21033965071119537,
Bank of New York Mellon Corp,Pest control,430.0,0.7759428489577133,
Bank of New York Mellon Corp,Pollination,438.0,0.7470390219911098,
Bank of New York Mellon Corp,Soil quality,418.0,0.8155684068848588,
Bank of New York Mellon Corp,Surface water,635.0,0.051147594878706924,
Bank of New York Mellon Corp,Ventilation,667.0,0.02236029471695324,
Bank of New York Mellon Corp,Water flow maintenance,628.0,0.06031488927962163,
Bank of New York Mellon Corp,Water quality,671.0,0.019990077257818015,
Barclays PLC,Animal-based energy,125.0,0.9990709944682755,
Barclays PLC,Bio-remediation,355.0,0.2561805315943699,
Barclays PLC,Buffering and attenuation of mass flows,202.0,0.9679039397808816,
Barclays PLC,Climate regulation,320.0,0.46736482101330507,
Barclays PLC,Dilution by atmosphere and ecosystems,375.0,0.1628655977306223,
Barclays PLC,Disease control,119.0,0.9993370452050532,
Barclays PLC,Fibres and other materials,260.0,0.8161667219923776,
Barclays PLC,Filtration,297.0,0.6159360533104112,
Barclays PLC,Flood and storm protection,394.0,0.09784094965186346,
Barclays PLC,Genetic materials,207.0,0.9615486769733821,
Barclays PLC,Ground water,337.0,0.35929601671054023,
Barclays PLC,Maintain nursery habitats,103.0,0.9997420655879167,
Barclays PLC,Mass stabilisation and erosion control,405.0,0.07022425624112781,
Barclays PLC,Mediation of sensory impacts,311.0,0.5261186438934335,
Barclays PLC,Pest control,142.0,0.9976985952533706,
Barclays PLC,Pollination,122.0,0.9992143285957685,
Barclays PLC,Soil quality,208.0,0.9601619315759705,
Barclays PLC,Surface water,312.0,0.519595112274922,
Barclays PLC,Ventilation,324.0,0.44140330401054545,
Barclays PLC,Water flow maintenance,268.0,0.7792965797999118,
Barclays PLC,Water quality,325.0,0.43494766931390666,
China Construction Bank Corp,Animal-based energy,13.0,0.9884350987513203,
China Construction Bank Corp,Bio-remediation,47.0,0.458255953931947,
China Construction Bank Corp,Buffering and attenuation of mass flows,16.0,0.9803783619248366,
China Construction Bank Corp,Climate regulation,31.0,0.844551585741694,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,51.0,0.350351706125841,
China Construction Bank Corp,Disease control,13.0,0.9884350987513203,
China Construction Bank Corp,Fibres and other materials,12.0,0.9903882804512255,
