Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Bio-remediation,12.0,0.9429358361188807,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Climate regulation,11.0,0.9536996510896621,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Disease control,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Filtration,13.0,0.930293013339234,
Agricultural Bank of China Ltd,Flood and storm protection,28.0,0.47967681702008175,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Ground water,29.0,0.4392408717164356,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,12.0,0.9429358361188807,
Agricultural Bank of China Ltd,Mediation of sensory impacts,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Pest control,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Pollination,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Soil quality,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Surface water,29.0,0.4392408717164356,
Agricultural Bank of China Ltd,Ventilation,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Water flow maintenance,6.0,0.9857915679125682,
Agricultural Bank of China Ltd,Water quality,21.0,0.7461878278452381,
BNP Paribas SA,Animal-based energy,61.0,0.9999264410905017,
BNP Paribas SA,Bio-remediation,226.0,0.7613214420107377,
BNP Paribas SA,Buffering and attenuation of mass flows,85.0,0.9995917063289715,
BNP Paribas SA,Climate regulation,228.0,0.7495778300534939,
BNP Paribas SA,Dilution by atmosphere and ecosystems,245.0,0.6388100275909772,
BNP Paribas SA,Disease control,61.0,0.9999264410905017,
BNP Paribas SA,Fibres and other materials,84.0,0.9996184025570997,
BNP Paribas SA,Filtration,239.0,0.6799194245386394,
BNP Paribas SA,Flood and storm protection,245.0,0.6388100275909772,
BNP Paribas SA,Genetic materials,61.0,0.9999264410905017,
BNP Paribas SA,Ground water,286.0,0.34039817704160424,
BNP Paribas SA,Maintain nursery habitats,31.0,0.9999934027082577,
BNP Paribas SA,Mass stabilisation and erosion control,277.0,0.4039693039814256,
BNP Paribas SA,Mediation of sensory impacts,177.0,0.9481110337688464,
BNP Paribas SA,Pest control,86.0,0.9995632859096816,
BNP Paribas SA,Pollination,61.0,0.9999264410905017,
BNP Paribas SA,Soil quality,165.0,0.967929250478519,
BNP Paribas SA,Surface water,281.0,0.3752872323145901,
BNP Paribas SA,Ventilation,175.0,0.9519643295358331,
BNP Paribas SA,Water flow maintenance,279.0,0.3895530623804347,
BNP Paribas SA,Water quality,244.0,0.645789954110457,
Banco Santander SA,Animal-based energy,301.0,0.9700685064721106,
Banco Santander SA,Bio-remediation,288.0,0.9795404600203007,
Banco Santander SA,Buffering and attenuation of mass flows,315.0,0.9560657443664725,
Banco Santander SA,Climate regulation,383.0,0.804139630292415,
Banco Santander SA,Dilution by atmosphere and ecosystems,613.0,0.021725858751195686,
Banco Santander SA,Disease control,261.0,0.9913893340341192,
Banco Santander SA,Fibres and other materials,324.0,0.9445562938193669,
Banco Santander SA,Filtration,413.0,0.6848807029108849,
Banco Santander SA,Flood and storm protection,500.0,0.2721153927449012,
