Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Bio-remediation,29.0,0.4392408717164356,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Climate regulation,12.0,0.9429358361188807,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,5.0,0.9890878621869732,
Agricultural Bank of China Ltd,Disease control,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Filtration,20.0,0.7777066305441273,
Agricultural Bank of China Ltd,Flood and storm protection,25.0,0.6005703250019752,
Agricultural Bank of China Ltd,Genetic materials,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Ground water,34.0,0.2538121721547619,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,22.0,0.7124689349130251,
Agricultural Bank of China Ltd,Mediation of sensory impacts,10.0,0.9627690842912973,
Agricultural Bank of China Ltd,Pest control,10.0,0.9627690842912973,
Agricultural Bank of China Ltd,Pollination,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Soil quality,10.0,0.9627690842912973,
Agricultural Bank of China Ltd,Surface water,33.0,0.28753106508697485,
Agricultural Bank of China Ltd,Ventilation,5.0,0.9890878621869732,
Agricultural Bank of China Ltd,Water flow maintenance,2.0,0.9953279434988975,
Agricultural Bank of China Ltd,Water quality,26.0,0.5607591282835644,
BNP Paribas SA,Animal-based energy,28.0,0.9999949014174745,
BNP Paribas SA,Bio-remediation,113.0,0.9976251743914227,
BNP Paribas SA,Buffering and attenuation of mass flows,136.0,0.9916549471367679,
BNP Paribas SA,Climate regulation,134.0,0.9924685283730718,
BNP Paribas SA,Dilution by atmosphere and ecosystems,206.0,0.8609369487087359,
BNP Paribas SA,Disease control,28.0,0.9999949014174745,
