Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Bio-remediation,19.0,0.8068646398167587,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Climate regulation,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Disease control,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Filtration,19.0,0.8068646398167587,
Agricultural Bank of China Ltd,Flood and storm protection,23.0,0.6767688986679152,
Agricultural Bank of China Ltd,Genetic materials,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Ground water,28.0,0.47967681702008175,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,20.0,0.7777066305441273,
Agricultural Bank of China Ltd,Mediation of sensory impacts,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Pest control,10.0,0.9627690842912973,
Agricultural Bank of China Ltd,Pollination,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Soil quality,10.0,0.9627690842912973,
Agricultural Bank of China Ltd,Surface water,26.0,0.5607591282835644,
Agricultural Bank of China Ltd,Ventilation,3.0,0.993742340654963,
Agricultural Bank of China Ltd,Water flow maintenance,2.0,0.9953279434988975,
Agricultural Bank of China Ltd,Water quality,24.0,0.6393616504854222,
BNP Paribas SA,Animal-based energy,28.0,0.9999949014174745,
BNP Paribas SA,Bio-remediation,88.0,0.9995008642189542,
BNP Paribas SA,Buffering and attenuation of mass flows,122.0,0.9960375109814584,
BNP Paribas SA,Climate regulation,139.0,0.990289957594167,
BNP Paribas SA,Dilution by atmosphere and ecosystems,196.0,0.898229546965537,
BNP Paribas SA,Disease control,28.0,0.9999949014174745,
BNP Paribas SA,Fibres and other materials,24.0,0.9999964009587238,
BNP Paribas SA,Filtration,125.0,0.9953272895189957,
BNP Paribas SA,Flood and storm protection,162.0,0.9717585981224764,
BNP Paribas SA,Genetic materials,146.0,0.986324616981666,
BNP Paribas SA,Ground water,168.0,0.9636809738991869,
BNP Paribas SA,Maintain nursery habitats,28.0,0.9999949014174745,
BNP Paribas SA,Mass stabilisation and erosion control,263.0,0.5074593629876228,
BNP Paribas SA,Mediation of sensory impacts,116.0,0.9971751045684834,
BNP Paribas SA,Pest control,53.0,0.9999601792449109,
BNP Paribas SA,Pollination,28.0,0.9999949014174745,
BNP Paribas SA,Soil quality,223.0,0.7783571227893691,
BNP Paribas SA,Surface water,163.0,0.9705268017786939,
BNP Paribas SA,Ventilation,108.0,0.9982331171979165,
BNP Paribas SA,Water flow maintenance,218.0,0.8051471580077592,
BNP Paribas SA,Water quality,198.0,0.8914227718792064,
Banco Santander SA,Animal-based energy,127.0,0.9999751931019264,
Banco Santander SA,Bio-remediation,31.0,0.9999999271018003,
Banco Santander SA,Buffering and attenuation of mass flows,270.0,0.9883784485085303,
Banco Santander SA,Climate regulation,196.0,0.9993000849421052,
Banco Santander SA,Dilution by atmosphere and ecosystems,332.0,0.9324367316718478,
Banco Santander SA,Disease control,127.0,0.9999751931019264,
Banco Santander SA,Fibres and other materials,149.0,0.9999223252270532,
Banco Santander SA,Filtration,176.0,0.9997142159970179,
Banco Santander SA,Flood and storm protection,286.0,0.9807436700921269,
Banco Santander SA,Genetic materials,226.0,0.997595644154611,
Banco Santander SA,Ground water,304.0,0.9674295849944285,
Banco Santander SA,Maintain nursery habitats,117.0,0.9999855823959268,
Banco Santander SA,Mass stabilisation and erosion control,453.0,0.49251807847699575,
Banco Santander SA,Mediation of sensory impacts,138.0,0.9999557068791379,
Banco Santander SA,Pest control,157.0,0.9998844435414708,
Banco Santander SA,Pollination,127.0,0.9999751931019264,
Banco Santander SA,Soil quality,217.0,0.9983166579633971,
Banco Santander SA,Surface water,282.0,0.9829704372005028,
