Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Bio-remediation,12.0,0.9429358361188807,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Climate regulation,8.0,0.9765733576059265,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,7.0,0.9816710356638927,
Agricultural Bank of China Ltd,Disease control,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Filtration,12.0,0.9429358361188807,
Agricultural Bank of China Ltd,Flood and storm protection,24.0,0.6393616504854222,
Agricultural Bank of China Ltd,Genetic materials,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Ground water,27.0,0.5203231829799182,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,22.0,0.7124689349130251,
Agricultural Bank of China Ltd,Mediation of sensory impacts,9.0,0.9703319400595457,
Agricultural Bank of China Ltd,Pest control,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Pollination,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Soil quality,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Surface water,27.0,0.5203231829799182,
Agricultural Bank of China Ltd,Ventilation,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Water flow maintenance,2.0,0.9953279434988975,
Agricultural Bank of China Ltd,Water quality,18.0,0.8335601227158056,
BNP Paribas SA,Animal-based energy,28.0,0.9999949014174745,
BNP Paribas SA,Bio-remediation,78.0,0.9997474176786612,
BNP Paribas SA,Buffering and attenuation of mass flows,54.0,0.9999569541979754,
BNP Paribas SA,Climate regulation,143.0,0.988168948336203,
BNP Paribas SA,Dilution by atmosphere and ecosystems,173.0,0.9555851415581902,
BNP Paribas SA,Disease control,28.0,0.9999949014174745,
BNP Paribas SA,Fibres and other materials,26.0,0.9999957134307527,
BNP Paribas SA,Filtration,108.0,0.9982331171979165,
BNP Paribas SA,Flood and storm protection,103.0,0.9986960361077212,
BNP Paribas SA,Genetic materials,116.0,0.9971751045684834,
BNP Paribas SA,Ground water,155.0,0.9792342544034724,
BNP Paribas SA,Maintain nursery habitats,28.0,0.9999949014174745,
BNP Paribas SA,Mass stabilisation and erosion control,266.0,0.48508388166174254,
BNP Paribas SA,Mediation of sensory impacts,113.0,0.9976251743914227,
BNP Paribas SA,Pest control,56.0,0.9999497495680988,
BNP Paribas SA,Pollination,28.0,0.9999949014174745,
BNP Paribas SA,Soil quality,136.0,0.9916549471367679,
BNP Paribas SA,Surface water,145.0,0.986965214729835,
BNP Paribas SA,Ventilation,110.0,0.9980093318968883,
BNP Paribas SA,Water flow maintenance,200.0,0.8842945136300492,
BNP Paribas SA,Water quality,196.0,0.898229546965537,
Banco Santander SA,Animal-based energy,128.0,0.9999738312021726,
Banco Santander SA,Bio-remediation,32.0,0.9999999219803525,
Banco Santander SA,Buffering and attenuation of mass flows,203.0,0.9990555307253001,
Banco Santander SA,Climate regulation,215.0,0.9984473460150385,
Banco Santander SA,Dilution by atmosphere and ecosystems,370.0,0.8459100511901748,
Banco Santander SA,Disease control,127.0,0.9999751931019264,
Banco Santander SA,Fibres and other materials,167.0,0.9998126514449275,
Banco Santander SA,Filtration,131.0,0.9999693077263268,
Banco Santander SA,Flood and storm protection,285.0,0.9813223707476634,
