Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,22.0,0.7124689349130251,
Agricultural Bank of China Ltd,Bio-remediation,21.0,0.7461878278452381,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,25.0,0.6005703250019752,
Agricultural Bank of China Ltd,Climate regulation,25.0,0.6005703250019752,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,25.0,0.6005703250019752,
Agricultural Bank of China Ltd,Disease control,22.0,0.7124689349130251,
Agricultural Bank of China Ltd,Fibres and other materials,24.0,0.6393616504854222,
Agricultural Bank of China Ltd,Filtration,21.0,0.7461878278452381,
Agricultural Bank of China Ltd,Flood and storm protection,24.0,0.6393616504854222,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Ground water,24.0,0.6393616504854222,
Agricultural Bank of China Ltd,Maintain nursery habitats,24.0,0.6393616504854222,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,25.0,0.6005703250019752,
Agricultural Bank of China Ltd,Mediation of sensory impacts,22.0,0.7124689349130251,
Agricultural Bank of China Ltd,Pest control,22.0,0.7124689349130251,
Agricultural Bank of China Ltd,Pollination,22.0,0.7124689349130251,
Agricultural Bank of China Ltd,Soil quality,25.0,0.6005703250019752,
Agricultural Bank of China Ltd,Surface water,24.0,0.6393616504854222,
Agricultural Bank of China Ltd,Ventilation,24.0,0.6393616504854222,
Agricultural Bank of China Ltd,Water flow maintenance,21.0,0.7461878278452381,
Agricultural Bank of China Ltd,Water quality,24.0,0.6393616504854222,
BNP Paribas SA,Animal-based energy,173.0,0.9555851415581902,
BNP Paribas SA,Bio-remediation,194.0,0.9047202545173025,
BNP Paribas SA,Buffering and attenuation of mass flows,176.0,0.9500673191872809,
BNP Paribas SA,Climate regulation,181.0,0.9396703242387084,
BNP Paribas SA,Dilution by atmosphere and ecosystems,176.0,0.9500673191872809,
BNP Paribas SA,Disease control,208.0,0.8524826384167455,
BNP Paribas SA,Fibres and other materials,196.0,0.898229546965537,
BNP Paribas SA,Filtration,192.0,0.9109009215665906,
BNP Paribas SA,Flood and storm protection,185.0,0.930191159614481,
BNP Paribas SA,Genetic materials,162.0,0.9717585981224764,
BNP Paribas SA,Ground water,216.0,0.8152870099569938,
BNP Paribas SA,Maintain nursery habitats,180.0,0.9418750969301591,
BNP Paribas SA,Mass stabilisation and erosion control,173.0,0.9555851415581902,
BNP Paribas SA,Mediation of sensory impacts,195.0,0.9015140462004849,
BNP Paribas SA,Pest control,187.0,0.9250406029697819,
BNP Paribas SA,Pollination,183.0,0.9350649233427801,
BNP Paribas SA,Soil quality,176.0,0.9500673191872809,
BNP Paribas SA,Surface water,190.0,0.9167781330964321,
BNP Paribas SA,Ventilation,216.0,0.8152870099569938,
BNP Paribas SA,Water flow maintenance,192.0,0.9109009215665906,
BNP Paribas SA,Water quality,192.0,0.9109009215665906,
Banco Santander SA,Animal-based energy,120.0,0.9999830066837595,
Banco Santander SA,Bio-remediation,173.0,0.9997514092626898,
Banco Santander SA,Buffering and attenuation of mass flows,139.0,0.9999533517011934,
Banco Santander SA,Climate regulation,283.0,0.9824354596910249,
Banco Santander SA,Dilution by atmosphere and ecosystems,209.0,0.9987858610101077,
Banco Santander SA,Disease control,138.0,0.9999557068791379,
Banco Santander SA,Fibres and other materials,207.0,0.9988827221387606,
Banco Santander SA,Filtration,164.0,0.9998376816346004,
Banco Santander SA,Flood and storm protection,286.0,0.9807436700921269,
Banco Santander SA,Genetic materials,267.0,0.9894705258785236,
Banco Santander SA,Ground water,192.0,0.9994121294190548,
Banco Santander SA,Maintain nursery habitats,297.0,0.9733088924923656,
Banco Santander SA,Mass stabilisation and erosion control,244.0,0.9952637101587088,
Banco Santander SA,Mediation of sensory impacts,163.0,0.9998453042329439,
Banco Santander SA,Pest control,122.0,0.9999810528604524,
Banco Santander SA,Pollination,171.0,0.9997736417608064,
Banco Santander SA,Soil quality,189.0,0.9994850188109193,
Banco Santander SA,Surface water,121.0,0.999982055005116,
Banco Santander SA,Ventilation,187.0,0.9995288641161062,
Banco Santander SA,Water flow maintenance,169.0,0.9997940074590402,
Banco Santander SA,Water quality,226.0,0.997595644154611,
Bank of America Corp,Animal-based energy,247.0,0.9988682371701347,
Bank of America Corp,Bio-remediation,311.0,0.9901201407066076,
Bank of America Corp,Buffering and attenuation of mass flows,305.0,0.99177116536714,
Bank of America Corp,Climate regulation,381.0,0.9383112766772069,
Bank of America Corp,Dilution by atmosphere and ecosystems,345.0,0.9742387862580005,
Bank of America Corp,Disease control,324.0,0.9855240648566146,
Bank of America Corp,Fibres and other materials,351.0,0.9699035069953579,
Bank of America Corp,Filtration,317.0,0.9881869046163116,
Bank of America Corp,Flood and storm protection,401.0,0.9057450103483562,
Bank of America Corp,Genetic materials,247.0,0.9988682371701347,
Bank of America Corp,Ground water,320.0,0.9871027406844466,
Bank of America Corp,Maintain nursery habitats,415.0,0.8763585182276054,
Bank of America Corp,Mass stabilisation and erosion control,463.0,0.7307792885055298,
Bank of America Corp,Mediation of sensory impacts,313.0,0.9895088918232964,
Bank of America Corp,Pest control,321.0,0.9867227169624914,
Bank of America Corp,Pollination,327.0,0.9842334077990703,
Bank of America Corp,Soil quality,348.0,0.9721413332272195,
Bank of America Corp,Surface water,299.0,0.9931747254239197,
Bank of America Corp,Ventilation,307.0,0.9912499712568104,
Bank of America Corp,Water flow maintenance,308.0,0.990978684280378,
Bank of America Corp,Water quality,369.0,0.9531506274449091,
Bank of China Ltd,Animal-based energy,152.0,0.8129782958108247,
Bank of China Ltd,Bio-remediation,147.0,0.843524662238543,
Bank of China Ltd,Buffering and attenuation of mass flows,155.0,0.7929929131159903,
Bank of China Ltd,Climate regulation,166.0,0.7097227597918023,
Bank of China Ltd,Dilution by atmosphere and ecosystems,156.0,0.7860600960408755,
Bank of China Ltd,Disease control,165.0,0.7178951423330618,
Bank of China Ltd,Fibres and other materials,151.0,0.819365570589951,
Bank of China Ltd,Filtration,145.0,0.8547670144015406,
Bank of China Ltd,Flood and storm protection,144.0,0.8601792329813492,
Bank of China Ltd,Genetic materials,76.0,0.9966844588517625,
Bank of China Ltd,Ground water,157.0,0.7789939661037887,
Bank of China Ltd,Maintain nursery habitats,157.0,0.7789939661037887,
Bank of China Ltd,Mass stabilisation and erosion control,170.0,0.6759757710776204,
Bank of China Ltd,Mediation of sensory impacts,146.0,0.8492155891252439,
Bank of China Ltd,Pest control,167.0,0.7014411657929468,
Bank of China Ltd,Pollination,154.0,0.799791007663087,
Bank of China Ltd,Soil quality,150.0,0.8256142811265977,
Bank of China Ltd,Surface water,144.0,0.8601792329813492,
Bank of China Ltd,Ventilation,166.0,0.7097227597918023,
Bank of China Ltd,Water flow maintenance,145.0,0.8547670144015406,
Bank of China Ltd,Water quality,139.0,0.8851728706812589,
Bank of Communications Co Ltd,Animal-based energy,28.0,0.8059067973958611,
Bank of Communications Co Ltd,Bio-remediation,18.0,0.9502595596218177,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,29.0,0.7836162096661077,
Bank of Communications Co Ltd,Climate regulation,29.0,0.7836162096661077,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,30.0,0.7599115550469615,
Bank of Communications Co Ltd,Disease control,18.0,0.9502595596218177,
Bank of Communications Co Ltd,Fibres and other materials,29.0,0.7836162096661077,
Bank of Communications Co Ltd,Filtration,23.0,0.8952866215194815,
Bank of Communications Co Ltd,Flood and storm protection,29.0,0.7836162096661077,
Bank of Communications Co Ltd,Genetic materials,11.0,0.9859719379253782,
Bank of Communications Co Ltd,Ground water,16.0,0.9644053828539552,
Bank of Communications Co Ltd,Maintain nursery habitats,30.0,0.7599115550469615,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,34.0,0.6525566988137633,
Bank of Communications Co Ltd,Mediation of sensory impacts,17.0,0.9578102787030197,
Bank of Communications Co Ltd,Pest control,20.0,0.9319513094428031,
Bank of Communications Co Ltd,Pollination,27.0,0.8267391441469464,
Bank of Communications Co Ltd,Soil quality,28.0,0.8059067973958611,
Bank of Communications Co Ltd,Surface water,29.0,0.7836162096661077,
Bank of Communications Co Ltd,Ventilation,16.0,0.9644053828539552,
Bank of Communications Co Ltd,Water flow maintenance,18.0,0.9502595596218177,
Bank of Communications Co Ltd,Water quality,28.0,0.8059067973958611,
Bank of New York Mellon Corp,Animal-based energy,167.0,0.9999353592081717,
Bank of New York Mellon Corp,Bio-remediation,103.0,0.9999976156621426,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,129.0,0.9999902827467427,
