Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,16.0,0.8794393158612909,
Agricultural Bank of China Ltd,Bio-remediation,15.0,0.898689196143844,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Climate regulation,19.0,0.8068646398167587,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,19.0,0.8068646398167587,
Agricultural Bank of China Ltd,Disease control,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Fibres and other materials,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Filtration,16.0,0.8794393158612909,
Agricultural Bank of China Ltd,Flood and storm protection,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Ground water,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Maintain nursery habitats,19.0,0.8068646398167587,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,19.0,0.8068646398167587,
Agricultural Bank of China Ltd,Mediation of sensory impacts,16.0,0.8794393158612909,
Agricultural Bank of China Ltd,Pest control,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Pollination,15.0,0.898689196143844,
Agricultural Bank of China Ltd,Soil quality,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Surface water,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Ventilation,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Water flow maintenance,16.0,0.8794393158612909,
Agricultural Bank of China Ltd,Water quality,18.0,0.8335601227158056,
BNP Paribas SA,Animal-based energy,157.0,0.9772923017221341,
BNP Paribas SA,Bio-remediation,161.0,0.9729472386610806,
BNP Paribas SA,Buffering and attenuation of mass flows,153.0,0.9810337008898088,
BNP Paribas SA,Climate regulation,146.0,0.986324616981666,
BNP Paribas SA,Dilution by atmosphere and ecosystems,146.0,0.986324616981666,
BNP Paribas SA,Disease control,160.0,0.974093834385836,
BNP Paribas SA,Fibres and other materials,157.0,0.9772923017221341,
BNP Paribas SA,Filtration,162.0,0.9717585981224764,
BNP Paribas SA,Flood and storm protection,150.0,0.9834833834745753,
BNP Paribas SA,Genetic materials,175.0,0.9519643295358331,
BNP Paribas SA,Ground water,162.0,0.9717585981224764,
BNP Paribas SA,Maintain nursery habitats,146.0,0.986324616981666,
BNP Paribas SA,Mass stabilisation and erosion control,149.0,0.9842373394946691,
BNP Paribas SA,Mediation of sensory impacts,163.0,0.9705268017786939,
BNP Paribas SA,Pest control,158.0,0.9762652824853556,
BNP Paribas SA,Pollination,156.0,0.9782816084702951,
BNP Paribas SA,Soil quality,157.0,0.9772923017221341,
BNP Paribas SA,Surface water,158.0,0.9762652824853556,
BNP Paribas SA,Ventilation,167.0,0.9651455200887697,
BNP Paribas SA,Water flow maintenance,162.0,0.9717585981224764,
BNP Paribas SA,Water quality,161.0,0.9729472386610806,
Banco Santander SA,Animal-based energy,142.0,0.9999455564073596,
Banco Santander SA,Bio-remediation,191.0,0.9994374230969628,
Banco Santander SA,Buffering and attenuation of mass flows,157.0,0.9998844435414708,
Banco Santander SA,Climate regulation,226.0,0.997595644154611,
Banco Santander SA,Dilution by atmosphere and ecosystems,223.0,0.9978622579193132,
Banco Santander SA,Disease control,167.0,0.9998126514449275,
Banco Santander SA,Fibres and other materials,199.0,0.9992034716990175,
Banco Santander SA,Filtration,180.0,0.9996565368830124,
Banco Santander SA,Flood and storm protection,209.0,0.9987858610101077,
Banco Santander SA,Genetic materials,287.0,0.9801498006266555,
Banco Santander SA,Ground water,179.0,0.9996718930718338,
Banco Santander SA,Maintain nursery habitats,242.0,0.9955972879033381,
Banco Santander SA,Mass stabilisation and erosion control,243.0,0.9954332171821242,
Banco Santander SA,Mediation of sensory impacts,178.0,0.9996866087878673,
Banco Santander SA,Pest control,163.0,0.9998453042329439,
Banco Santander SA,Pollination,194.0,0.999358361186867,
Banco Santander SA,Soil quality,226.0,0.997595644154611,
Banco Santander SA,Surface water,138.0,0.9999557068791379,
Banco Santander SA,Ventilation,173.0,0.9997514092626898,
Banco Santander SA,Water flow maintenance,175.0,0.9997271540188499,
Banco Santander SA,Water quality,209.0,0.9987858610101077,
Bank of America Corp,Animal-based energy,258.0,0.9983003823389527,
Bank of America Corp,Bio-remediation,301.0,0.9927323520100411,
