Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Bio-remediation,16.0,0.8794393158612909,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Climate regulation,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Disease control,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Fibres and other materials,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Filtration,16.0,0.8794393158612909,
Agricultural Bank of China Ltd,Flood and storm protection,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.9974689839368661,
Agricultural Bank of China Ltd,Ground water,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Maintain nursery habitats,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Mediation of sensory impacts,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Pest control,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Pollination,16.0,0.8794393158612909,
Agricultural Bank of China Ltd,Soil quality,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Surface water,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Ventilation,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Water flow maintenance,18.0,0.8335601227158056,
Agricultural Bank of China Ltd,Water quality,18.0,0.8335601227158056,
BNP Paribas SA,Animal-based energy,157.0,0.9772923017221341,
BNP Paribas SA,Bio-remediation,152.0,0.9818825335396699,
BNP Paribas SA,Buffering and attenuation of mass flows,155.0,0.9792342544034724,
BNP Paribas SA,Climate regulation,165.0,0.967929250478519,
BNP Paribas SA,Dilution by atmosphere and ecosystems,162.0,0.9717585981224764,
BNP Paribas SA,Disease control,149.0,0.9842373394946691,
BNP Paribas SA,Fibres and other materials,154.0,0.9801512773801382,
BNP Paribas SA,Filtration,149.0,0.9842373394946691,
BNP Paribas SA,Flood and storm protection,172.0,0.9573112618814288,
BNP Paribas SA,Genetic materials,58.0,0.99994141708538,
BNP Paribas SA,Ground water,150.0,0.9834833834745753,
BNP Paribas SA,Maintain nursery habitats,170.0,0.9606007451142625,
BNP Paribas SA,Mass stabilisation and erosion control,162.0,0.9717585981224764,
BNP Paribas SA,Mediation of sensory impacts,148.0,0.9849615813702434,
BNP Paribas SA,Pest control,156.0,0.9782816084702951,
BNP Paribas SA,Pollination,153.0,0.9810337008898088,
BNP Paribas SA,Soil quality,169.0,0.962166435232984,
BNP Paribas SA,Surface water,154.0,0.9801512773801382,
BNP Paribas SA,Ventilation,149.0,0.9842373394946691,
BNP Paribas SA,Water flow maintenance,149.0,0.9842373394946691,
BNP Paribas SA,Water quality,156.0,0.9782816084702951,
Banco Santander SA,Animal-based energy,161.0,0.9998595546532811,
Banco Santander SA,Bio-remediation,247.0,0.9947210274482354,
Banco Santander SA,Buffering and attenuation of mass flows,201.0,0.9991323965297644,
Banco Santander SA,Climate regulation,246.0,0.994907772947871,
Banco Santander SA,Dilution by atmosphere and ecosystems,239.0,0.9960583615593771,
Banco Santander SA,Disease control,209.0,0.9987858610101077,
Banco Santander SA,Fibres and other materials,254.0,0.9932343995845986,
Banco Santander SA,Filtration,222.0,0.997944983613649,
Banco Santander SA,Flood and storm protection,246.0,0.994907772947871,
Banco Santander SA,Genetic materials,183.0,0.9996063673146657,
Banco Santander SA,Ground water,224.0,0.9977765235455972,
Banco Santander SA,Maintain nursery habitats,268.0,0.989116873058587,
Banco Santander SA,Mass stabilisation and erosion control,253.0,0.9934672191341934,
Banco Santander SA,Mediation of sensory impacts,215.0,0.9984473460150385,
Banco Santander SA,Pest control,212.0,0.9986260988875102,
Banco Santander SA,Pollination,229.0,0.9972992904363629,
Banco Santander SA,Soil quality,250.0,0.9941237216821355,
Banco Santander SA,Surface water,203.0,0.9990555307253001,
Banco Santander SA,Ventilation,206.0,0.9989284492149498,
Banco Santander SA,Water flow maintenance,237.0,0.9963412193191465,
Banco Santander SA,Water quality,257.0,0.9924913709293602,
Bank of America Corp,Animal-based energy,304.0,0.9920213845272514,
Bank of America Corp,Bio-remediation,289.0,0.9950486080411153,
Bank of America Corp,Buffering and attenuation of mass flows,337.0,0.9791951672266442,
Bank of America Corp,Climate regulation,356.0,0.9658437301043882,
Bank of America Corp,Dilution by atmosphere and ecosystems,351.0,0.9699035069953579,
Bank of America Corp,Disease control,284.0,0.9958011023133269,
Bank of America Corp,Fibres and other materials,329.0,0.9833191624251804,
Bank of America Corp,Filtration,300.0,0.9929566031871004,
Bank of America Corp,Flood and storm protection,388.0,0.9280934823332543,
Bank of America Corp,Genetic materials,217.0,0.9996529629177813,
Bank of America Corp,Ground water,290.0,0.9948844323788194,
Bank of America Corp,Maintain nursery habitats,388.0,0.9280934823332543,
Bank of America Corp,Mass stabilisation and erosion control,447.0,0.7869178299253617,
Bank of America Corp,Mediation of sensory impacts,297.0,0.9935931426411028,
Bank of America Corp,Pest control,281.0,0.996201853906938,
Bank of America Corp,Pollination,314.0,0.989191093400134,
Bank of America Corp,Soil quality,331.0,0.9823599331885521,
Bank of America Corp,Surface water,303.0,0.9922648890897158,
Bank of America Corp,Ventilation,281.0,0.996201853906938,
Bank of America Corp,Water flow maintenance,277.0,0.9966827695459198,
Bank of America Corp,Water quality,357.0,0.9649800111636915,
Bank of China Ltd,Animal-based energy,147.0,0.843524662238543,
Bank of China Ltd,Bio-remediation,168.0,0.693053743281112,
Bank of China Ltd,Buffering and attenuation of mass flows,157.0,0.7789939661037887,
Bank of China Ltd,Climate regulation,153.0,0.806453151370452,
Bank of China Ltd,Dilution by atmosphere and ecosystems,153.0,0.806453151370452,
Bank of China Ltd,Disease control,176.0,0.6226032238827417,
Bank of China Ltd,Fibres and other materials,152.0,0.8129782958108247,
Bank of China Ltd,Filtration,148.0,0.8376940944259639,
Bank of China Ltd,Flood and storm protection,149.0,0.8317239060780407,
Bank of China Ltd,Genetic materials,0.0,0.9999971969417363,
Bank of China Ltd,Ground water,164.0,0.7259551002842383,
Bank of China Ltd,Maintain nursery habitats,149.0,0.8317239060780407,
Bank of China Ltd,Mass stabilisation and erosion control,156.0,0.7860600960408755,
Bank of China Ltd,Mediation of sensory impacts,162.0,0.7417257579267487,
Bank of China Ltd,Pest control,179.0,0.5949317690877804,
Bank of China Ltd,Pollination,157.0,0.7789939661037887,
Bank of China Ltd,Soil quality,152.0,0.8129782958108247,
Bank of China Ltd,Surface water,156.0,0.7860600960408755,
Bank of China Ltd,Ventilation,166.0,0.7097227597918023,
Bank of China Ltd,Water flow maintenance,168.0,0.693053743281112,
Bank of China Ltd,Water quality,139.0,0.8851728706812589,
Bank of Communications Co Ltd,Animal-based energy,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Bio-remediation,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Climate regulation,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Disease control,20.0,0.9319513094428031,
Bank of Communications Co Ltd,Fibres and other materials,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Filtration,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Flood and storm protection,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Genetic materials,0.0,0.9988911392678814,
Bank of Communications Co Ltd,Ground water,21.0,0.9210303447499348,
Bank of Communications Co Ltd,Maintain nursery habitats,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,25.0,0.863952408631937,
Bank of Communications Co Ltd,Mediation of sensory impacts,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Pest control,20.0,0.9319513094428031,
Bank of Communications Co Ltd,Pollination,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Soil quality,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Surface water,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Ventilation,20.0,0.9319513094428031,
Bank of Communications Co Ltd,Water flow maintenance,22.0,0.9088308229096158,
Bank of Communications Co Ltd,Water quality,22.0,0.9088308229096158,
Bank of New York Mellon Corp,Animal-based energy,157.0,0.9999600208587576,
Bank of New York Mellon Corp,Bio-remediation,130.0,0.9999897612762332,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,138.0,0.9999845180377825,
Bank of New York Mellon Corp,Climate regulation,197.0,0.999747148597632,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,190.0,0.9998141546640237,
Bank of New York Mellon Corp,Disease control,120.0,0.9999939650723799,
Bank of New York Mellon Corp,Fibres and other materials,152.0,0.9999687114547289,
Bank of New York Mellon Corp,Filtration,136.0,0.9999860276159217,
Bank of New York Mellon Corp,Flood and storm protection,273.0,0.9952121039383881,
Bank of New York Mellon Corp,Genetic materials,365.0,0.9353824405924799,
