Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Bio-remediation,30.0,0.6005703250019752,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Climate regulation,20.0,0.22229336945587275,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,11.0,0.04630034891033788,
Agricultural Bank of China Ltd,Disease control,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Filtration,23.0,0.3232311013320848,
Agricultural Bank of China Ltd,Flood and storm protection,33.0,0.7124689349130251,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Ground water,35.0,0.7777066305441273,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,21.0,0.2538121721547619,
Agricultural Bank of China Ltd,Mediation of sensory impacts,19.0,0.19313536018324134,
Agricultural Bank of China Ltd,Pest control,10.0,0.03723091570870273,
Agricultural Bank of China Ltd,Pollination,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Soil quality,10.0,0.03723091570870273,
Agricultural Bank of China Ltd,Surface water,35.0,0.7777066305441273,
Agricultural Bank of China Ltd,Ventilation,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Water flow maintenance,4.0,0.008302439051861368,
Agricultural Bank of China Ltd,Water quality,28.0,0.5203231829799182,
BNP Paribas SA,Animal-based energy,61.0,7.355890949833683e-05,
BNP Paribas SA,Bio-remediation,314.0,0.8250921905284224,
BNP Paribas SA,Buffering and attenuation of mass flows,240.0,0.3267971479066005,
BNP Paribas SA,Climate regulation,317.0,0.8391679056310741,
BNP Paribas SA,Dilution by atmosphere and ecosystems,276.0,0.5887720153404363,
BNP Paribas SA,Disease control,61.0,7.355890949833683e-05,
BNP Paribas SA,Fibres and other materials,79.0,0.00027078677569289053,
BNP Paribas SA,Filtration,262.0,0.48508388166174254,
BNP Paribas SA,Flood and storm protection,330.0,0.8914227718792064,
BNP Paribas SA,Genetic materials,161.0,0.027052761338919394,
BNP Paribas SA,Ground water,304.0,0.7727571312469215,
BNP Paribas SA,Maintain nursery habitats,55.0,4.651655629035253e-05,
BNP Paribas SA,Mass stabilisation and erosion control,353.0,0.9519643295358331,
BNP Paribas SA,Mediation of sensory impacts,238.0,0.3134224567586589,
BNP Paribas SA,Pest control,57.0,5.426597210933635e-05,
BNP Paribas SA,Pollination,61.0,7.355890949833683e-05,
BNP Paribas SA,Soil quality,276.0,0.5887720153404363,
BNP Paribas SA,Surface water,299.0,0.7435931868733169,
BNP Paribas SA,Ventilation,235.0,0.29381651641542833,
BNP Paribas SA,Water flow maintenance,292.0,0.6997112833720232,
BNP Paribas SA,Water quality,318.0,0.8436907222636207,
Banco Santander SA,Animal-based energy,271.0,0.012006808864219157,
Banco Santander SA,Bio-remediation,406.0,0.28470633604835044,
Banco Santander SA,Buffering and attenuation of mass flows,286.0,0.01925632990787311,
Banco Santander SA,Climate regulation,496.0,0.7110357351836433,
Banco Santander SA,Dilution by atmosphere and ecosystems,583.0,0.9499358325178273,
Banco Santander SA,Disease control,255.0,0.007005720884802692,
Banco Santander SA,Fibres and other materials,240.0,0.004090284661120084,
Banco Santander SA,Filtration,406.0,0.28470633604835044,
Banco Santander SA,Flood and storm protection,578.0,0.9431425007777555,
Banco Santander SA,Genetic materials,291.0,0.02238345618374597,
Banco Santander SA,Ground water,574.0,0.937201611359546,
Banco Santander SA,Maintain nursery habitats,285.0,0.018677629252336608,
Banco Santander SA,Mass stabilisation and erosion control,696.0,0.9988827221387606,
Banco Santander SA,Mediation of sensory impacts,258.0,0.007771807939512549,
Banco Santander SA,Pest control,290.0,0.021725858751195686,
Banco Santander SA,Pollination,272.0,0.012403092776230947,
Banco Santander SA,Soil quality,384.0,0.19933545688853566,
Banco Santander SA,Surface water,547.0,0.8837805509292649,
Banco Santander SA,Ventilation,361.0,0.12890519672125877,
Banco Santander SA,Water flow maintenance,468.0,0.5817257924341155,
Banco Santander SA,Water quality,558.0,0.9085107735206948,
Bank of America Corp,Animal-based energy,353.0,0.03166964658491882,
Bank of America Corp,Bio-remediation,604.0,0.8355602264899782,
Bank of America Corp,Buffering and attenuation of mass flows,484.0,0.3526659042120791,
Bank of America Corp,Climate regulation,674.0,0.9613441533272731,
Bank of America Corp,Dilution by atmosphere and ecosystems,663.0,0.9497400917278327,
Bank of America Corp,Disease control,328.0,0.016218196835839947,
Bank of America Corp,Fibres and other materials,423.0,0.14305961846884746,
Bank of America Corp,Filtration,663.0,0.9497400917278327,
Bank of America Corp,Flood and storm protection,664.0,0.9508982694458935,
Bank of America Corp,Genetic materials,256.0,0.0015801758300386015,
Bank of America Corp,Ground water,754.0,0.996201853906938,
Bank of America Corp,Maintain nursery habitats,313.0,0.010491108176703645,
Bank of America Corp,Mass stabilisation and erosion control,877.0,0.9999752393520549,
Bank of America Corp,Mediation of sensory impacts,595.0,0.8091546193861557,
Bank of America Corp,Pest control,320.0,0.012897259315553376,
Bank of America Corp,Pollination,364.0,0.041579910084212045,
Bank of America Corp,Soil quality,489.0,0.37384179854945393,
Bank of America Corp,Surface water,748.0,0.9953629427597357,
Bank of America Corp,Ventilation,543.0,0.6132625469092424,
Bank of America Corp,Water flow maintenance,625.0,0.8875137926520443,
Bank of America Corp,Water quality,694.0,0.9768283401562436,
Bank of China Ltd,Animal-based energy,26.0,4.5001160007438815e-05,
Bank of China Ltd,Bio-remediation,211.0,0.7014411657929468,
Bank of China Ltd,Buffering and attenuation of mass flows,85.0,0.006234249752704963,
Bank of China Ltd,Climate regulation,211.0,0.7014411657929468,
Bank of China Ltd,Dilution by atmosphere and ecosystems,181.0,0.42379277606778865,
Bank of China Ltd,Disease control,26.0,4.5001160007438815e-05,
Bank of China Ltd,Fibres and other materials,45.0,0.00027048932411835087,
Bank of China Ltd,Filtration,192.0,0.5287288880226045,
Bank of China Ltd,Flood and storm protection,236.0,0.8705879812947948,
Bank of China Ltd,Genetic materials,75.0,0.0030827258659772523,
Bank of China Ltd,Ground water,236.0,0.8705879812947948,
Bank of China Ltd,Maintain nursery habitats,0.0,2.803058263748007e-06,
Bank of China Ltd,Mass stabilisation and erosion control,250.0,0.9286111233699702,
Bank of China Ltd,Mediation of sensory impacts,140.0,0.11955286612220373,
Bank of China Ltd,Pest control,65.0,0.0014454826439653967,
Bank of China Ltd,Pollination,26.0,4.5001160007438815e-05,
Bank of China Ltd,Soil quality,133.0,0.08924805662367874,
Bank of China Ltd,Surface water,203.0,0.6316965200556608,
Bank of China Ltd,Ventilation,125.0,0.062073231525127046,
Bank of China Ltd,Water flow maintenance,187.0,0.48083819797278815,
Bank of China Ltd,Water quality,208.0,0.6759757710776204,
Bank of Communications Co Ltd,Animal-based energy,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Bio-remediation,25.0,0.136047591368063,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Climate regulation,28.0,0.19409320260413893,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,32.0,0.2914597736344066,
Bank of Communications Co Ltd,Disease control,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Fibres and other materials,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Filtration,44.0,0.6525566988137633,
Bank of Communications Co Ltd,Flood and storm protection,42.0,0.5930273268491695,
Bank of Communications Co Ltd,Genetic materials,11.0,0.0140280620746218,
Bank of Communications Co Ltd,Ground water,42.0,0.5930273268491695,
Bank of Communications Co Ltd,Maintain nursery habitats,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,40.0,0.5312635388187624,
Bank of Communications Co Ltd,Mediation of sensory impacts,41.0,0.5623353754260391,
Bank of Communications Co Ltd,Pest control,30.0,0.2400884449530385,
Bank of Communications Co Ltd,Pollination,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Soil quality,31.0,0.26514229841680476,
Bank of Communications Co Ltd,Surface water,40.0,0.5312635388187624,
Bank of Communications Co Ltd,Ventilation,31.0,0.26514229841680476,
Bank of Communications Co Ltd,Water flow maintenance,30.0,0.2400884449530385,
Bank of Communications Co Ltd,Water quality,35.0,0.3768418588630787,
Bank of New York Mellon Corp,Animal-based energy,478.0,0.4213686898365925,
Bank of New York Mellon Corp,Bio-remediation,481.0,0.43510856321145663,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,430.0,0.22405715104228674,
Bank of New York Mellon Corp,Climate regulation,478.0,0.4213686898365925,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,711.0,0.99414494197552,
Bank of New York Mellon Corp,Disease control,449.0,0.2956929179218264,
Bank of New York Mellon Corp,Fibres and other materials,455.0,0.32031873217087314,
Bank of New York Mellon Corp,Filtration,577.0,0.830705215214202,
Bank of New York Mellon Corp,Flood and storm protection,559.0,0.7724357202531484,
Bank of New York Mellon Corp,Genetic materials,414.0,0.17225654448693373,
Bank of New York Mellon Corp,Ground water,671.0,0.980009922742182,
Bank of New York Mellon Corp,Maintain nursery habitats,485.0,0.45354813210885087,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,822.0,0.9999322257553954,
Bank of New York Mellon Corp,Mediation of sensory impacts,565.0,0.7930110630977425,
Bank of New York Mellon Corp,Pest control,418.0,0.1844315931151413,
Bank of New York Mellon Corp,Pollination,457.0,0.3287138768260316,
Bank of New York Mellon Corp,Soil quality,380.0,0.08978630218303629,
Bank of New York Mellon Corp,Surface water,662.0,0.9743476393342548,
Bank of New York Mellon Corp,Ventilation,656.0,0.9698709941129953,
Bank of New York Mellon Corp,Water flow maintenance,624.0,0.9338964106996085,
Bank of New York Mellon Corp,Water quality,673.0,0.9811127965374132,
Barclays PLC,Animal-based energy,179.0,0.012954820309016485,
Barclays PLC,Bio-remediation,385.0,0.8742141085337092,
Barclays PLC,Buffering and attenuation of mass flows,228.0,0.07708070512937651,
Barclays PLC,Climate regulation,367.0,0.8028139740776374,
Barclays PLC,Dilution by atmosphere and ecosystems,393.0,0.8993000139823251,
Barclays PLC,Disease control,163.0,0.006393811963466526,
Barclays PLC,Fibres and other materials,324.0,0.5585966959894546,
Barclays PLC,Filtration,350.0,0.7167690540558456,
Barclays PLC,Flood and storm protection,487.0,0.9975778775411652,
Barclays PLC,Genetic materials,192.0,0.021971475406607977,
Barclays PLC,Ground water,402.0,0.9229192948706235,
Barclays PLC,Maintain nursery habitats,171.0,0.009172092634647374,
Barclays PLC,Mass stabilisation and erosion control,521.0,0.9996297173488028,
Barclays PLC,Mediation of sensory impacts,352.0,0.7277520162230827,
Barclays PLC,Pest control,112.0,0.00044214655270569255,
Barclays PLC,Pollination,169.0,0.008393159436878314,
Barclays PLC,Soil quality,268.0,0.2207034202000882,
Barclays PLC,Surface water,394.0,0.9021590503481365,
Barclays PLC,Ventilation,376.0,0.8411335881562723,
Barclays PLC,Water flow maintenance,302.0,0.41569122626314814,
Barclays PLC,Water quality,422.0,0.9601619315759705,
