Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Bio-remediation,20.0,0.22229336945587275,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Climate regulation,16.0,0.12056068413870913,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Disease control,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Filtration,21.0,0.2538121721547619,
Agricultural Bank of China Ltd,Flood and storm protection,32.0,0.6767688986679152,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Ground water,34.0,0.7461878278452381,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,12.0,0.05706416388111932,
Agricultural Bank of China Ltd,Mediation of sensory impacts,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Pest control,10.0,0.03723091570870273,
Agricultural Bank of China Ltd,Pollination,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Soil quality,10.0,0.03723091570870273,
Agricultural Bank of China Ltd,Surface water,34.0,0.7461878278452381,
Agricultural Bank of China Ltd,Ventilation,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Water flow maintenance,4.0,0.008302439051861368,
Agricultural Bank of China Ltd,Water quality,28.0,0.5203231829799182,
BNP Paribas SA,Animal-based energy,61.0,7.355890949833683e-05,
BNP Paribas SA,Bio-remediation,259.0,0.46275528041731645,
BNP Paribas SA,Buffering and attenuation of mass flows,200.0,0.11570548636995082,
BNP Paribas SA,Climate regulation,240.0,0.3267971479066005,
BNP Paribas SA,Dilution by atmosphere and ecosystems,266.0,0.5149161183382575,
BNP Paribas SA,Disease control,61.0,7.355890949833683e-05,
BNP Paribas SA,Fibres and other materials,79.0,0.00027078677569289053,
BNP Paribas SA,Filtration,245.0,0.36118997240902284,
BNP Paribas SA,Flood and storm protection,252.0,0.4112279846595637,
BNP Paribas SA,Genetic materials,139.0,0.009710042405832935,
BNP Paribas SA,Ground water,297.0,0.7314040778265739,
BNP Paribas SA,Maintain nursery habitats,31.0,6.5972917423204286e-06,
BNP Paribas SA,Mass stabilisation and erosion control,306.0,0.7838774097293943,
BNP Paribas SA,Mediation of sensory impacts,235.0,0.29381651641542833,
BNP Paribas SA,Pest control,57.0,5.426597210933635e-05,
BNP Paribas SA,Pollination,61.0,7.355890949833683e-05,
BNP Paribas SA,Soil quality,199.0,0.11210085870124209,
BNP Paribas SA,Surface water,293.0,0.7061834835845717,
BNP Paribas SA,Ventilation,224.0,0.22724286875307853,
BNP Paribas SA,Water flow maintenance,294.0,0.7125903900886544,
BNP Paribas SA,Water quality,252.0,0.4112279846595637,
Banco Santander SA,Animal-based energy,273.0,0.012810655097504849,
Banco Santander SA,Bio-remediation,381.0,0.18902138391750323,
Banco Santander SA,Buffering and attenuation of mass flows,383.0,0.19586036970758502,
