Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Bio-remediation,12.0,0.05706416388111932,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Climate regulation,11.0,0.04630034891033788,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Disease control,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Filtration,13.0,0.06970698666076602,
Agricultural Bank of China Ltd,Flood and storm protection,28.0,0.5203231829799182,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Ground water,29.0,0.5607591282835644,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,12.0,0.05706416388111932,
Agricultural Bank of China Ltd,Mediation of sensory impacts,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Pest control,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Pollination,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Soil quality,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Surface water,29.0,0.5607591282835644,
Agricultural Bank of China Ltd,Ventilation,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Water flow maintenance,6.0,0.014208432087431874,
Agricultural Bank of China Ltd,Water quality,21.0,0.2538121721547619,
BNP Paribas SA,Animal-based energy,61.0,7.355890949833683e-05,
BNP Paribas SA,Bio-remediation,226.0,0.23867855798926224,
BNP Paribas SA,Buffering and attenuation of mass flows,85.0,0.000408293671028431,
BNP Paribas SA,Climate regulation,228.0,0.2504221699465061,
BNP Paribas SA,Dilution by atmosphere and ecosystems,245.0,0.36118997240902284,
BNP Paribas SA,Disease control,61.0,7.355890949833683e-05,
BNP Paribas SA,Fibres and other materials,84.0,0.0003815974429003461,
BNP Paribas SA,Filtration,239.0,0.3200805754613606,
BNP Paribas SA,Flood and storm protection,245.0,0.36118997240902284,
BNP Paribas SA,Genetic materials,61.0,7.355890949833683e-05,
BNP Paribas SA,Ground water,286.0,0.6596018229583958,
BNP Paribas SA,Maintain nursery habitats,31.0,6.5972917423204286e-06,
BNP Paribas SA,Mass stabilisation and erosion control,277.0,0.5960306960185744,
BNP Paribas SA,Mediation of sensory impacts,177.0,0.05188896623115353,
BNP Paribas SA,Pest control,86.0,0.00043671409031837614,
BNP Paribas SA,Pollination,61.0,7.355890949833683e-05,
BNP Paribas SA,Soil quality,165.0,0.03207074952148101,
BNP Paribas SA,Surface water,281.0,0.6247127676854098,
BNP Paribas SA,Ventilation,175.0,0.048035670464166846,
BNP Paribas SA,Water flow maintenance,279.0,0.6104469376195654,
BNP Paribas SA,Water quality,244.0,0.35421004588954297,
Banco Santander SA,Animal-based energy,301.0,0.02993149352788932,
Banco Santander SA,Bio-remediation,288.0,0.02045953997969924,
Banco Santander SA,Buffering and attenuation of mass flows,315.0,0.04393425563352751,
Banco Santander SA,Climate regulation,383.0,0.19586036970758502,
Banco Santander SA,Dilution by atmosphere and ecosystems,613.0,0.9782741412488043,
Banco Santander SA,Disease control,261.0,0.008610665965880815,
Banco Santander SA,Fibres and other materials,324.0,0.05544370618063311,
Banco Santander SA,Filtration,413.0,0.3151192970891151,
Banco Santander SA,Flood and storm protection,500.0,0.7278846072550988,
Banco Santander SA,Genetic materials,254.0,0.0067656004154014295,
Banco Santander SA,Ground water,466.0,0.5719351729394578,
Banco Santander SA,Maintain nursery habitats,298.0,0.027472406035578645,
Banco Santander SA,Mass stabilisation and erosion control,682.0,0.9980247937338406,
Banco Santander SA,Mediation of sensory impacts,289.0,0.021084657033903456,
Banco Santander SA,Pest control,410.0,0.30191452603978863,
Banco Santander SA,Pollination,295.0,0.02518411910113675,
Banco Santander SA,Soil quality,398.0,0.25176495975689067,
Banco Santander SA,Surface water,448.0,0.4825467308050094,
Banco Santander SA,Ventilation,367.0,0.14535631693831935,
Banco Santander SA,Water flow maintenance,412.0,0.31069026792878096,
Banco Santander SA,Water quality,554.0,0.900012980242232,
Bank of America Corp,Animal-based energy,254.0,0.0014684332874482264,
Bank of America Corp,Bio-remediation,347.0,0.027144244655221313,
Bank of America Corp,Buffering and attenuation of mass flows,308.0,0.009021315719621977,
Bank of America Corp,Climate regulation,416.0,0.12596244665125877,
Bank of America Corp,Dilution by atmosphere and ecosystems,571.0,0.7270396215275085,
Bank of America Corp,Disease control,251.0,0.0013142924230308863,
Bank of America Corp,Fibres and other materials,289.0,0.0049513919588847054,
Bank of America Corp,Filtration,488.0,0.3695736428449967,
Bank of America Corp,Flood and storm protection,429.0,0.15890986249949102,
Bank of America Corp,Genetic materials,319.0,0.012526678813148284,
Bank of America Corp,Ground water,555.0,0.6639556706534604,
Bank of America Corp,Maintain nursery habitats,256.0,0.0015801758300386015,
Bank of America Corp,Mass stabilisation and erosion control,633.0,0.9038341392785796,
Bank of America Corp,Mediation of sensory impacts,514.0,0.4842433132019808,
Bank of America Corp,Pest control,338.0,0.021376473626829796,
Bank of America Corp,Pollination,256.0,0.0015801758300386015,
Bank of America Corp,Soil quality,358.0,0.03590155170088224,
Bank of America Corp,Surface water,543.0,0.6132625469092424,
Bank of America Corp,Ventilation,408.0,0.10823171477355392,
Bank of America Corp,Water flow maintenance,520.0,0.5112562101081087,
Bank of America Corp,Water quality,497.0,0.40850404856537076,
Bank of China Ltd,Animal-based energy,26.0,4.5001160007438815e-05,
Bank of China Ltd,Bio-remediation,160.0,0.24298746414018446,
Bank of China Ltd,Buffering and attenuation of mass flows,51.0,0.0004574787607796693,
Bank of China Ltd,Climate regulation,161.0,0.25056909266238286,
Bank of China Ltd,Dilution by atmosphere and ecosystems,147.0,0.156475337761457,
Bank of China Ltd,Disease control,26.0,4.5001160007438815e-05,
Bank of China Ltd,Fibres and other materials,26.0,4.5001160007438815e-05,
Bank of China Ltd,Filtration,138.0,0.11023582180314656,
Bank of China Ltd,Flood and storm protection,200.0,0.6042159843922579,
Bank of China Ltd,Genetic materials,0.0,2.803058263748007e-06,
Bank of China Ltd,Ground water,175.0,0.36830347994433926,
Bank of China Ltd,Maintain nursery habitats,0.0,2.803058263748007e-06,
Bank of China Ltd,Mass stabilisation and erosion control,207.0,0.6672928011076154,
Bank of China Ltd,Mediation of sensory impacts,138.0,0.11023582180314656,
Bank of China Ltd,Pest control,51.0,0.0004574787607796693,
Bank of China Ltd,Pollination,26.0,4.5001160007438815e-05,
Bank of China Ltd,Soil quality,75.0,0.0030827258659772523,
Bank of China Ltd,Surface water,158.0,0.22820388459852797,
Bank of China Ltd,Ventilation,105.0,0.02179042819630462,
Bank of China Ltd,Water flow maintenance,133.0,0.08924805662367874,
Bank of China Ltd,Water quality,154.0,0.20020899233691297,
Bank of Communications Co Ltd,Animal-based energy,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Bio-remediation,11.0,0.0140280620746218,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Climate regulation,28.0,0.19409320260413893,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,17.0,0.042189721296980245,
Bank of Communications Co Ltd,Disease control,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Fibres and other materials,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Filtration,38.0,0.4687364611812376,
Bank of Communications Co Ltd,Flood and storm protection,41.0,0.5623353754260391,
Bank of Communications Co Ltd,Genetic materials,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Ground water,39.0,0.5,
Bank of Communications Co Ltd,Maintain nursery habitats,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,28.0,0.19409320260413893,
Bank of Communications Co Ltd,Mediation of sensory impacts,40.0,0.5312635388187624,
Bank of Communications Co Ltd,Pest control,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Pollination,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Soil quality,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Surface water,38.0,0.4687364611812376,
Bank of Communications Co Ltd,Ventilation,31.0,0.26514229841680476,
Bank of Communications Co Ltd,Water flow maintenance,25.0,0.136047591368063,
Bank of Communications Co Ltd,Water quality,31.0,0.26514229841680476,
Bank of New York Mellon Corp,Animal-based energy,466.0,0.3675174809736521,
Bank of New York Mellon Corp,Bio-remediation,397.0,0.12637841935236355,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,468.0,0.3763446866718293,
Bank of New York Mellon Corp,Climate regulation,488.0,0.46744607933391463,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,703.0,0.9923962618371098,
Bank of New York Mellon Corp,Disease control,437.0,0.2492438490342318,
Bank of New York Mellon Corp,Fibres and other materials,448.0,0.29167464042721203,
Bank of New York Mellon Corp,Filtration,573.0,0.8186612556395334,
Bank of New York Mellon Corp,Flood and storm protection,549.0,0.7357149898677976,
Bank of New York Mellon Corp,Genetic materials,601.0,0.8919639600817765,
Bank of New York Mellon Corp,Ground water,626.0,0.9368423919553572,
Bank of New York Mellon Corp,Maintain nursery habitats,449.0,0.2956929179218264,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,706.0,0.9930996719515991,
Bank of New York Mellon Corp,Mediation of sensory impacts,579.0,0.8365300290812815,
Bank of New York Mellon Corp,Pest control,547.0,0.7280247732103099,
Bank of New York Mellon Corp,Pollination,441.0,0.2642850101322024,
Bank of New York Mellon Corp,Soil quality,477.0,0.4168090694903135,
Bank of New York Mellon Corp,Surface water,560.0,0.7759428489577133,
Bank of New York Mellon Corp,Ventilation,656.0,0.9698709941129953,
Bank of New York Mellon Corp,Water flow maintenance,625.0,0.9353824405924799,
Bank of New York Mellon Corp,Water quality,682.0,0.9854572596676979,
Barclays PLC,Animal-based energy,123.0,0.0008310149646302989,
Barclays PLC,Bio-remediation,245.0,0.12578589146629082,
Barclays PLC,Buffering and attenuation of mass flows,109.0,0.00037028265119722325,
Barclays PLC,Climate regulation,285.0,0.31158087270783896,
Barclays PLC,Dilution by atmosphere and ecosystems,371.0,0.8204894608965799,
Barclays PLC,Disease control,116.0,0.0005581433521727647,
Barclays PLC,Fibres and other materials,157.0,0.004828086122812463,
Barclays PLC,Filtration,213.0,0.047393183520659306,
Barclays PLC,Flood and storm protection,321.0,0.5391429789746884,
Barclays PLC,Genetic materials,236.0,0.09784094965186346,
Barclays PLC,Ground water,259.0,0.17951053910342007,
Barclays PLC,Maintain nursery habitats,95.0,0.00015703388457572514,
Barclays PLC,Mass stabilisation and erosion control,293.0,0.35929601671054023,
Barclays PLC,Mediation of sensory impacts,269.0,0.22559260355794425,
Barclays PLC,Pest control,148.0,0.0031160125523703097,
Barclays PLC,Pollination,119.0,0.0006629547949468496,
Barclays PLC,Soil quality,147.0,0.0029643762901746433,
Barclays PLC,Surface water,237.0,0.10069998601767494,
Barclays PLC,Ventilation,289.0,0.3351057633772308,
Barclays PLC,Water flow maintenance,236.0,0.09784094965186346,
Barclays PLC,Water quality,256.0,0.16692967625384864,
China Construction Bank Corp,Animal-based energy,13.0,0.01156490124867973,
China Construction Bank Corp,Bio-remediation,43.0,0.4306521284941526,
China Construction Bank Corp,Buffering and attenuation of mass flows,12.0,0.009611719548774537,
China Construction Bank Corp,Climate regulation,23.0,0.05792574876296503,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,30.0,0.1393536916248012,
China Construction Bank Corp,Disease control,13.0,0.01156490124867973,
China Construction Bank Corp,Fibres and other materials,12.0,0.009611719548774537,
China Construction Bank Corp,Filtration,37.0,0.2762466680008031,
China Construction Bank Corp,Flood and storm protection,30.0,0.1393536916248012,
China Construction Bank Corp,Genetic materials,0.0,0.0007368904219375711,
China Construction Bank Corp,Ground water,40.0,0.350351706125841,
China Construction Bank Corp,Maintain nursery habitats,0.0,0.0007368904219375711,
China Construction Bank Corp,Mass stabilisation and erosion control,42.0,0.4033831613114488,
China Construction Bank Corp,Mediation of sensory impacts,33.0,0.19117604492875773,
China Construction Bank Corp,Pest control,12.0,0.009611719548774537,
China Construction Bank Corp,Pollination,13.0,0.01156490124867973,
China Construction Bank Corp,Soil quality,20.0,0.03736774915294127,
China Construction Bank Corp,Surface water,45.0,0.4860626648658325,
China Construction Bank Corp,Ventilation,33.0,0.19117604492875773,
China Construction Bank Corp,Water flow maintenance,34.0,0.2107894476088225,
China Construction Bank Corp,Water quality,33.0,0.19117604492875773,
Citigroup Inc,Animal-based energy,139.0,0.001971231253938106,
Citigroup Inc,Bio-remediation,377.0,0.8450678619809122,
Citigroup Inc,Buffering and attenuation of mass flows,132.0,0.0013615410785986432,
Citigroup Inc,Climate regulation,375.0,0.8371344022693776,
