Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Bio-remediation,29.0,0.5607591282835644,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Climate regulation,12.0,0.05706416388111932,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,5.0,0.01091213781302677,
Agricultural Bank of China Ltd,Disease control,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Filtration,20.0,0.22229336945587275,
Agricultural Bank of China Ltd,Flood and storm protection,25.0,0.3994296749980248,
Agricultural Bank of China Ltd,Genetic materials,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Ground water,34.0,0.7461878278452381,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,22.0,0.28753106508697485,
Agricultural Bank of China Ltd,Mediation of sensory impacts,10.0,0.03723091570870273,
Agricultural Bank of China Ltd,Pest control,10.0,0.03723091570870273,
Agricultural Bank of China Ltd,Pollination,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Soil quality,10.0,0.03723091570870273,
Agricultural Bank of China Ltd,Surface water,33.0,0.7124689349130251,
Agricultural Bank of China Ltd,Ventilation,5.0,0.01091213781302677,
Agricultural Bank of China Ltd,Water flow maintenance,2.0,0.004672056501102442,
Agricultural Bank of China Ltd,Water quality,26.0,0.4392408717164356,
BNP Paribas SA,Animal-based energy,28.0,5.0985825254835125e-06,
BNP Paribas SA,Bio-remediation,113.0,0.0023748256085772868,
BNP Paribas SA,Buffering and attenuation of mass flows,136.0,0.008345052863232007,
BNP Paribas SA,Climate regulation,134.0,0.0075314716269282616,
BNP Paribas SA,Dilution by atmosphere and ecosystems,206.0,0.13906305129126412,
BNP Paribas SA,Disease control,28.0,5.0985825254835125e-06,
BNP Paribas SA,Fibres and other materials,6.0,7.023858030466146e-07,
BNP Paribas SA,Filtration,146.0,0.013675383018333997,
BNP Paribas SA,Flood and storm protection,226.0,0.23867855798926224,
BNP Paribas SA,Genetic materials,149.0,0.01576266050533095,
BNP Paribas SA,Ground water,175.0,0.048035670464166846,
BNP Paribas SA,Maintain nursery habitats,28.0,5.0985825254835125e-06,
BNP Paribas SA,Mass stabilisation and erosion control,257.0,0.44793014279544713,
BNP Paribas SA,Mediation of sensory impacts,140.0,0.010206507930219622,
BNP Paribas SA,Pest control,50.0,3.146137227626081e-05,
BNP Paribas SA,Pollination,28.0,5.0985825254835125e-06,
BNP Paribas SA,Soil quality,225.0,0.23292172980692188,
BNP Paribas SA,Surface water,171.0,0.041017258208812635,
BNP Paribas SA,Ventilation,109.0,0.0018757442267095222,
BNP Paribas SA,Water flow maintenance,226.0,0.23867855798926224,
BNP Paribas SA,Water quality,244.0,0.35421004588954297,
Banco Santander SA,Animal-based energy,126.0,2.3512367144827406e-05,
Banco Santander SA,Bio-remediation,83.0,2.036715788892677e-06,
Banco Santander SA,Buffering and attenuation of mass flows,236.0,0.0035242982413375657,
Banco Santander SA,Climate regulation,187.0,0.00047113588389385115,
Banco Santander SA,Dilution by atmosphere and ecosystems,339.0,0.07976379443949738,
Banco Santander SA,Disease control,127.0,2.480689807365294e-05,
Banco Santander SA,Fibres and other materials,154.0,9.96745293113112e-05,
Banco Santander SA,Filtration,183.0,0.0003936326853343403,
Banco Santander SA,Flood and storm protection,346.0,0.09356173755028374,
Banco Santander SA,Genetic materials,252.0,0.006307075539252378,
Banco Santander SA,Ground water,324.0,0.05544370618063311,
Banco Santander SA,Maintain nursery habitats,117.0,1.4417604073116468e-05,
Banco Santander SA,Mass stabilisation and erosion control,452.0,0.5024941038116268,
Banco Santander SA,Mediation of sensory impacts,138.0,4.429312086211873e-05,
Banco Santander SA,Pest control,145.0,6.345657807935114e-05,
Banco Santander SA,Pollination,127.0,2.480689807365294e-05,
Banco Santander SA,Soil quality,261.0,0.008610665965880815,
Banco Santander SA,Surface water,258.0,0.007771807939512549,
Banco Santander SA,Ventilation,218.0,0.0017523738315841561,
Banco Santander SA,Water flow maintenance,279.0,0.015507430215171371,
Banco Santander SA,Water quality,309.0,0.03739320351187755,
Bank of America Corp,Animal-based energy,100.0,1.2231631588567173e-06,
Bank of America Corp,Bio-remediation,232.0,0.0006351729286666908,
Bank of America Corp,Buffering and attenuation of mass flows,321.0,0.013277283037508608,
Bank of America Corp,Climate regulation,233.0,0.0006606601205282627,
Bank of America Corp,Dilution by atmosphere and ecosystems,419.0,0.13310694951846846,
Bank of America Corp,Disease control,102.0,1.3661739575483622e-06,
Bank of America Corp,Fibres and other materials,89.0,6.600094278877352e-07,
Bank of America Corp,Filtration,285.0,0.004340652635816727,
Bank of America Corp,Flood and storm protection,305.0,0.008228834632859906,
Bank of America Corp,Genetic materials,199.0,0.0001621427088305908,
Bank of America Corp,Ground water,444.0,0.2033725771120144,
Bank of America Corp,Maintain nursery habitats,90.0,6.985134301047352e-07,
Bank of America Corp,Mass stabilisation and erosion control,279.0,0.0035503840389096205,
Bank of America Corp,Mediation of sensory impacts,278.0,0.0034320287671713127,
Bank of America Corp,Pest control,153.0,1.9416745409292937e-05,
Bank of America Corp,Pollination,134.0,7.497014638871616e-06,
Bank of America Corp,Soil quality,303.0,0.00773511091028428,
Bank of America Corp,Surface water,390.0,0.07505219556217615,
Bank of America Corp,Ventilation,237.0,0.0007723336759404603,
Bank of America Corp,Water flow maintenance,320.0,0.012897259315553376,
Bank of America Corp,Water quality,415.0,0.12364148177239465,
Bank of China Ltd,Animal-based energy,26.0,4.5001160007438815e-05,
Bank of China Ltd,Bio-remediation,148.0,0.16230590557403607,
Bank of China Ltd,Buffering and attenuation of mass flows,82.0,0.005075028080092482,
Bank of China Ltd,Climate regulation,137.0,0.10577769342527138,
Bank of China Ltd,Dilution by atmosphere and ecosystems,137.0,0.10577769342527138,
Bank of China Ltd,Disease control,26.0,4.5001160007438815e-05,
Bank of China Ltd,Fibres and other materials,43.0,0.00022604182652505444,
Bank of China Ltd,Filtration,129.0,0.07472174709127487,
Bank of China Ltd,Flood and storm protection,162.0,0.2582742420732513,
Bank of China Ltd,Genetic materials,89.0,0.00814171949491999,
Bank of China Ltd,Ground water,165.0,0.28210485766693816,
Bank of China Ltd,Maintain nursery habitats,0.0,2.803058263748007e-06,
Bank of China Ltd,Mass stabilisation and erosion control,267.0,0.969531336166801,
Bank of China Ltd,Mediation of sensory impacts,112.0,0.03216218555698793,
Bank of China Ltd,Pest control,74.0,0.002864736199957801,
Bank of China Ltd,Pollination,26.0,4.5001160007438815e-05,
Bank of China Ltd,Soil quality,150.0,0.17438571887340226,
Bank of China Ltd,Surface water,154.0,0.20020899233691297,
Bank of China Ltd,Ventilation,56.0,0.000698367615855704,
Bank of China Ltd,Water flow maintenance,132.0,0.08543324085700787,
Bank of China Ltd,Water quality,164.0,0.27404489971576174,
Bank of Communications Co Ltd,Animal-based energy,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Bio-remediation,20.0,0.06804869055719684,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,0.0,0.0011088607321185246,
