Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Bio-remediation,19.0,0.19313536018324134,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Climate regulation,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Disease control,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Filtration,19.0,0.19313536018324134,
Agricultural Bank of China Ltd,Flood and storm protection,23.0,0.3232311013320848,
Agricultural Bank of China Ltd,Genetic materials,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Ground water,28.0,0.5203231829799182,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,20.0,0.22229336945587275,
Agricultural Bank of China Ltd,Mediation of sensory impacts,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Pest control,10.0,0.03723091570870273,
Agricultural Bank of China Ltd,Pollination,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Soil quality,10.0,0.03723091570870273,
Agricultural Bank of China Ltd,Surface water,26.0,0.4392408717164356,
Agricultural Bank of China Ltd,Ventilation,3.0,0.0062576593450369864,
Agricultural Bank of China Ltd,Water flow maintenance,2.0,0.004672056501102442,
Agricultural Bank of China Ltd,Water quality,24.0,0.36063834951457785,
BNP Paribas SA,Animal-based energy,28.0,5.0985825254835125e-06,
BNP Paribas SA,Bio-remediation,88.0,0.0004991357810457846,
BNP Paribas SA,Buffering and attenuation of mass flows,122.0,0.003962489018541592,
BNP Paribas SA,Climate regulation,139.0,0.009710042405832935,
BNP Paribas SA,Dilution by atmosphere and ecosystems,196.0,0.10177045303446303,
BNP Paribas SA,Disease control,28.0,5.0985825254835125e-06,
BNP Paribas SA,Fibres and other materials,24.0,3.5990412762791215e-06,
BNP Paribas SA,Filtration,125.0,0.004672710481004236,
BNP Paribas SA,Flood and storm protection,162.0,0.028241401877523588,
BNP Paribas SA,Genetic materials,146.0,0.013675383018333997,
BNP Paribas SA,Ground water,168.0,0.036319026100813084,
BNP Paribas SA,Maintain nursery habitats,28.0,5.0985825254835125e-06,
