Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Bio-remediation,12.0,0.05706416388111932,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Climate regulation,8.0,0.023426642394073573,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,7.0,0.018328964336107256,
Agricultural Bank of China Ltd,Disease control,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Fibres and other materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Filtration,12.0,0.05706416388111932,
Agricultural Bank of China Ltd,Flood and storm protection,24.0,0.36063834951457785,
Agricultural Bank of China Ltd,Genetic materials,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Ground water,27.0,0.47967681702008175,
Agricultural Bank of China Ltd,Maintain nursery habitats,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,22.0,0.28753106508697485,
Agricultural Bank of China Ltd,Mediation of sensory impacts,9.0,0.02966805994045431,
Agricultural Bank of China Ltd,Pest control,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Pollination,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Soil quality,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Surface water,27.0,0.47967681702008175,
Agricultural Bank of China Ltd,Ventilation,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Water flow maintenance,2.0,0.004672056501102442,
Agricultural Bank of China Ltd,Water quality,18.0,0.1664398772841944,
BNP Paribas SA,Animal-based energy,28.0,5.0985825254835125e-06,
BNP Paribas SA,Bio-remediation,78.0,0.0002525823213388773,
BNP Paribas SA,Buffering and attenuation of mass flows,54.0,4.304580202464658e-05,
BNP Paribas SA,Climate regulation,143.0,0.011831051663797096,
BNP Paribas SA,Dilution by atmosphere and ecosystems,173.0,0.044414858441809764,
BNP Paribas SA,Disease control,28.0,5.0985825254835125e-06,
BNP Paribas SA,Fibres and other materials,26.0,4.28656924737504e-06,
BNP Paribas SA,Filtration,108.0,0.001766882802083499,
BNP Paribas SA,Flood and storm protection,103.0,0.0013039638922787724,
BNP Paribas SA,Genetic materials,116.0,0.00282489543151662,
BNP Paribas SA,Ground water,155.0,0.02076574559652757,
BNP Paribas SA,Maintain nursery habitats,28.0,5.0985825254835125e-06,
BNP Paribas SA,Mass stabilisation and erosion control,266.0,0.5149161183382575,
BNP Paribas SA,Mediation of sensory impacts,113.0,0.0023748256085772868,
BNP Paribas SA,Pest control,56.0,5.0250431901186536e-05,
BNP Paribas SA,Pollination,28.0,5.0985825254835125e-06,
BNP Paribas SA,Soil quality,136.0,0.008345052863232007,
BNP Paribas SA,Surface water,145.0,0.013034785270165045,
BNP Paribas SA,Ventilation,110.0,0.0019906681031116777,
BNP Paribas SA,Water flow maintenance,200.0,0.11570548636995082,
BNP Paribas SA,Water quality,196.0,0.10177045303446303,
Banco Santander SA,Animal-based energy,128.0,2.616879782736653e-05,
Banco Santander SA,Bio-remediation,32.0,7.801964753305062e-08,
Banco Santander SA,Buffering and attenuation of mass flows,203.0,0.0009444692746999241,
Banco Santander SA,Climate regulation,215.0,0.0015526539849615207,
Banco Santander SA,Dilution by atmosphere and ecosystems,370.0,0.15408994880982518,
Banco Santander SA,Disease control,127.0,2.480689807365294e-05,
Banco Santander SA,Fibres and other materials,167.0,0.00018734855507255823,
Banco Santander SA,Filtration,131.0,3.0692273673221404e-05,
Banco Santander SA,Flood and storm protection,285.0,0.018677629252336608,
Banco Santander SA,Genetic materials,134.0,3.594940512463997e-05,
Banco Santander SA,Ground water,273.0,0.012810655097504849,
Banco Santander SA,Maintain nursery habitats,117.0,1.4417604073116468e-05,
Banco Santander SA,Mass stabilisation and erosion control,473.0,0.6059692735970441,
Banco Santander SA,Mediation of sensory impacts,139.0,4.6648298806575496e-05,
Banco Santander SA,Pest control,217.0,0.0016833420366028948,
Banco Santander SA,Pollination,128.0,2.616879782736653e-05,
Banco Santander SA,Soil quality,229.0,0.0027007095636370866,
Banco Santander SA,Surface water,238.0,0.0037978494380571585,
Banco Santander SA,Ventilation,235.0,0.003394271198317081,
Banco Santander SA,Water flow maintenance,288.0,0.02045953997969924,
Banco Santander SA,Water quality,317.0,0.04630936525555926,
Bank of America Corp,Animal-based energy,147.0,1.4445389726197848e-05,
Bank of America Corp,Bio-remediation,88.0,6.235511662857224e-07,
Bank of America Corp,Buffering and attenuation of mass flows,226.0,0.0005003651850696627,
Bank of America Corp,Climate regulation,210.0,0.00025933718088879217,
Bank of America Corp,Dilution by atmosphere and ecosystems,300.0,0.0070433968128995475,
Bank of America Corp,Disease control,147.0,1.4445389726197848e-05,
Bank of America Corp,Fibres and other materials,150.0,1.6756791273252653e-05,
Bank of America Corp,Filtration,215.0,0.0003195142818266152,
Bank of America Corp,Flood and storm protection,198.0,0.00015525350075291195,
Bank of America Corp,Genetic materials,190.0,0.000109221632886122,
Bank of America Corp,Ground water,299.0,0.006825274576080332,
Bank of America Corp,Maintain nursery habitats,90.0,6.985134301047352e-07,
Bank of America Corp,Mass stabilisation and erosion control,283.0,0.004061297784813635,
Bank of America Corp,Mediation of sensory impacts,200.0,0.00016931722566911362,
Bank of America Corp,Pest control,236.0,0.0007428922919744112,
Bank of America Corp,Pollination,146.0,1.3744730669816268e-05,
Bank of America Corp,Soil quality,285.0,0.004340652635816727,
Bank of America Corp,Surface water,265.0,0.0021852275504575286,
Bank of America Corp,Ventilation,190.0,0.000109221632886122,
Bank of America Corp,Water flow maintenance,289.0,0.0049513919588847054,
Bank of America Corp,Water quality,309.0,0.00929994135698778,
Bank of China Ltd,Animal-based energy,26.0,4.5001160007438815e-05,
Bank of China Ltd,Bio-remediation,122.0,0.05373442000829401,
Bank of China Ltd,Buffering and attenuation of mass flows,51.0,0.0004574787607796693,
Bank of China Ltd,Climate regulation,140.0,0.11955286612220373,
Bank of China Ltd,Dilution by atmosphere and ecosystems,115.0,0.03771425304910189,
Bank of China Ltd,Disease control,26.0,4.5001160007438815e-05,
Bank of China Ltd,Fibres and other materials,25.0,4.0723853039011596e-05,
Bank of China Ltd,Filtration,109.0,0.027302883882902848,
Bank of China Ltd,Flood and storm protection,137.0,0.10577769342527138,
Bank of China Ltd,Genetic materials,51.0,0.0004574787607796693,
Bank of China Ltd,Ground water,129.0,0.07472174709127487,
Bank of China Ltd,Maintain nursery habitats,0.0,2.803058263748007e-06,
Bank of China Ltd,Mass stabilisation and erosion control,259.0,0.9536913292529919,
Bank of China Ltd,Mediation of sensory impacts,122.0,0.05373442000829401,
Bank of China Ltd,Pest control,51.0,0.0004574787607796693,
Bank of China Ltd,Pollination,26.0,4.5001160007438815e-05,
Bank of China Ltd,Soil quality,50.0,0.00041968473711052575,
Bank of China Ltd,Surface water,116.0,0.03973025518794377,
Bank of China Ltd,Ventilation,64.0,0.0013361137909287302,
Bank of China Ltd,Water flow maintenance,104.0,0.020569570996729722,
Bank of China Ltd,Water quality,116.0,0.03973025518794377,
Bank of Communications Co Ltd,Animal-based energy,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Bio-remediation,11.0,0.0140280620746218,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Climate regulation,18.0,0.049740440378182246,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,13.0,0.020694702004574652,
Bank of Communications Co Ltd,Disease control,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Fibres and other materials,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Filtration,30.0,0.2400884449530385,
Bank of Communications Co Ltd,Flood and storm protection,28.0,0.19409320260413893,
Bank of Communications Co Ltd,Genetic materials,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Ground water,35.0,0.3768418588630787,
Bank of Communications Co Ltd,Maintain nursery habitats,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,40.0,0.5312635388187624,
Bank of Communications Co Ltd,Mediation of sensory impacts,36.0,0.40697267315083047,
Bank of Communications Co Ltd,Pest control,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Pollination,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Soil quality,0.0,0.0011088607321185246,
Bank of Communications Co Ltd,Surface water,34.0,0.3474433011862367,
Bank of Communications Co Ltd,Ventilation,26.0,0.15391073595442134,
Bank of Communications Co Ltd,Water flow maintenance,13.0,0.020694702004574652,
Bank of Communications Co Ltd,Water quality,27.0,0.17326085585305362,
Bank of New York Mellon Corp,Animal-based energy,318.0,0.01943199422489425,
Bank of New York Mellon Corp,Bio-remediation,121.0,6.366263918369501e-06,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,272.0,0.004627975826842415,
Bank of New York Mellon Corp,Climate regulation,150.0,2.8340759809548957e-05,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,501.0,0.5279115893135509,
Bank of New York Mellon Corp,Disease control,272.0,0.004627975826842415,
Bank of New York Mellon Corp,Fibres and other materials,263.0,0.0033897600243796904,
Bank of New York Mellon Corp,Filtration,293.0,0.009202228590725028,
Bank of New York Mellon Corp,Flood and storm protection,300.0,0.011432358486981372,
Bank of New York Mellon Corp,Genetic materials,355.0,0.051147594878706924,
Bank of New York Mellon Corp,Ground water,323.0,0.02236029471695324,
Bank of New York Mellon Corp,Maintain nursery habitats,236.0,0.0012531496472388537,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,304.0,0.012906726808247362,
Bank of New York Mellon Corp,Mediation of sensory impacts,283.0,0.006678973634095178,
Bank of New York Mellon Corp,Pest control,299.0,0.011087475303276625,
Bank of New York Mellon Corp,Pollination,275.0,0.005122590959240555,
Bank of New York Mellon Corp,Soil quality,348.0,0.04312512087181439,
Bank of New York Mellon Corp,Surface water,323.0,0.02236029471695324,
Bank of New York Mellon Corp,Ventilation,370.0,0.07231365066239616,
Bank of New York Mellon Corp,Water flow maintenance,295.0,0.00979685266560458,
Bank of New York Mellon Corp,Water quality,432.0,0.2311021111736991,
Barclays PLC,Animal-based energy,51.0,7.658008090525097e-06,
Barclays PLC,Bio-remediation,111.0,0.00041686751771112144,
Barclays PLC,Buffering and attenuation of mass flows,42.0,3.883533429001045e-06,
Barclays PLC,Climate regulation,172.0,0.009584771408114109,
Barclays PLC,Dilution by atmosphere and ecosystems,205.0,0.035795858260593894,
Barclays PLC,Disease control,50.0,7.1088205309493005e-06,
Barclays PLC,Fibres and other materials,105.0,0.00029126570941791094,
Barclays PLC,Filtration,96.0,0.0001672314459245483,
Barclays PLC,Flood and storm protection,164.0,0.006694511189492244,
Barclays PLC,Genetic materials,128.0,0.0010960174558860307,
Barclays PLC,Ground water,123.0,0.0008310149646302989,
Barclays PLC,Maintain nursery habitats,44.0,4.5241894760074846e-06,
Barclays PLC,Mass stabilisation and erosion control,240.0,0.10964172228075342,
Barclays PLC,Mediation of sensory impacts,108.0,0.0003488484218887649,
Barclays PLC,Pest control,46.0,5.265104169207808e-06,
Barclays PLC,Pollination,55.0,1.0286609741087918e-05,
Barclays PLC,Soil quality,151.0,0.0036137130435331542,
Barclays PLC,Surface water,105.0,0.00029126570941791094,
Barclays PLC,Ventilation,129.0,0.0011575331007647655,
Barclays PLC,Water flow maintenance,116.0,0.0005581433521727647,
Barclays PLC,Water quality,174.0,0.010459057728318037,
China Construction Bank Corp,Animal-based energy,13.0,0.01156490124867973,
China Construction Bank Corp,Bio-remediation,12.0,0.009611719548774537,
China Construction Bank Corp,Buffering and attenuation of mass flows,13.0,0.01156490124867973,
China Construction Bank Corp,Climate regulation,18.0,0.02731196912728582,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,23.0,0.05792574876296503,
China Construction Bank Corp,Disease control,13.0,0.01156490124867973,
China Construction Bank Corp,Fibres and other materials,12.0,0.009611719548774537,
China Construction Bank Corp,Filtration,18.0,0.02731196912728582,
China Construction Bank Corp,Flood and storm protection,18.0,0.02731196912728582,
China Construction Bank Corp,Genetic materials,25.0,0.07597809287170526,
China Construction Bank Corp,Ground water,33.0,0.19117604492875773,
China Construction Bank Corp,Maintain nursery habitats,0.0,0.0007368904219375711,
China Construction Bank Corp,Mass stabilisation and erosion control,52.0,0.6751779838341339,
China Construction Bank Corp,Mediation of sensory impacts,28.0,0.1106650414969505,
China Construction Bank Corp,Pest control,13.0,0.01156490124867973,
China Construction Bank Corp,Pollination,13.0,0.01156490124867973,
China Construction Bank Corp,Soil quality,12.0,0.009611719548774537,
China Construction Bank Corp,Surface water,32.0,0.1727237652346129,
China Construction Bank Corp,Ventilation,27.0,0.0980254817405532,
China Construction Bank Corp,Water flow maintenance,28.0,0.1106650414969505,
China Construction Bank Corp,Water quality,27.0,0.0980254817405532,
Citigroup Inc,Animal-based energy,99.0,0.00020166529607925022,
Citigroup Inc,Bio-remediation,140.0,0.0020761742966097564,
