Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,22.0,0.28753106508697485,
Agricultural Bank of China Ltd,Bio-remediation,21.0,0.2538121721547619,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,25.0,0.3994296749980248,
Agricultural Bank of China Ltd,Climate regulation,25.0,0.3994296749980248,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,25.0,0.3994296749980248,
Agricultural Bank of China Ltd,Disease control,22.0,0.28753106508697485,
Agricultural Bank of China Ltd,Fibres and other materials,24.0,0.36063834951457785,
Agricultural Bank of China Ltd,Filtration,21.0,0.2538121721547619,
Agricultural Bank of China Ltd,Flood and storm protection,24.0,0.36063834951457785,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Ground water,24.0,0.36063834951457785,
Agricultural Bank of China Ltd,Maintain nursery habitats,24.0,0.36063834951457785,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,25.0,0.3994296749980248,
Agricultural Bank of China Ltd,Mediation of sensory impacts,22.0,0.28753106508697485,
Agricultural Bank of China Ltd,Pest control,22.0,0.28753106508697485,
Agricultural Bank of China Ltd,Pollination,22.0,0.28753106508697485,
Agricultural Bank of China Ltd,Soil quality,25.0,0.3994296749980248,
Agricultural Bank of China Ltd,Surface water,24.0,0.36063834951457785,
Agricultural Bank of China Ltd,Ventilation,24.0,0.36063834951457785,
Agricultural Bank of China Ltd,Water flow maintenance,21.0,0.2538121721547619,
Agricultural Bank of China Ltd,Water quality,24.0,0.36063834951457785,
BNP Paribas SA,Animal-based energy,173.0,0.044414858441809764,
BNP Paribas SA,Bio-remediation,194.0,0.09527974548269741,
BNP Paribas SA,Buffering and attenuation of mass flows,176.0,0.04993268081271911,
BNP Paribas SA,Climate regulation,181.0,0.06032967576129151,
BNP Paribas SA,Dilution by atmosphere and ecosystems,176.0,0.04993268081271911,
BNP Paribas SA,Disease control,208.0,0.14751736158325446,
BNP Paribas SA,Fibres and other materials,196.0,0.10177045303446303,
BNP Paribas SA,Filtration,192.0,0.0890990784334093,
BNP Paribas SA,Flood and storm protection,185.0,0.069808840385519,
BNP Paribas SA,Genetic materials,162.0,0.028241401877523588,
BNP Paribas SA,Ground water,216.0,0.1847129900430063,
BNP Paribas SA,Maintain nursery habitats,180.0,0.058124903069840875,
BNP Paribas SA,Mass stabilisation and erosion control,173.0,0.044414858441809764,
BNP Paribas SA,Mediation of sensory impacts,195.0,0.09848595379951514,
BNP Paribas SA,Pest control,187.0,0.07495939703021819,
BNP Paribas SA,Pollination,183.0,0.06493507665721981,
BNP Paribas SA,Soil quality,176.0,0.04993268081271911,
BNP Paribas SA,Surface water,190.0,0.08322186690356792,
BNP Paribas SA,Ventilation,216.0,0.1847129900430063,
BNP Paribas SA,Water flow maintenance,192.0,0.0890990784334093,
BNP Paribas SA,Water quality,192.0,0.0890990784334093,
Banco Santander SA,Animal-based energy,120.0,1.6993316240492328e-05,
Banco Santander SA,Bio-remediation,173.0,0.00024859073731025417,
Banco Santander SA,Buffering and attenuation of mass flows,139.0,4.6648298806575496e-05,
Banco Santander SA,Climate regulation,283.0,0.017564540308975123,
Banco Santander SA,Dilution by atmosphere and ecosystems,209.0,0.0012141389898923203,
Banco Santander SA,Disease control,138.0,4.429312086211873e-05,
Banco Santander SA,Fibres and other materials,207.0,0.0011172778612393932,
Banco Santander SA,Filtration,164.0,0.0001623183653996484,
Banco Santander SA,Flood and storm protection,286.0,0.01925632990787311,
Banco Santander SA,Genetic materials,267.0,0.0105294741214764,
Banco Santander SA,Ground water,192.0,0.0005878705809452232,
Banco Santander SA,Maintain nursery habitats,297.0,0.026691107507634346,
Banco Santander SA,Mass stabilisation and erosion control,244.0,0.004736289841291163,
Banco Santander SA,Mediation of sensory impacts,163.0,0.00015469576705608073,
Banco Santander SA,Pest control,122.0,1.8947139547594607e-05,
Banco Santander SA,Pollination,171.0,0.00022635823919360103,
Banco Santander SA,Soil quality,189.0,0.0005149811890806282,
Banco Santander SA,Surface water,121.0,1.794499488392422e-05,
Banco Santander SA,Ventilation,187.0,0.00047113588389385115,
Banco Santander SA,Water flow maintenance,169.0,0.00020599254095972136,
Banco Santander SA,Water quality,226.0,0.0024043558453890612,
Bank of America Corp,Animal-based energy,247.0,0.0011317628298652739,
Bank of America Corp,Bio-remediation,311.0,0.009879859293392456,
Bank of America Corp,Buffering and attenuation of mass flows,305.0,0.008228834632859906,
Bank of America Corp,Climate regulation,381.0,0.061688723322793064,
Bank of America Corp,Dilution by atmosphere and ecosystems,345.0,0.025761213741999453,
Bank of America Corp,Disease control,324.0,0.014475935143385396,
Bank of America Corp,Fibres and other materials,351.0,0.030096493004642073,
Bank of America Corp,Filtration,317.0,0.011813095383688337,
Bank of America Corp,Flood and storm protection,401.0,0.09425498965164375,
Bank of America Corp,Genetic materials,247.0,0.0011317628298652739,
Bank of America Corp,Ground water,320.0,0.012897259315553376,
Bank of America Corp,Maintain nursery habitats,415.0,0.12364148177239465,
Bank of America Corp,Mass stabilisation and erosion control,463.0,0.2692207114944703,
Bank of America Corp,Mediation of sensory impacts,313.0,0.010491108176703645,
Bank of America Corp,Pest control,321.0,0.013277283037508608,
Bank of America Corp,Pollination,327.0,0.01576659220092969,
Bank of America Corp,Soil quality,348.0,0.027858666772780444,
Bank of America Corp,Surface water,299.0,0.006825274576080332,
Bank of America Corp,Ventilation,307.0,0.008750028743189635,
Bank of America Corp,Water flow maintenance,308.0,0.009021315719621977,
