Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,16.0,0.12056068413870913,
Agricultural Bank of China Ltd,Bio-remediation,15.0,0.10131080385615598,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Climate regulation,19.0,0.19313536018324134,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,19.0,0.19313536018324134,
Agricultural Bank of China Ltd,Disease control,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Fibres and other materials,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Filtration,16.0,0.12056068413870913,
Agricultural Bank of China Ltd,Flood and storm protection,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Ground water,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Maintain nursery habitats,19.0,0.19313536018324134,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,19.0,0.19313536018324134,
Agricultural Bank of China Ltd,Mediation of sensory impacts,16.0,0.12056068413870913,
Agricultural Bank of China Ltd,Pest control,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Pollination,15.0,0.10131080385615598,
Agricultural Bank of China Ltd,Soil quality,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Surface water,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Ventilation,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Water flow maintenance,16.0,0.12056068413870913,
Agricultural Bank of China Ltd,Water quality,18.0,0.1664398772841944,
BNP Paribas SA,Animal-based energy,157.0,0.022707698277865923,
BNP Paribas SA,Bio-remediation,161.0,0.027052761338919394,
BNP Paribas SA,Buffering and attenuation of mass flows,153.0,0.01896629911019119,
BNP Paribas SA,Climate regulation,146.0,0.013675383018333997,
BNP Paribas SA,Dilution by atmosphere and ecosystems,146.0,0.013675383018333997,
BNP Paribas SA,Disease control,160.0,0.025906165614164086,
BNP Paribas SA,Fibres and other materials,157.0,0.022707698277865923,
BNP Paribas SA,Filtration,162.0,0.028241401877523588,
BNP Paribas SA,Flood and storm protection,150.0,0.016516616525424726,
BNP Paribas SA,Genetic materials,175.0,0.048035670464166846,
BNP Paribas SA,Ground water,162.0,0.028241401877523588,
BNP Paribas SA,Maintain nursery habitats,146.0,0.013675383018333997,
BNP Paribas SA,Mass stabilisation and erosion control,149.0,0.01576266050533095,
BNP Paribas SA,Mediation of sensory impacts,163.0,0.029473198221306094,
BNP Paribas SA,Pest control,158.0,0.023734717514644378,
BNP Paribas SA,Pollination,156.0,0.021718391529704947,
BNP Paribas SA,Soil quality,157.0,0.022707698277865923,
BNP Paribas SA,Surface water,158.0,0.023734717514644378,
BNP Paribas SA,Ventilation,167.0,0.03485447991123023,
BNP Paribas SA,Water flow maintenance,162.0,0.028241401877523588,
BNP Paribas SA,Water quality,161.0,0.027052761338919394,
Banco Santander SA,Animal-based energy,142.0,5.4443592640423586e-05,
Banco Santander SA,Bio-remediation,191.0,0.0005625769030371453,
Banco Santander SA,Buffering and attenuation of mass flows,157.0,0.00011555645852920688,
Banco Santander SA,Climate regulation,226.0,0.0024043558453890612,
Banco Santander SA,Dilution by atmosphere and ecosystems,223.0,0.0021377420806868784,
Banco Santander SA,Disease control,167.0,0.00018734855507255823,
Banco Santander SA,Fibres and other materials,199.0,0.0007965283009825614,
Banco Santander SA,Filtration,180.0,0.0003434631169876686,
Banco Santander SA,Flood and storm protection,209.0,0.0012141389898923203,
Banco Santander SA,Genetic materials,287.0,0.019850199373344497,
Banco Santander SA,Ground water,179.0,0.0003281069281662474,
Banco Santander SA,Maintain nursery habitats,242.0,0.004402712096661903,
Banco Santander SA,Mass stabilisation and erosion control,243.0,0.004566782817875798,
Banco Santander SA,Mediation of sensory impacts,178.0,0.00031339121213271026,
Banco Santander SA,Pest control,163.0,0.00015469576705608073,
Banco Santander SA,Pollination,194.0,0.0006416388131329409,
Banco Santander SA,Soil quality,226.0,0.0024043558453890612,
Banco Santander SA,Surface water,138.0,4.429312086211873e-05,
Banco Santander SA,Ventilation,173.0,0.00024859073731025417,
Banco Santander SA,Water flow maintenance,175.0,0.000272845981150081,
Banco Santander SA,Water quality,209.0,0.0012141389898923203,
Bank of America Corp,Animal-based energy,258.0,0.0016996176610472873,
