Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Bio-remediation,16.0,0.12056068413870913,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Climate regulation,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Disease control,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Fibres and other materials,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Filtration,16.0,0.12056068413870913,
Agricultural Bank of China Ltd,Flood and storm protection,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Genetic materials,0.0,0.0025310160631339326,
Agricultural Bank of China Ltd,Ground water,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Maintain nursery habitats,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Mediation of sensory impacts,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Pest control,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Pollination,16.0,0.12056068413870913,
Agricultural Bank of China Ltd,Soil quality,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Surface water,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Ventilation,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Water flow maintenance,18.0,0.1664398772841944,
Agricultural Bank of China Ltd,Water quality,18.0,0.1664398772841944,
BNP Paribas SA,Animal-based energy,157.0,0.022707698277865923,
BNP Paribas SA,Bio-remediation,152.0,0.018117466460330058,
BNP Paribas SA,Buffering and attenuation of mass flows,155.0,0.02076574559652757,
BNP Paribas SA,Climate regulation,165.0,0.03207074952148101,
BNP Paribas SA,Dilution by atmosphere and ecosystems,162.0,0.028241401877523588,
BNP Paribas SA,Disease control,149.0,0.01576266050533095,
BNP Paribas SA,Fibres and other materials,154.0,0.01984872261986176,
BNP Paribas SA,Filtration,149.0,0.01576266050533095,
BNP Paribas SA,Flood and storm protection,172.0,0.042688738118571205,
BNP Paribas SA,Genetic materials,58.0,5.858291461997251e-05,
BNP Paribas SA,Ground water,150.0,0.016516616525424726,
BNP Paribas SA,Maintain nursery habitats,170.0,0.039399254885737436,
BNP Paribas SA,Mass stabilisation and erosion control,162.0,0.028241401877523588,
BNP Paribas SA,Mediation of sensory impacts,148.0,0.015038418629756687,
BNP Paribas SA,Pest control,156.0,0.021718391529704947,
BNP Paribas SA,Pollination,153.0,0.01896629911019119,
BNP Paribas SA,Soil quality,169.0,0.03783356476701601,
BNP Paribas SA,Surface water,154.0,0.01984872261986176,
BNP Paribas SA,Ventilation,149.0,0.01576266050533095,
BNP Paribas SA,Water flow maintenance,149.0,0.01576266050533095,
BNP Paribas SA,Water quality,156.0,0.021718391529704947,
Banco Santander SA,Animal-based energy,161.0,0.00014044534671886193,
