Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,,,
Agricultural Bank of China Ltd,Bio-remediation,51.0,0.9780981382317131,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.8413447460685429,
Agricultural Bank of China Ltd,Climate regulation,10.0,0.9961847926303772,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,14.0,0.8430309531125426,
Agricultural Bank of China Ltd,Disease control,,,
Agricultural Bank of China Ltd,Fibres and other materials,,,
Agricultural Bank of China Ltd,Filtration,51.0,0.6953824656816068,
Agricultural Bank of China Ltd,Flood and storm protection,27.0,0.9829994872993032,
Agricultural Bank of China Ltd,Genetic materials,,,
Agricultural Bank of China Ltd,Ground water,74.0,0.5471029542797005,
Agricultural Bank of China Ltd,Maintain nursery habitats,,,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,118.0,0.8197166324512641,
Agricultural Bank of China Ltd,Mediation of sensory impacts,22.0,0.5236174890046236,
Agricultural Bank of China Ltd,Pest control,2.0,0.7035099509912867,
Agricultural Bank of China Ltd,Pollination,,,
Agricultural Bank of China Ltd,Soil quality,0.0,0.9455952849797271,
Agricultural Bank of China Ltd,Surface water,59.0,0.7962827719611323,
Agricultural Bank of China Ltd,Ventilation,12.0,0.37657618238295726,
Agricultural Bank of China Ltd,Water flow maintenance,20.0,0.7777066305441273,
Agricultural Bank of China Ltd,Water quality,31.0,0.9114429795682012,
BNP Paribas SA,Animal-based energy,91.0,0.9999282217948093,
BNP Paribas SA,Bio-remediation,26640.0,0.9999999999969541,
BNP Paribas SA,Buffering and attenuation of mass flows,1267.0,0.9999471724118517,
BNP Paribas SA,Climate regulation,21550.0,1.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,10397.0,0.9999999999999781,
BNP Paribas SA,Disease control,2220.0,7.078546520704447e-10,
BNP Paribas SA,Fibres and other materials,4773.0,1.016260046882174e-08,
BNP Paribas SA,Filtration,33491.0,0.9999844572271117,
BNP Paribas SA,Flood and storm protection,30642.0,0.9999999999999918,
BNP Paribas SA,Genetic materials,3244.0,2.6124378804991116e-06,
BNP Paribas SA,Ground water,61921.0,0.9999999999998362,
BNP Paribas SA,Maintain nursery habitats,10.0,0.033944577430914495,
BNP Paribas SA,Mass stabilisation and erosion control,73061.0,0.9999999999996868,
BNP Paribas SA,Mediation of sensory impacts,4189.0,0.9999999969405804,
BNP Paribas SA,Pest control,2692.0,0.7791574241455275,
BNP Paribas SA,Pollination,1511.0,0.0020813003786350937,
BNP Paribas SA,Soil quality,6812.0,0.8602685214259496,
BNP Paribas SA,Surface water,47158.0,1.0,
BNP Paribas SA,Ventilation,7764.0,0.9667690550090409,
BNP Paribas SA,Water flow maintenance,23583.0,1.0,
BNP Paribas SA,Water quality,29157.0,0.9999999772287845,
Banco Santander SA,Animal-based energy,3840.0,0.9999999999799912,
Banco Santander SA,Bio-remediation,395943.0,1.0,
Banco Santander SA,Buffering and attenuation of mass flows,24724.0,1.0,
Banco Santander SA,Climate regulation,299733.0,1.0,
Banco Santander SA,Dilution by atmosphere and ecosystems,219076.0,1.0,
Banco Santander SA,Disease control,42045.0,0.000131780334527417,
Banco Santander SA,Fibres and other materials,77607.0,3.100875141727367e-05,
Banco Santander SA,Filtration,720361.0,0.9999997246100231,
Banco Santander SA,Flood and storm protection,378497.0,1.0,
Banco Santander SA,Genetic materials,74222.0,2.4869456722217364e-29,
Banco Santander SA,Ground water,1139135.0,1.0,
Banco Santander SA,Maintain nursery habitats,239.0,0.0010634682335613427,
Banco Santander SA,Mass stabilisation and erosion control,864849.0,1.0,
Banco Santander SA,Mediation of sensory impacts,69588.0,1.0,
Banco Santander SA,Pest control,56577.0,0.9999391284909159,
Banco Santander SA,Pollination,33588.0,0.04297285770155245,
Banco Santander SA,Soil quality,105871.0,0.9999999999997606,
Banco Santander SA,Surface water,977768.0,1.0,
Banco Santander SA,Ventilation,122526.0,0.9999999819174971,
Banco Santander SA,Water flow maintenance,391280.0,1.0,
Banco Santander SA,Water quality,361313.0,1.0,
Bank of America Corp,Animal-based energy,5796.0,0.9999999957357059,
Bank of America Corp,Bio-remediation,596046.0,1.0,
Bank of America Corp,Buffering and attenuation of mass flows,42227.0,0.9999999999698419,
Bank of America Corp,Climate regulation,481384.0,1.0,
Bank of America Corp,Dilution by atmosphere and ecosystems,349196.0,1.0,
Bank of America Corp,Disease control,66608.0,2.1094654972181614e-26,
Bank of America Corp,Fibres and other materials,116475.0,7.402330411484764e-24,
Bank of America Corp,Filtration,892701.0,0.9885179232026405,
Bank of America Corp,Flood and storm protection,620495.0,1.0,
Bank of America Corp,Genetic materials,94348.0,5.736854812023202e-35,
Bank of America Corp,Ground water,1485304.0,1.0,
Bank of America Corp,Maintain nursery habitats,298.0,0.00013323576624263853,
Bank of America Corp,Mass stabilisation and erosion control,1165793.0,1.0,
Bank of America Corp,Mediation of sensory impacts,105706.0,1.0,
Bank of America Corp,Pest control,92445.0,0.042303469636367615,
Bank of America Corp,Pollination,52283.0,1.7558454272406874e-13,
Bank of America Corp,Soil quality,171319.0,0.9625883513880654,
Bank of America Corp,Surface water,1254737.0,1.0,
Bank of America Corp,Ventilation,185860.0,0.9667567238155073,
Bank of America Corp,Water flow maintenance,560425.0,1.0,
Bank of America Corp,Water quality,567499.0,1.0,
