Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,,,
Agricultural Bank of China Ltd,Bio-remediation,55.0,0.9690236057314185,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.8413447460685429,
Agricultural Bank of China Ltd,Climate regulation,17.0,0.9578102787030197,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,19.0,0.6607988120739059,
Agricultural Bank of China Ltd,Disease control,,,
Agricultural Bank of China Ltd,Fibres and other materials,,,
Agricultural Bank of China Ltd,Filtration,35.0,0.8640261880026323,
Agricultural Bank of China Ltd,Flood and storm protection,45.0,0.8828395141311591,
Agricultural Bank of China Ltd,Genetic materials,,,
Agricultural Bank of China Ltd,Ground water,60.0,0.782621914120784,
Agricultural Bank of China Ltd,Maintain nursery habitats,,,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,131.0,0.7063859171189664,
Agricultural Bank of China Ltd,Mediation of sensory impacts,20.0,0.6164515657948614,
Agricultural Bank of China Ltd,Pest control,3.0,0.5,
Agricultural Bank of China Ltd,Pollination,,,
Agricultural Bank of China Ltd,Soil quality,2.0,0.7035099509912867,
Agricultural Bank of China Ltd,Surface water,76.0,0.5094417045583245,
Agricultural Bank of China Ltd,Ventilation,12.0,0.37657618238295726,
Agricultural Bank of China Ltd,Water flow maintenance,19.0,0.8068646398167587,
Agricultural Bank of China Ltd,Water quality,36.0,0.8498550601873379,
BNP Paribas SA,Animal-based energy,86.0,0.9999478816008412,
BNP Paribas SA,Bio-remediation,27266.0,0.9999999999824349,
BNP Paribas SA,Buffering and attenuation of mass flows,1225.0,0.9999721950776048,
BNP Paribas SA,Climate regulation,25418.0,1.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,11953.0,0.999999999949751,
BNP Paribas SA,Disease control,2207.0,1.1437176450119664e-09,
BNP Paribas SA,Fibres and other materials,4514.0,7.3475324751058e-07,
BNP Paribas SA,Filtration,36277.0,0.998809594301514,
BNP Paribas SA,Flood and storm protection,34645.0,0.9999999998066019,
BNP Paribas SA,Genetic materials,3250.0,2.3327050888319163e-06,
BNP Paribas SA,Ground water,64992.0,0.9999999999766043,
BNP Paribas SA,Maintain nursery habitats,10.0,0.033944577430914495,
BNP Paribas SA,Mass stabilisation and erosion control,78553.0,0.9999999993450391,
BNP Paribas SA,Mediation of sensory impacts,4523.0,0.999999954587265,
BNP Paribas SA,Pest control,2795.0,0.6749563970440713,
BNP Paribas SA,Pollination,1420.0,0.011576812872913593,
BNP Paribas SA,Soil quality,7159.0,0.7107381309721754,
BNP Paribas SA,Surface water,54443.0,1.0,
BNP Paribas SA,Ventilation,8316.0,0.8673017189558865,
BNP Paribas SA,Water flow maintenance,25286.0,1.0,
BNP Paribas SA,Water quality,31413.0,0.9999970741181133,
Banco Santander SA,Animal-based energy,3749.0,0.9999999999913866,
Banco Santander SA,Bio-remediation,381812.0,1.0,
Banco Santander SA,Buffering and attenuation of mass flows,23294.0,1.0,
Banco Santander SA,Climate regulation,305702.0,1.0,
Banco Santander SA,Dilution by atmosphere and ecosystems,213324.0,1.0,
Banco Santander SA,Disease control,40168.0,0.0030659407256627825,
Banco Santander SA,Fibres and other materials,74142.0,0.0015627418745664558,
Banco Santander SA,Filtration,708867.0,0.9999999828769077,
Banco Santander SA,Flood and storm protection,405405.0,1.0,
Banco Santander SA,Genetic materials,74389.0,1.1868363353468805e-29,
Banco Santander SA,Ground water,1154032.0,1.0,
Banco Santander SA,Maintain nursery habitats,258.0,0.00013122515152064115,
Banco Santander SA,Mass stabilisation and erosion control,865072.0,1.0,
Banco Santander SA,Mediation of sensory impacts,66469.0,1.0,
Banco Santander SA,Pest control,49689.0,0.9999999967023092,
Banco Santander SA,Pollination,28532.0,0.8352035138141926,
Banco Santander SA,Soil quality,105553.0,0.9999999999998356,
Banco Santander SA,Surface water,986912.0,1.0,
Banco Santander SA,Ventilation,122776.0,0.9999999775014203,
Banco Santander SA,Water flow maintenance,385598.0,1.0,
Banco Santander SA,Water quality,385229.0,1.0,
Bank of America Corp,Animal-based energy,6057.0,0.999999975538102,
Bank of America Corp,Bio-remediation,540004.0,1.0,
Bank of America Corp,Buffering and attenuation of mass flows,38609.0,0.9999999999999899,
Bank of America Corp,Climate regulation,471461.0,1.0,
Bank of America Corp,Dilution by atmosphere and ecosystems,301176.0,1.0,
Bank of America Corp,Disease control,56071.0,4.3896918127769807e-10,
Bank of America Corp,Fibres and other materials,98178.0,9.261322045399005e-08,
Bank of America Corp,Filtration,833975.0,0.9999982515743324,
Bank of America Corp,Flood and storm protection,606194.0,1.0,
Bank of America Corp,Genetic materials,94610.0,1.956838518558645e-35,
Bank of America Corp,Ground water,1413833.0,1.0,
Bank of America Corp,Maintain nursery habitats,289.0,0.0003323690096662036,
Bank of America Corp,Mass stabilisation and erosion control,1147569.0,1.0,
Bank of America Corp,Mediation of sensory impacts,100742.0,1.0,
Bank of America Corp,Pest control,79028.0,0.9411478920455902,
Bank of America Corp,Pollination,41722.0,0.00859283395700897,
Bank of America Corp,Soil quality,149413.0,0.9999992000053373,
Bank of America Corp,Surface water,1222326.0,1.0,
Bank of America Corp,Ventilation,173972.0,0.999630182409304,
Bank of America Corp,Water flow maintenance,518815.0,1.0,
Bank of America Corp,Water quality,529068.0,1.0,
Bank of China Ltd,Animal-based energy,1.0,0.15865525393145707,
Bank of China Ltd,Bio-remediation,572.0,0.8566772302151573,
Bank of China Ltd,Buffering and attenuation of mass flows,6.0,0.35750032734404463,
Bank of China Ltd,Climate regulation,683.0,0.6132174891718395,
Bank of China Ltd,Dilution by atmosphere and ecosystems,252.0,0.7816834919194029,
Bank of China Ltd,Disease control,1.0,0.15865525393145707,
Bank of China Ltd,Fibres and other materials,7.0,0.2326044092260709,
Bank of China Ltd,Filtration,421.0,0.9348917503055435,
Bank of China Ltd,Flood and storm protection,864.0,0.8378939354508848,
Bank of China Ltd,Genetic materials,3.0,0.887542057992019,
Bank of China Ltd,Ground water,725.0,0.9824223041687792,
Bank of China Ltd,Maintain nursery habitats,,,
Bank of China Ltd,Mass stabilisation and erosion control,2526.0,0.2346699364387438,
Bank of China Ltd,Mediation of sensory impacts,116.0,0.9971751045684834,
Bank of China Ltd,Pest control,10.0,0.5417440460680529,
Bank of China Ltd,Pollination,1.0,0.15865525393145707,
Bank of China Ltd,Soil quality,58.0,0.19117604492875773,
Bank of China Ltd,Surface water,783.0,0.9571644654146996,
Bank of China Ltd,Ventilation,126.0,0.8369752686355425,
Bank of China Ltd,Water flow maintenance,227.0,0.9812865504978039,
Bank of China Ltd,Water quality,441.0,0.7357149898677976,
Bank of Communications Co Ltd,Animal-based energy,,,
Bank of Communications Co Ltd,Bio-remediation,47.0,0.9732970792560083,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,,,
Bank of Communications Co Ltd,Climate regulation,51.0,0.9976621867054523,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,28.0,0.9654280130512405,
Bank of Communications Co Ltd,Disease control,,,
Bank of Communications Co Ltd,Fibres and other materials,2.0,0.7035099509912867,
Bank of Communications Co Ltd,Filtration,30.0,0.9985196017305362,
Bank of Communications Co Ltd,Flood and storm protection,97.0,0.9984571965569188,
Bank of Communications Co Ltd,Genetic materials,1.0,0.6726395769907115,
Bank of Communications Co Ltd,Ground water,104.0,0.9986134484694624,
Bank of Communications Co Ltd,Maintain nursery habitats,,,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,506.0,0.448927247484677,
Bank of Communications Co Ltd,Mediation of sensory impacts,10.0,0.9934481929449808,
Bank of Communications Co Ltd,Pest control,5.0,0.7499078714646028,
Bank of Communications Co Ltd,Pollination,,,
Bank of Communications Co Ltd,Soil quality,7.0,0.553630799527826,
Bank of Communications Co Ltd,Surface water,108.0,0.9982331171979165,
Bank of Communications Co Ltd,Ventilation,11.0,0.9920467779491483,
Bank of Communications Co Ltd,Water flow maintenance,25.0,0.995790613202095,
Bank of Communications Co Ltd,Water quality,31.0,0.9990339297611922,
Bank of New York Mellon Corp,Animal-based energy,4718.0,1.0,
Bank of New York Mellon Corp,Bio-remediation,767198.0,1.0,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,33667.0,1.0,
Bank of New York Mellon Corp,Climate regulation,597721.0,1.0,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,364662.0,1.0,
Bank of New York Mellon Corp,Disease control,75018.0,0.020469958947708526,
Bank of New York Mellon Corp,Fibres and other materials,136496.0,0.07042988193157004,
Bank of New York Mellon Corp,Filtration,1372586.0,0.9999999999999885,
Bank of New York Mellon Corp,Flood and storm protection,792629.0,1.0,
Bank of New York Mellon Corp,Genetic materials,156536.0,1.245550246710511e-45,
Bank of New York Mellon Corp,Ground water,2183461.0,1.0,
Bank of New York Mellon Corp,Maintain nursery habitats,497.0,6.5972917423204286e-06,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,1562154.0,1.0,
Bank of New York Mellon Corp,Mediation of sensory impacts,137971.0,1.0,
Bank of New York Mellon Corp,Pest control,90568.0,1.0,
Bank of New York Mellon Corp,Pollination,50729.0,0.9983282172613244,
Bank of New York Mellon Corp,Soil quality,180854.0,1.0,
Bank of New York Mellon Corp,Surface water,1720078.0,1.0,
Bank of New York Mellon Corp,Ventilation,253899.0,0.9999999882471446,
Bank of New York Mellon Corp,Water flow maintenance,736273.0,1.0,
Bank of New York Mellon Corp,Water quality,758477.0,1.0,
Barclays PLC,Animal-based energy,4178.0,0.9981222572869848,
Barclays PLC,Bio-remediation,280240.0,1.0,
Barclays PLC,Buffering and attenuation of mass flows,23667.0,0.9999960019329417,
Barclays PLC,Climate regulation,268809.0,1.0,
Barclays PLC,Dilution by atmosphere and ecosystems,178619.0,0.9999999999999938,
Barclays PLC,Disease control,33661.0,3.436120114870631e-15,
Barclays PLC,Fibres and other materials,59161.0,3.1460888987516957e-12,
Barclays PLC,Filtration,441655.0,0.9991339248333062,
Barclays PLC,Flood and storm protection,339015.0,1.0,
Barclays PLC,Genetic materials,45239.0,1.713158941619277e-18,
Barclays PLC,Ground water,749031.0,1.0,
Barclays PLC,Maintain nursery habitats,145.0,0.004781453058916022,
Barclays PLC,Mass stabilisation and erosion control,580535.0,1.0,
Barclays PLC,Mediation of sensory impacts,54619.0,0.9999999999999987,
Barclays PLC,Pest control,48742.0,0.005161475670023706,
Barclays PLC,Pollination,27745.0,5.641147461952689e-10,
Barclays PLC,Soil quality,89195.0,0.837027699402188,
Barclays PLC,Surface water,680392.0,1.0,
Barclays PLC,Ventilation,96664.0,0.9435089566967858,
Barclays PLC,Water flow maintenance,309257.0,1.0,
Barclays PLC,Water quality,309505.0,0.9999999999999999,
China Construction Bank Corp,Animal-based energy,1.0,0.6726395769907115,
China Construction Bank Corp,Bio-remediation,321.0,0.7635790090449788,
China Construction Bank Corp,Buffering and attenuation of mass flows,2.0,0.7035099509912867,
China Construction Bank Corp,Climate regulation,250.0,0.998733704473764,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,186.0,0.7521056467631494,
China Construction Bank Corp,Disease control,3.0,0.5,
China Construction Bank Corp,Fibres and other materials,15.0,0.021557223391537678,
China Construction Bank Corp,Filtration,212.0,0.8345604956304331,
China Construction Bank Corp,Flood and storm protection,239.0,0.9717428950016536,
China Construction Bank Corp,Genetic materials,2.0,0.7035099509912867,
China Construction Bank Corp,Ground water,610.0,0.9810388413035741,
China Construction Bank Corp,Maintain nursery habitats,,,
China Construction Bank Corp,Mass stabilisation and erosion control,1104.0,0.7911814074129688,
China Construction Bank Corp,Mediation of sensory impacts,88.0,0.9868692579034872,
China Construction Bank Corp,Pest control,20.0,0.15524721715861745,
China Construction Bank Corp,Pollination,3.0,0.5,
China Construction Bank Corp,Soil quality,37.0,0.042915479222142824,
China Construction Bank Corp,Surface water,613.0,0.9799661098230188,
China Construction Bank Corp,Ventilation,74.0,0.925411205468578,
China Construction Bank Corp,Water flow maintenance,324.0,0.9640039382050256,
China Construction Bank Corp,Water quality,176.0,0.920870504479024,
Citigroup Inc,Animal-based energy,1065.0,0.9998986566385852,
Citigroup Inc,Bio-remediation,113199.0,1.0,
Citigroup Inc,Buffering and attenuation of mass flows,7367.0,0.9999998679919114,
Citigroup Inc,Climate regulation,129661.0,1.0,
Citigroup Inc,Dilution by atmosphere and ecosystems,70181.0,1.0,
Citigroup Inc,Disease control,9416.0,0.0020809115629229773,
Citigroup Inc,Fibres and other materials,20761.0,0.0019953722515085397,
Citigroup Inc,Filtration,182322.0,0.9999999788621733,
Citigroup Inc,Flood and storm protection,158219.0,1.0,
Citigroup Inc,Genetic materials,16906.0,6.239742752307225e-16,
Citigroup Inc,Ground water,364641.0,1.0,
Citigroup Inc,Maintain nursery habitats,52.0,0.0062576593450369864,
Citigroup Inc,Mass stabilisation and erosion control,344390.0,1.0,
Citigroup Inc,Mediation of sensory impacts,24527.0,1.0,
Citigroup Inc,Pest control,14441.0,0.9183806750841244,
Citigroup Inc,Pollination,6548.0,0.5885013809383449,
Citigroup Inc,Soil quality,25406.0,0.9999972461684735,
Citigroup Inc,Surface water,321328.0,1.0,
Citigroup Inc,Ventilation,43547.0,0.9992600307100415,
Citigroup Inc,Water flow maintenance,125575.0,1.0,
Citigroup Inc,Water quality,141827.0,1.0,
Credite Agricole SA,Animal-based energy,368.0,0.9809651319183953,
Credite Agricole SA,Bio-remediation,46252.0,1.0,
Credite Agricole SA,Buffering and attenuation of mass flows,2416.0,0.9992618620011808,
Credite Agricole SA,Climate regulation,47750.0,1.0,
Credite Agricole SA,Dilution by atmosphere and ecosystems,24451.0,0.9999999999932668,
Credite Agricole SA,Disease control,3298.0,2.4317268335599526e-07,
Credite Agricole SA,Fibres and other materials,6748.0,0.001154546565691844,
Credite Agricole SA,Filtration,68035.0,0.9996497322690827,
Credite Agricole SA,Flood and storm protection,58982.0,0.9999999999999898,
Credite Agricole SA,Genetic materials,4706.0,1.8665042461599913e-09,
Credite Agricole SA,Ground water,136924.0,0.9999999999511492,
Credite Agricole SA,Maintain nursery habitats,15.0,0.021557223391537678,
Credite Agricole SA,Mass stabilisation and erosion control,141206.0,0.9999999999999968,
Credite Agricole SA,Mediation of sensory impacts,8596.0,0.9999999999983309,
Credite Agricole SA,Pest control,4129.0,0.9891761393370115,
Credite Agricole SA,Pollination,2203.0,0.049948622962293646,
Credite Agricole SA,Soil quality,7622.0,0.9998052372736396,
Credite Agricole SA,Surface water,123633.0,1.0,
Credite Agricole SA,Ventilation,15902.0,0.9747677159146297,
Credite Agricole SA,Water flow maintenance,44475.0,1.0,
Credite Agricole SA,Water quality,51683.0,0.9999999986115996,
Deutsche Bank AG,Animal-based energy,5292.0,1.0,
Deutsche Bank AG,Bio-remediation,721123.0,1.0,
Deutsche Bank AG,Buffering and attenuation of mass flows,40811.0,1.0,
Deutsche Bank AG,Climate regulation,560697.0,1.0,
Deutsche Bank AG,Dilution by atmosphere and ecosystems,352521.0,1.0,
Deutsche Bank AG,Disease control,67131.0,0.7330585089007298,
Deutsche Bank AG,Fibres and other materials,130285.0,0.7691226035080453,
Deutsche Bank AG,Filtration,1434737.0,1.0,
Deutsche Bank AG,Flood and storm protection,722318.0,1.0,
Deutsche Bank AG,Genetic materials,158029.0,2.848592443285481e-43,
Deutsche Bank AG,Ground water,2222033.0,1.0,
Deutsche Bank AG,Maintain nursery habitats,512.0,1.764633060468916e-06,
Deutsche Bank AG,Mass stabilisation and erosion control,1589191.0,1.0,
Deutsche Bank AG,Mediation of sensory impacts,137490.0,1.0,
Deutsche Bank AG,Pest control,82182.0,1.0,
Deutsche Bank AG,Pollination,44183.0,0.9999999533911014,
Deutsche Bank AG,Soil quality,153199.0,1.0,
Deutsche Bank AG,Surface water,1815953.0,1.0,
Deutsche Bank AG,Ventilation,249110.0,1.0,
Deutsche Bank AG,Water flow maintenance,681318.0,1.0,
Deutsche Bank AG,Water quality,697167.0,1.0,
Goldman Sachs Group Inc,Animal-based energy,6570.0,1.0,
Goldman Sachs Group Inc,Bio-remediation,773340.0,1.0,
Goldman Sachs Group Inc,Buffering and attenuation of mass flows,49677.0,1.0,
Goldman Sachs Group Inc,Climate regulation,622301.0,1.0,
Goldman Sachs Group Inc,Dilution by atmosphere and ecosystems,394108.0,1.0,
Goldman Sachs Group Inc,Disease control,93684.0,4.0037690903967735e-15,
Goldman Sachs Group Inc,Fibres and other materials,164650.0,3.135283201257449e-12,
Goldman Sachs Group Inc,Filtration,1334169.0,0.9999999999999593,
Goldman Sachs Group Inc,Flood and storm protection,817557.0,1.0,
Goldman Sachs Group Inc,Genetic materials,153873.0,1.3798134217846016e-42,
Goldman Sachs Group Inc,Ground water,2114854.0,1.0,
Goldman Sachs Group Inc,Maintain nursery habitats,513.0,1.6117778828014859e-06,
Goldman Sachs Group Inc,Mass stabilisation and erosion control,1608316.0,1.0,
