Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,,,
Agricultural Bank of China Ltd,Bio-remediation,0.0,0.9988911392678814,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.8413447460685429,
Agricultural Bank of China Ltd,Climate regulation,6.0,0.9746937838804076,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,0.0,0.9784427766084624,
Agricultural Bank of China Ltd,Disease control,,,
Agricultural Bank of China Ltd,Fibres and other materials,,,
Agricultural Bank of China Ltd,Filtration,0.0,0.9961571029723933,
Agricultural Bank of China Ltd,Flood and storm protection,13.0,0.9623158806552637,
Agricultural Bank of China Ltd,Genetic materials,,,
Agricultural Bank of China Ltd,Ground water,22.0,0.9497374135955081,
Agricultural Bank of China Ltd,Maintain nursery habitats,,,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,62.0,0.9457866277539972,
Agricultural Bank of China Ltd,Mediation of sensory impacts,0.0,0.9784427766084624,
Agricultural Bank of China Ltd,Pest control,0.0,0.8413447460685429,
Agricultural Bank of China Ltd,Pollination,,,
Agricultural Bank of China Ltd,Soil quality,0.0,0.8413447460685429,
Agricultural Bank of China Ltd,Surface water,34.0,0.7892105523911774,
Agricultural Bank of China Ltd,Ventilation,0.0,0.9455952849797271,
Agricultural Bank of China Ltd,Water flow maintenance,0.0,0.9861460753209601,
Agricultural Bank of China Ltd,Water quality,8.0,0.9192852688164583,
BNP Paribas SA,Animal-based energy,0.0,0.9999994129027301,
BNP Paribas SA,Bio-remediation,9301.0,1.0,
BNP Paribas SA,Buffering and attenuation of mass flows,200.0,0.9999999999969318,
BNP Paribas SA,Climate regulation,16713.0,1.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,3935.0,1.0,
BNP Paribas SA,Disease control,1588.0,3.628459168536455e-07,
BNP Paribas SA,Fibres and other materials,2042.0,0.125863910909925,
BNP Paribas SA,Filtration,23596.0,0.9999999342158868,
BNP Paribas SA,Flood and storm protection,19940.0,1.0,
BNP Paribas SA,Genetic materials,2016.0,2.5841974068161298e-12,
BNP Paribas SA,Ground water,41604.0,1.0,
BNP Paribas SA,Maintain nursery habitats,10.0,0.033944577430914495,
BNP Paribas SA,Mass stabilisation and erosion control,51229.0,1.0,
BNP Paribas SA,Mediation of sensory impacts,1538.0,0.999999999999995,
BNP Paribas SA,Pest control,1169.0,0.9987388648684004,
BNP Paribas SA,Pollination,937.0,0.43567054061940413,
BNP Paribas SA,Soil quality,2591.0,0.9999964368868309,
BNP Paribas SA,Surface water,31252.0,1.0,
BNP Paribas SA,Ventilation,3538.0,0.999966411758885,
BNP Paribas SA,Water flow maintenance,13002.0,1.0,
BNP Paribas SA,Water quality,10272.0,1.0,
Banco Santander SA,Animal-based energy,1684.0,0.9999999999999999,
Banco Santander SA,Bio-remediation,157979.0,1.0,
Banco Santander SA,Buffering and attenuation of mass flows,16477.0,1.0,
Banco Santander SA,Climate regulation,226347.0,1.0,
Banco Santander SA,Dilution by atmosphere and ecosystems,102102.0,1.0,
