Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,,,
Agricultural Bank of China Ltd,Bio-remediation,51.0,0.021901861768286957,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.15865525393145707,
Agricultural Bank of China Ltd,Climate regulation,10.0,0.0038152073696228043,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,14.0,0.1569690468874574,
Agricultural Bank of China Ltd,Disease control,,,
Agricultural Bank of China Ltd,Fibres and other materials,,,
Agricultural Bank of China Ltd,Filtration,51.0,0.30461753431839317,
Agricultural Bank of China Ltd,Flood and storm protection,27.0,0.017000512700696826,
Agricultural Bank of China Ltd,Genetic materials,,,
Agricultural Bank of China Ltd,Ground water,74.0,0.4528970457202996,
Agricultural Bank of China Ltd,Maintain nursery habitats,,,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,118.0,0.18028336754873592,
Agricultural Bank of China Ltd,Mediation of sensory impacts,22.0,0.47638251099537643,
Agricultural Bank of China Ltd,Pest control,2.0,0.29649004900871334,
Agricultural Bank of China Ltd,Pollination,,,
Agricultural Bank of China Ltd,Soil quality,0.0,0.054404715020272845,
Agricultural Bank of China Ltd,Surface water,59.0,0.20371722803886777,
Agricultural Bank of China Ltd,Ventilation,12.0,0.6234238176170428,
Agricultural Bank of China Ltd,Water flow maintenance,20.0,0.22229336945587275,
Agricultural Bank of China Ltd,Water quality,31.0,0.0885570204317988,
BNP Paribas SA,Animal-based energy,91.0,7.177820519063681e-05,
BNP Paribas SA,Bio-remediation,26640.0,3.04584411942978e-12,
BNP Paribas SA,Buffering and attenuation of mass flows,1267.0,5.282758814827166e-05,
BNP Paribas SA,Climate regulation,21550.0,3.7996386855321515e-25,
BNP Paribas SA,Dilution by atmosphere and ecosystems,10397.0,2.1890883152748526e-14,
BNP Paribas SA,Disease control,2220.0,0.9999999992921453,
BNP Paribas SA,Fibres and other materials,4773.0,0.9999999898373996,
BNP Paribas SA,Filtration,33491.0,1.5542772888301775e-05,
BNP Paribas SA,Flood and storm protection,30642.0,8.18554081031838e-15,
BNP Paribas SA,Genetic materials,3244.0,0.9999973875621195,
BNP Paribas SA,Ground water,61921.0,1.6372381654196436e-13,
BNP Paribas SA,Maintain nursery habitats,10.0,0.9660554225690855,
BNP Paribas SA,Mass stabilisation and erosion control,73061.0,3.1319059925559717e-13,
BNP Paribas SA,Mediation of sensory impacts,4189.0,3.059419619228488e-09,
BNP Paribas SA,Pest control,2692.0,0.2208425758544726,
BNP Paribas SA,Pollination,1511.0,0.9979186996213649,
BNP Paribas SA,Soil quality,6812.0,0.1397314785740505,
BNP Paribas SA,Surface water,47158.0,8.147756150896628e-27,
BNP Paribas SA,Ventilation,7764.0,0.0332309449909591,
BNP Paribas SA,Water flow maintenance,23583.0,2.0225149805311537e-20,
BNP Paribas SA,Water quality,29157.0,2.2771215432760907e-08,
Banco Santander SA,Animal-based energy,3840.0,2.0008785201808078e-11,
Banco Santander SA,Bio-remediation,395943.0,1.7757383479352677e-43,
Banco Santander SA,Buffering and attenuation of mass flows,24724.0,4.609936449172828e-23,
Banco Santander SA,Climate regulation,299733.0,2.379661905435911e-97,
