Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,,,
Agricultural Bank of China Ltd,Bio-remediation,55.0,0.030976394268581495,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.15865525393145707,
Agricultural Bank of China Ltd,Climate regulation,17.0,0.042189721296980245,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,19.0,0.3392011879260941,
Agricultural Bank of China Ltd,Disease control,,,
Agricultural Bank of China Ltd,Fibres and other materials,,,
Agricultural Bank of China Ltd,Filtration,35.0,0.1359738119973677,
Agricultural Bank of China Ltd,Flood and storm protection,45.0,0.11716048586884081,
Agricultural Bank of China Ltd,Genetic materials,,,
Agricultural Bank of China Ltd,Ground water,60.0,0.21737808587921603,
Agricultural Bank of China Ltd,Maintain nursery habitats,,,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,131.0,0.29361408288103363,
Agricultural Bank of China Ltd,Mediation of sensory impacts,20.0,0.3835484342051386,
Agricultural Bank of China Ltd,Pest control,3.0,0.5,
Agricultural Bank of China Ltd,Pollination,,,
Agricultural Bank of China Ltd,Soil quality,2.0,0.29649004900871334,
Agricultural Bank of China Ltd,Surface water,76.0,0.4905582954416755,
Agricultural Bank of China Ltd,Ventilation,12.0,0.6234238176170428,
Agricultural Bank of China Ltd,Water flow maintenance,19.0,0.19313536018324134,
Agricultural Bank of China Ltd,Water quality,36.0,0.15014493981266208,
BNP Paribas SA,Animal-based energy,86.0,5.211839915875137e-05,
BNP Paribas SA,Bio-remediation,27266.0,1.7565053998531275e-11,
BNP Paribas SA,Buffering and attenuation of mass flows,1225.0,2.7804922395224708e-05,
BNP Paribas SA,Climate regulation,25418.0,3.896373781200744e-19,
BNP Paribas SA,Dilution by atmosphere and ecosystems,11953.0,5.0249004437010615e-11,
BNP Paribas SA,Disease control,2207.0,0.9999999988562823,
BNP Paribas SA,Fibres and other materials,4514.0,0.9999992652467525,
BNP Paribas SA,Filtration,36277.0,0.0011904056984860644,
BNP Paribas SA,Flood and storm protection,34645.0,1.933980334472484e-10,
BNP Paribas SA,Genetic materials,3250.0,0.9999976672949111,
BNP Paribas SA,Ground water,64992.0,2.3395734652576027e-11,
BNP Paribas SA,Maintain nursery habitats,10.0,0.9660554225690855,
BNP Paribas SA,Mass stabilisation and erosion control,78553.0,6.549608732868848e-10,
BNP Paribas SA,Mediation of sensory impacts,4523.0,4.541273506902578e-08,
BNP Paribas SA,Pest control,2795.0,0.3250436029559287,
BNP Paribas SA,Pollination,1420.0,0.9884231871270864,
BNP Paribas SA,Soil quality,7159.0,0.28926186902782464,
BNP Paribas SA,Surface water,54443.0,1.219377724742595e-19,
BNP Paribas SA,Ventilation,8316.0,0.13269828104411358,
BNP Paribas SA,Water flow maintenance,25286.0,6.58558177773137e-18,
BNP Paribas SA,Water quality,31413.0,2.9258818866140925e-06,
Banco Santander SA,Animal-based energy,3749.0,8.613407860828214e-12,
Banco Santander SA,Bio-remediation,381812.0,4.0361093348588176e-48,
Banco Santander SA,Buffering and attenuation of mass flows,23294.0,2.723758650510332e-25,
Banco Santander SA,Climate regulation,305702.0,1.0988497145828508e-94,
Banco Santander SA,Dilution by atmosphere and ecosystems,213324.0,1.0597586439103834e-44,
Banco Santander SA,Disease control,40168.0,0.9969340592743372,
Banco Santander SA,Fibres and other materials,74142.0,0.9984372581254335,
Banco Santander SA,Filtration,708867.0,1.7123092235543243e-08,
Banco Santander SA,Flood and storm protection,405405.0,2.403164289701662e-68,
Banco Santander SA,Genetic materials,74389.0,1.0,
Banco Santander SA,Ground water,1154032.0,1.8744976824891516e-38,
Banco Santander SA,Maintain nursery habitats,258.0,0.9998687748484794,
Banco Santander SA,Mass stabilisation and erosion control,865072.0,1.4325055403056642e-64,
Banco Santander SA,Mediation of sensory impacts,66469.0,4.360568824943841e-36,
Banco Santander SA,Pest control,49689.0,3.2976907978288873e-09,
Banco Santander SA,Pollination,28532.0,0.16479648618580744,
Banco Santander SA,Soil quality,105553.0,1.6441623071854314e-13,
Banco Santander SA,Surface water,986912.0,5.129546210991931e-68,
Banco Santander SA,Ventilation,122776.0,2.2498579636238786e-08,
Banco Santander SA,Water flow maintenance,385598.0,8.040327376712657e-78,
Banco Santander SA,Water quality,385229.0,8.657210624587552e-47,
Bank of America Corp,Animal-based energy,6057.0,2.4461897995970252e-08,
Bank of America Corp,Bio-remediation,540004.0,1.6560437861615047e-28,
Bank of America Corp,Buffering and attenuation of mass flows,38609.0,1.0128684690385223e-14,
Bank of America Corp,Climate regulation,471461.0,3.264309932815954e-62,
Bank of America Corp,Dilution by atmosphere and ecosystems,301176.0,1.1118334173599166e-33,
Bank of America Corp,Disease control,56071.0,0.9999999995610308,
Bank of America Corp,Fibres and other materials,98178.0,0.9999999073867796,
Bank of America Corp,Filtration,833975.0,1.748425667593354e-06,
Bank of America Corp,Flood and storm protection,606194.0,1.1403097745321949e-42,
Bank of America Corp,Genetic materials,94610.0,1.0,
Bank of America Corp,Ground water,1413833.0,5.893245068754781e-32,
Bank of America Corp,Maintain nursery habitats,289.0,0.9996676309903338,
Bank of America Corp,Mass stabilisation and erosion control,1147569.0,7.593299533842196e-51,
Bank of America Corp,Mediation of sensory impacts,100742.0,5.806467563648227e-25,
Bank of America Corp,Pest control,79028.0,0.0588521079544098,
Bank of America Corp,Pollination,41722.0,0.9914071660429911,
Bank of America Corp,Soil quality,149413.0,7.999946627280203e-07,
Bank of America Corp,Surface water,1222326.0,6.505875939868669e-60,
Bank of America Corp,Ventilation,173972.0,0.0003698175906959435,
Bank of America Corp,Water flow maintenance,518815.0,1.740328854784359e-64,
Bank of America Corp,Water quality,529068.0,5.853178445016948e-33,
Bank of China Ltd,Animal-based energy,1.0,0.8413447460685429,
Bank of China Ltd,Bio-remediation,572.0,0.14332276978484265,
Bank of China Ltd,Buffering and attenuation of mass flows,6.0,0.6424996726559553,
Bank of China Ltd,Climate regulation,683.0,0.3867825108281605,
Bank of China Ltd,Dilution by atmosphere and ecosystems,252.0,0.2183165080805971,
Bank of China Ltd,Disease control,1.0,0.8413447460685429,
Bank of China Ltd,Fibres and other materials,7.0,0.7673955907739292,
Bank of China Ltd,Filtration,421.0,0.06510824969445646,
Bank of China Ltd,Flood and storm protection,864.0,0.1621060645491153,
Bank of China Ltd,Genetic materials,3.0,0.11245794200798093,
Bank of China Ltd,Ground water,725.0,0.01757769583122081,
Bank of China Ltd,Maintain nursery habitats,,,
Bank of China Ltd,Mass stabilisation and erosion control,2526.0,0.7653300635612562,
Bank of China Ltd,Mediation of sensory impacts,116.0,0.00282489543151662,
Bank of China Ltd,Pest control,10.0,0.458255953931947,
Bank of China Ltd,Pollination,1.0,0.8413447460685429,
Bank of China Ltd,Soil quality,58.0,0.8088239550712423,
Bank of China Ltd,Surface water,783.0,0.04283553458530048,
Bank of China Ltd,Ventilation,126.0,0.1630247313644575,
Bank of China Ltd,Water flow maintenance,227.0,0.0187134495021961,
Bank of China Ltd,Water quality,441.0,0.2642850101322024,
Bank of Communications Co Ltd,Animal-based energy,,,
Bank of Communications Co Ltd,Bio-remediation,47.0,0.026702920743991745,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,,,
Bank of Communications Co Ltd,Climate regulation,51.0,0.002337813294547761,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,28.0,0.03457198694875947,
Bank of Communications Co Ltd,Disease control,,,
Bank of Communications Co Ltd,Fibres and other materials,2.0,0.29649004900871334,
Bank of Communications Co Ltd,Filtration,30.0,0.0014803982694637985,
Bank of Communications Co Ltd,Flood and storm protection,97.0,0.0015428034430812585,
Bank of Communications Co Ltd,Genetic materials,1.0,0.32736042300928847,
Bank of Communications Co Ltd,Ground water,104.0,0.0013865515305376257,
Bank of Communications Co Ltd,Maintain nursery habitats,,,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,506.0,0.551072752515323,
Bank of Communications Co Ltd,Mediation of sensory impacts,10.0,0.006551807055019234,
Bank of Communications Co Ltd,Pest control,5.0,0.2500921285353972,
Bank of Communications Co Ltd,Pollination,,,
Bank of Communications Co Ltd,Soil quality,7.0,0.446369200472174,
Bank of Communications Co Ltd,Surface water,108.0,0.001766882802083499,
Bank of Communications Co Ltd,Ventilation,11.0,0.007953222050851687,
Bank of Communications Co Ltd,Water flow maintenance,25.0,0.004209386797904912,
Bank of Communications Co Ltd,Water quality,31.0,0.0009660702388077951,
Bank of New York Mellon Corp,Animal-based energy,4718.0,4.1095215226264467e-25,
Bank of New York Mellon Corp,Bio-remediation,767198.0,5.297555518246224e-67,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,33667.0,6.101875237644945e-54,
Bank of New York Mellon Corp,Climate regulation,597721.0,2.002017975925742e-137,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,364662.0,2.1400184962357497e-78,
Bank of New York Mellon Corp,Disease control,75018.0,0.9795300410522915,
Bank of New York Mellon Corp,Fibres and other materials,136496.0,0.9295701180684299,
Bank of New York Mellon Corp,Filtration,1372586.0,1.1581277545896062e-14,
Bank of New York Mellon Corp,Flood and storm protection,792629.0,1.2792145091664364e-102,
Bank of New York Mellon Corp,Genetic materials,156536.0,1.0,
Bank of New York Mellon Corp,Ground water,2183461.0,1.6982254139446406e-63,
Bank of New York Mellon Corp,Maintain nursery habitats,497.0,0.9999934027082577,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,1562154.0,2.6303838770411033e-118,
Bank of New York Mellon Corp,Mediation of sensory impacts,137971.0,1.579763028282744e-48,
Bank of New York Mellon Corp,Pest control,90568.0,1.0003251260718651e-19,
Bank of New York Mellon Corp,Pollination,50729.0,0.0016717827386756726,
Bank of New York Mellon Corp,Soil quality,180854.0,1.1281641959703687e-33,
Bank of New York Mellon Corp,Surface water,1720078.0,4.738804511106223e-130,
Bank of New York Mellon Corp,Ventilation,253899.0,1.1752855369893191e-08,
Bank of New York Mellon Corp,Water flow maintenance,736273.0,6.790922003329848e-118,
Bank of New York Mellon Corp,Water quality,758477.0,4.384764663799516e-66,
Barclays PLC,Animal-based energy,4178.0,0.0018777427130152132,
Barclays PLC,Bio-remediation,280240.0,7.81160763956234e-23,
Barclays PLC,Buffering and attenuation of mass flows,23667.0,3.998067058362649e-06,
Barclays PLC,Climate regulation,268809.0,2.6439538389937906e-42,
Barclays PLC,Dilution by atmosphere and ecosystems,178619.0,6.2158343321917655e-15,
Barclays PLC,Disease control,33661.0,0.9999999999999966,
Barclays PLC,Fibres and other materials,59161.0,0.999999999996854,
Barclays PLC,Filtration,441655.0,0.0008660751666937574,
Barclays PLC,Flood and storm protection,339015.0,4.513120214984386e-26,
Barclays PLC,Genetic materials,45239.0,1.0,
Barclays PLC,Ground water,749031.0,1.8376897746072967e-20,
