Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,,,
Agricultural Bank of China Ltd,Bio-remediation,0.0,0.0011088607321185246,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,0.0,0.15865525393145707,
Agricultural Bank of China Ltd,Climate regulation,6.0,0.025306216119592342,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,0.0,0.021557223391537678,
Agricultural Bank of China Ltd,Disease control,,,
Agricultural Bank of China Ltd,Fibres and other materials,,,
Agricultural Bank of China Ltd,Filtration,0.0,0.0038428970276066315,
Agricultural Bank of China Ltd,Flood and storm protection,13.0,0.03768411934473624,
Agricultural Bank of China Ltd,Genetic materials,,,
Agricultural Bank of China Ltd,Ground water,22.0,0.0502625864044919,
Agricultural Bank of China Ltd,Maintain nursery habitats,,,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,62.0,0.05421337224600272,
Agricultural Bank of China Ltd,Mediation of sensory impacts,0.0,0.021557223391537678,
Agricultural Bank of China Ltd,Pest control,0.0,0.15865525393145707,
Agricultural Bank of China Ltd,Pollination,,,
Agricultural Bank of China Ltd,Soil quality,0.0,0.15865525393145707,
Agricultural Bank of China Ltd,Surface water,34.0,0.2107894476088225,
Agricultural Bank of China Ltd,Ventilation,0.0,0.054404715020272845,
Agricultural Bank of China Ltd,Water flow maintenance,0.0,0.013853924679039932,
Agricultural Bank of China Ltd,Water quality,8.0,0.08071473118354167,
BNP Paribas SA,Animal-based energy,0.0,5.870972699499267e-07,
BNP Paribas SA,Bio-remediation,9301.0,5.48301871415298e-26,
BNP Paribas SA,Buffering and attenuation of mass flows,200.0,3.0682405706736368e-12,
BNP Paribas SA,Climate regulation,16713.0,9.42476790848994e-25,
BNP Paribas SA,Dilution by atmosphere and ecosystems,3935.0,5.330987836760647e-22,
BNP Paribas SA,Disease control,1588.0,0.9999996371540831,
BNP Paribas SA,Fibres and other materials,2042.0,0.874136089090075,
BNP Paribas SA,Filtration,23596.0,6.578411313652571e-08,
BNP Paribas SA,Flood and storm protection,19940.0,6.132098776179514e-18,
BNP Paribas SA,Genetic materials,2016.0,0.9999999999974158,
BNP Paribas SA,Ground water,41604.0,1.557861873494108e-19,
BNP Paribas SA,Maintain nursery habitats,10.0,0.9660554225690855,
BNP Paribas SA,Mass stabilisation and erosion control,51229.0,9.551708461829773e-20,
BNP Paribas SA,Mediation of sensory impacts,1538.0,5.027860888062856e-15,
BNP Paribas SA,Pest control,1169.0,0.0012611351315996281,
BNP Paribas SA,Pollination,937.0,0.5643294593805959,
BNP Paribas SA,Soil quality,2591.0,3.563113169091923e-06,
BNP Paribas SA,Surface water,31252.0,3.2475303177350896e-31,
BNP Paribas SA,Ventilation,3538.0,3.358824111501796e-05,
BNP Paribas SA,Water flow maintenance,13002.0,1.0599355485631442e-28,
BNP Paribas SA,Water quality,10272.0,4.1607276494569e-21,
Banco Santander SA,Animal-based energy,1684.0,1.6301326457709274e-16,
Banco Santander SA,Bio-remediation,157979.0,4.4691301805049846e-95,
Banco Santander SA,Buffering and attenuation of mass flows,16477.0,4.7202918006393014e-33,
Banco Santander SA,Climate regulation,226347.0,5.703899319915925e-103,
Banco Santander SA,Dilution by atmosphere and ecosystems,102102.0,1.449298460182263e-76,
Banco Santander SA,Disease control,23236.0,0.04070009733512537,
Banco Santander SA,Fibres and other materials,36463.0,0.004822917897317982,
Banco Santander SA,Filtration,545032.0,1.5814089407287252e-15,
Banco Santander SA,Flood and storm protection,284280.0,2.06544957265376e-86,
Banco Santander SA,Genetic materials,53628.0,1.0,
Banco Santander SA,Ground water,839069.0,8.449594931732184e-59,
Banco Santander SA,Maintain nursery habitats,276.0,0.9999864920257564,
Banco Santander SA,Mass stabilisation and erosion control,642242.0,1.3785503223731633e-86,
Banco Santander SA,Mediation of sensory impacts,32070.0,6.213639215351245e-56,
Banco Santander SA,Pest control,32424.0,7.412155695749216e-14,
Banco Santander SA,Pollination,21244.0,0.0017025914754439449,
Banco Santander SA,Soil quality,60006.0,4.0635703784849395e-30,
Banco Santander SA,Surface water,690532.0,9.997473894939297e-96,
Banco Santander SA,Ventilation,67862.0,5.030072863837088e-22,
Banco Santander SA,Water flow maintenance,235427.0,2.1447562783442112e-110,
Banco Santander SA,Water quality,211197.0,3.623477223960475e-77,
Bank of America Corp,Animal-based energy,2206.0,6.596977954265621e-18,
Bank of America Corp,Bio-remediation,207618.0,7.7677211844599045e-90,
Bank of America Corp,Buffering and attenuation of mass flows,25931.0,3.0067654680452786e-25,
Bank of America Corp,Climate regulation,311215.0,6.44080026796682e-90,
Bank of America Corp,Dilution by atmosphere and ecosystems,148560.0,3.517643651397906e-68,
Bank of America Corp,Disease control,32913.0,0.7212930911683848,
Bank of America Corp,Fibres and other materials,47472.0,0.06798050563529416,
Bank of America Corp,Filtration,583886.0,1.2443732664884414e-22,
Bank of America Corp,Flood and storm protection,385495.0,1.2597829669918645e-76,
Bank of America Corp,Genetic materials,57291.0,1.0,
Bank of America Corp,Ground water,928707.0,1.224681484812964e-69,
Bank of America Corp,Maintain nursery habitats,325.0,0.9999938548388949,
Bank of America Corp,Mass stabilisation and erosion control,780621.0,3.3062591379358595e-89,
Bank of America Corp,Mediation of sensory impacts,48747.0,4.014972338294297e-49,
Bank of America Corp,Pest control,51232.0,3.352513926945486e-05,
Bank of America Corp,Pollination,31437.0,0.43135781270262913,
Bank of America Corp,Soil quality,85559.0,1.1879329634326074e-21,
Bank of America Corp,Surface water,775469.0,1.855374935719732e-105,
Bank of America Corp,Ventilation,89390.0,7.287230983830718e-21,
Bank of America Corp,Water flow maintenance,294002.0,6.035248284102491e-111,
Bank of America Corp,Water quality,258025.0,5.614517614961418e-80,
Bank of China Ltd,Animal-based energy,1.0,0.8413447460685429,
Bank of China Ltd,Bio-remediation,108.0,0.003039251464457209,
Bank of China Ltd,Buffering and attenuation of mass flows,1.0,0.32736042300928847,
Bank of China Ltd,Climate regulation,410.0,0.16060696579730266,
Bank of China Ltd,Dilution by atmosphere and ecosystems,59.0,0.014210294784638032,
Bank of China Ltd,Disease control,1.0,0.8413447460685429,
Bank of China Ltd,Fibres and other materials,2.0,0.6726395769907115,
Bank of China Ltd,Filtration,143.0,0.004128067639349397,
Bank of China Ltd,Flood and storm protection,420.0,0.04243525932477784,
Bank of China Ltd,Genetic materials,,,
Bank of China Ltd,Ground water,257.0,0.0016389057784852328,
Bank of China Ltd,Maintain nursery habitats,,,
Bank of China Ltd,Mass stabilisation and erosion control,1737.0,0.6406450448683867,
Bank of China Ltd,Mediation of sensory impacts,8.0,5.9742702050521746e-05,
Bank of China Ltd,Pest control,1.0,0.32736042300928847,
Bank of China Ltd,Pollination,1.0,0.8413447460685429,
Bank of China Ltd,Soil quality,14.0,0.768464492492706,
Bank of China Ltd,Surface water,233.0,0.0011156214507839577,
Bank of China Ltd,Ventilation,14.0,0.007826775418727502,
Bank of China Ltd,Water flow maintenance,65.0,0.0014454826439653967,
Bank of China Ltd,Water quality,77.0,0.01070879588536288,
Bank of Communications Co Ltd,Animal-based energy,,,
Bank of Communications Co Ltd,Bio-remediation,0.0,0.0016728090579254406,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,,,
Bank of Communications Co Ltd,Climate regulation,43.0,0.00586891501548772,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,2.0,0.004672056501102442,
Bank of Communications Co Ltd,Disease control,,,
Bank of Communications Co Ltd,Fibres and other materials,0.0,0.08985624743949988,
Bank of Communications Co Ltd,Filtration,25.0,0.004209386797904912,
Bank of Communications Co Ltd,Flood and storm protection,73.0,0.002660745830498038,
Bank of Communications Co Ltd,Genetic materials,1.0,0.8413447460685429,
Bank of Communications Co Ltd,Ground water,32.0,0.00037389713715228285,
Bank of Communications Co Ltd,Maintain nursery habitats,,,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,349.0,0.37759666976282513,
Bank of Communications Co Ltd,Mediation of sensory impacts,7.0,0.018328964336107256,
Bank of Communications Co Ltd,Pest control,0.0,0.15865525393145707,
Bank of Communications Co Ltd,Pollination,,,
Bank of Communications Co Ltd,Soil quality,1.0,0.8413447460685429,
Bank of Communications Co Ltd,Surface water,25.0,0.0002942175732942246,
Bank of Communications Co Ltd,Ventilation,7.0,0.0331580156494654,
Bank of Communications Co Ltd,Water flow maintenance,16.0,0.010971832329688992,
Bank of Communications Co Ltd,Water quality,4.0,0.00046754555965774456,
Bank of New York Mellon Corp,Animal-based energy,1483.0,8.049450278322722e-32,
Bank of New York Mellon Corp,Bio-remediation,307021.0,1.4630753251506962e-137,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,20163.0,2.1160183730855683e-67,
Bank of New York Mellon Corp,Climate regulation,427586.0,3.341765558301385e-154,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,163547.0,4.5916829900179944e-125,
Bank of New York Mellon Corp,Disease control,44551.0,0.0045534501797940274,
Bank of New York Mellon Corp,Fibres and other materials,71586.0,0.0004408821214351475,
Bank of New York Mellon Corp,Filtration,1017528.0,1.0873321431483426e-29,
Bank of New York Mellon Corp,Flood and storm protection,548934.0,1.231391423805445e-128,
Bank of New York Mellon Corp,Genetic materials,124750.0,1.0,
Bank of New York Mellon Corp,Ground water,1515744.0,1.376349621693624e-102,
Bank of New York Mellon Corp,Maintain nursery habitats,528.0,0.9999996023557929,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,1177026.0,3.0900144216543575e-142,
Bank of New York Mellon Corp,Mediation of sensory impacts,60781.0,7.152784637323267e-82,
Bank of New York Mellon Corp,Pest control,59690.0,1.4235257440575866e-24,
Bank of New York Mellon Corp,Pollination,38487.0,9.264972452706344e-07,
Bank of New York Mellon Corp,Soil quality,113613.0,6.863889879547586e-47,
Bank of New York Mellon Corp,Surface water,1152601.0,5.29775622199322e-175,
Bank of New York Mellon Corp,Ventilation,137899.0,1.0170782937812233e-26,
Bank of New York Mellon Corp,Water flow maintenance,419760.0,5.276908362450451e-172,
Bank of New York Mellon Corp,Water quality,412351.0,3.174986927955868e-108,
Barclays PLC,Animal-based energy,2512.0,1.5892201831315945e-05,
Barclays PLC,Bio-remediation,131420.0,3.5018879289002133e-53,
Barclays PLC,Buffering and attenuation of mass flows,17872.0,6.808911384653037e-10,
Barclays PLC,Climate regulation,201690.0,4.925707037368841e-51,
Barclays PLC,Dilution by atmosphere and ecosystems,105662.0,1.6003061666517262e-29,
Barclays PLC,Disease control,22900.0,0.9999997494969952,
Barclays PLC,Fibres and other materials,31379.0,0.9789509731831962,
Barclays PLC,Filtration,321950.0,2.5296769851684622e-11,
Barclays PLC,Flood and storm protection,236266.0,5.29878796760361e-41,
Barclays PLC,Genetic materials,22888.0,1.0,
Barclays PLC,Ground water,529488.0,2.449268996283263e-39,
Barclays PLC,Maintain nursery habitats,155.0,0.9987640072784963,
Barclays PLC,Mass stabilisation and erosion control,419770.0,2.6087130503469746e-67,
Barclays PLC,Mediation of sensory impacts,31276.0,2.401265598011789e-27,
Barclays PLC,Pest control,34867.0,0.9031123384459444,
Barclays PLC,Pollination,22421.0,0.9999981627395105,
Barclays PLC,Soil quality,57762.0,2.8984390902057294e-05,
Barclays PLC,Surface water,469719.0,1.1726255662981898e-55,
Barclays PLC,Ventilation,58042.0,1.57620057766665e-07,
Barclays PLC,Water flow maintenance,201518.0,5.4887638291276235e-61,
Barclays PLC,Water quality,156416.0,5.674068813748981e-46,
China Construction Bank Corp,Animal-based energy,0.0,0.15865525393145707,
China Construction Bank Corp,Bio-remediation,71.0,0.0007679884483111963,
China Construction Bank Corp,Buffering and attenuation of mass flows,0.0,0.08985624743949988,
China Construction Bank Corp,Climate regulation,86.0,1.1061078960413933e-05,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,94.0,0.09040618338927148,
China Construction Bank Corp,Disease control,1.0,0.32736042300928847,
China Construction Bank Corp,Fibres and other materials,3.0,0.5,
China Construction Bank Corp,Filtration,113.0,0.02021013563437188,
China Construction Bank Corp,Flood and storm protection,115.0,0.001552607385645046,
China Construction Bank Corp,Genetic materials,,,
China Construction Bank Corp,Ground water,255.0,2.283986894583252e-05,
China Construction Bank Corp,Maintain nursery habitats,,,
China Construction Bank Corp,Mass stabilisation and erosion control,929.0,0.17418303507349242,
China Construction Bank Corp,Mediation of sensory impacts,30.0,0.000865338089908082,
China Construction Bank Corp,Pest control,1.0,0.14252470370130638,
China Construction Bank Corp,Pollination,1.0,0.32736042300928847,
China Construction Bank Corp,Soil quality,5.0,0.5,
China Construction Bank Corp,Surface water,345.0,0.0005191287291939342,
China Construction Bank Corp,Ventilation,12.0,0.0011316679364290377,
China Construction Bank Corp,Water flow maintenance,121.0,0.00014826208240149256,
China Construction Bank Corp,Water quality,64.0,0.004020649600005291,
Citigroup Inc,Animal-based energy,387.0,5.889411693630517e-08,
Citigroup Inc,Bio-remediation,34969.0,2.7309433208007866e-69,
Citigroup Inc,Buffering and attenuation of mass flows,3408.0,7.313648057868675e-16,
Citigroup Inc,Climate regulation,91603.0,6.066016642390574e-53,
Citigroup Inc,Dilution by atmosphere and ecosystems,30834.0,5.4025177374213806e-42,
Citigroup Inc,Disease control,5304.0,0.3445478307802404,
Citigroup Inc,Fibres and other materials,8208.0,0.005239589907612749,
Citigroup Inc,Filtration,119404.0,3.928988844086124e-21,
Citigroup Inc,Flood and storm protection,97678.0,6.9793338042054134e-43,
Citigroup Inc,Genetic materials,10296.0,1.0,
Citigroup Inc,Ground water,233945.0,1.1015367907481957e-40,
Citigroup Inc,Maintain nursery habitats,53.0,0.9953279434988975,
Citigroup Inc,Mass stabilisation and erosion control,249050.0,2.873584921199676e-37,
Citigroup Inc,Mediation of sensory impacts,10606.0,3.532745315110117e-33,
Citigroup Inc,Pest control,7800.0,2.2259126684186363e-05,
Citigroup Inc,Pollination,4005.0,0.0019463989673373654,
Citigroup Inc,Soil quality,10369.0,1.0540713636356316e-18,
Citigroup Inc,Surface water,191943.0,1.9560681013144586e-59,
Citigroup Inc,Ventilation,18867.0,1.8146781330554365e-17,
Citigroup Inc,Water flow maintenance,64524.0,1.897322470125972e-74,
Citigroup Inc,Water quality,55353.0,2.4300302150465517e-50,
Credite Agricole SA,Animal-based energy,152.0,0.0004480127104402745,
Credite Agricole SA,Bio-remediation,16769.0,2.534610396931532e-35,
Credite Agricole SA,Buffering and attenuation of mass flows,1087.0,2.9767666714972955e-08,
Credite Agricole SA,Climate regulation,37388.0,3.5274579409655506e-26,
Credite Agricole SA,Dilution by atmosphere and ecosystems,9770.0,1.4885874555097648e-24,
Credite Agricole SA,Disease control,1831.0,0.9528388491332243,
Credite Agricole SA,Fibres and other materials,2642.0,0.11043178300356776,
Credite Agricole SA,Filtration,46753.0,3.247390470442537e-08,
Credite Agricole SA,Flood and storm protection,38003.0,2.3201466622242455e-21,
Credite Agricole SA,Genetic materials,3403.0,0.9999999999999981,
Credite Agricole SA,Ground water,90139.0,6.588445924970399e-21,
Credite Agricole SA,Maintain nursery habitats,15.0,0.9784427766084624,
Credite Agricole SA,Mass stabilisation and erosion control,103770.0,9.358868616434973e-22,
Credite Agricole SA,Mediation of sensory impacts,3440.0,5.421081755423161e-21,
Credite Agricole SA,Pest control,1627.0,5.718437169058135e-07,
Credite Agricole SA,Pollination,849.0,0.00046142701286926776,
Credite Agricole SA,Soil quality,2851.0,1.7829005990891513e-10,
Credite Agricole SA,Surface water,74926.0,9.714770533259236e-31,
Credite Agricole SA,Ventilation,7411.0,3.9822182270004157e-07,
Credite Agricole SA,Water flow maintenance,23223.0,6.150637528823781e-40,
Credite Agricole SA,Water quality,20017.0,3.4802420578570607e-25,
Deutsche Bank AG,Animal-based energy,1536.0,1.4901368149008783e-31,
Deutsche Bank AG,Bio-remediation,245436.0,3.742983462362386e-188,
Deutsche Bank AG,Buffering and attenuation of mass flows,24372.0,1.1100671353645123e-64,
Deutsche Bank AG,Climate regulation,417636.0,9.116943007717016e-190,
Deutsche Bank AG,Dilution by atmosphere and ecosystems,155383.0,5.346771512863958e-142,
Deutsche Bank AG,Disease control,36483.0,7.0952587748543105e-09,
Deutsche Bank AG,Fibres and other materials,59552.0,4.239519703503681e-12,
Deutsche Bank AG,Filtration,1036508.0,2.1925438983839686e-46,
Deutsche Bank AG,Flood and storm protection,493739.0,2.0361250425232465e-173,
Deutsche Bank AG,Genetic materials,135981.0,1.0,
Deutsche Bank AG,Ground water,1538392.0,1.590466011790369e-137,
Deutsche Bank AG,Maintain nursery habitats,528.0,0.9999996023557929,
Deutsche Bank AG,Mass stabilisation and erosion control,1133168.0,2.343911315795026e-193,
Deutsche Bank AG,Mediation of sensory impacts,51820.0,5.858899446024451e-106,
Deutsche Bank AG,Pest control,56098.0,1.8049506947814787e-32,
Deutsche Bank AG,Pollination,29482.0,1.954799056952872e-16,
Deutsche Bank AG,Soil quality,91144.0,3.1125197027164945e-68,
Deutsche Bank AG,Surface water,1216304.0,1.4681545778285127e-202,
Deutsche Bank AG,Ventilation,123343.0,2.2186868997265585e-44,
Deutsche Bank AG,Water flow maintenance,380799.0,1.4760677706544264e-213,
Deutsche Bank AG,Water quality,349010.0,1.0158485692572065e-153,
Goldman Sachs Group Inc,Animal-based energy,2591.0,2.884618431327644e-26,
Goldman Sachs Group Inc,Bio-remediation,324935.0,1.7701845594697918e-128,
Goldman Sachs Group Inc,Buffering and attenuation of mass flows,29612.0,2.136986044847006e-51,
Goldman Sachs Group Inc,Climate regulation,439893.0,1.5827828005097672e-144,
Goldman Sachs Group Inc,Dilution by atmosphere and ecosystems,186189.0,2.61311800276822e-109,
Goldman Sachs Group Inc,Disease control,63659.0,0.9999943760521127,
Goldman Sachs Group Inc,Fibres and other materials,85165.0,0.56179087513956,
Goldman Sachs Group Inc,Filtration,955569.0,1.256662656723472e-34,
Goldman Sachs Group Inc,Flood and storm protection,561910.0,1.5255562902957924e-120,
Goldman Sachs Group Inc,Genetic materials,123753.0,1.0,
Goldman Sachs Group Inc,Ground water,1433602.0,5.839871446188799e-106,
Goldman Sachs Group Inc,Maintain nursery habitats,528.0,0.9999996023557929,
Goldman Sachs Group Inc,Mass stabilisation and erosion control,1173529.0,5.367422944241793e-137,
Goldman Sachs Group Inc,Mediation of sensory impacts,67700.0,1.7850367525936467e-70,
Goldman Sachs Group Inc,Pest control,69901.0,3.2415503412847558e-15,
Goldman Sachs Group Inc,Pollination,48978.0,0.190972464909743,
Goldman Sachs Group Inc,Soil quality,129928.0,3.871396042351531e-35,
Goldman Sachs Group Inc,Surface water,1075147.0,1.3958858586140182e-180,
Goldman Sachs Group Inc,Ventilation,154570.0,5.265956623711679e-17,
Goldman Sachs Group Inc,Water flow maintenance,453172.0,2.608914335993763e-154,
Goldman Sachs Group Inc,Water quality,402031.0,4.7400321181231866e-110,
Groupe BPCE,Animal-based energy,0.0,8.401478936385735e-08,
Groupe BPCE,Bio-remediation,10367.0,2.97282500493488e-51,
