Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,43844.0,3.2585833119885623e-26,
Agricultural Bank of China Ltd,Bio-remediation,3359546.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,276202.0,1.2604163718704807e-93,
Agricultural Bank of China Ltd,Climate regulation,3645450.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,1888981.0,5.674789776241382e-292,
Agricultural Bank of China Ltd,Disease control,165752.0,1.171531107753367e-67,
Agricultural Bank of China Ltd,Fibres and other materials,313062.0,2.1910954536438424e-100,
Agricultural Bank of China Ltd,Filtration,4215812.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,3978473.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,230748.0,2.6934882523289797e-86,
Agricultural Bank of China Ltd,Ground water,8121691.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,1157.0,0.6186498752466789,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,7338788.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,735362.0,2.013061438386691e-172,
Agricultural Bank of China Ltd,Pest control,372072.0,5.619346609259525e-114,
Agricultural Bank of China Ltd,Pollination,146028.0,7.508012294757362e-62,
Agricultural Bank of China Ltd,Soil quality,777680.0,2.2530767610349018e-175,
Agricultural Bank of China Ltd,Surface water,8117731.0,0.0,
Agricultural Bank of China Ltd,Ventilation,801521.0,2.0424382223795555e-179,
Agricultural Bank of China Ltd,Water flow maintenance,3906772.0,0.0,
Agricultural Bank of China Ltd,Water quality,3274923.0,0.0,
BNP Paribas SA,Animal-based energy,185363.0,1.0,
BNP Paribas SA,Bio-remediation,3598676.0,2.8230014240127746e-177,
BNP Paribas SA,Buffering and attenuation of mass flows,525864.0,0.708467234534974,
BNP Paribas SA,Climate regulation,3805776.0,9.18144478480851e-182,
BNP Paribas SA,Dilution by atmosphere and ecosystems,2267943.0,3.470214016637067e-97,
BNP Paribas SA,Disease control,402130.0,0.9926575019282398,
BNP Paribas SA,Fibres and other materials,583997.0,0.08836187874215129,
BNP Paribas SA,Filtration,4508069.0,6.069778458262238e-226,
BNP Paribas SA,Flood and storm protection,4211119.0,7.196571459701596e-223,
BNP Paribas SA,Genetic materials,462557.0,0.9597862795528196,
BNP Paribas SA,Ground water,8097899.0,0.0,
BNP Paribas SA,Maintain nursery habitats,24771.0,1.0,
BNP Paribas SA,Mass stabilisation and erosion control,7142593.0,0.0,
BNP Paribas SA,Mediation of sensory impacts,1032542.0,8.033290266622168e-15,
BNP Paribas SA,Pest control,643745.0,0.06553654712598496,
BNP Paribas SA,Pollination,362866.0,0.9999613611234511,
BNP Paribas SA,Soil quality,1105494.0,2.0511947004209614e-19,
BNP Paribas SA,Surface water,8096509.0,0.0,
BNP Paribas SA,Ventilation,1115297.0,1.6960462341079366e-20,
BNP Paribas SA,Water flow maintenance,4153385.0,4.0163526051489315e-215,
BNP Paribas SA,Water quality,3582251.0,1.6904572618836484e-191,
Banco Santander SA,Animal-based energy,718005.0,1.0,
Banco Santander SA,Bio-remediation,4892814.0,6.857075780543748e-08,
Banco Santander SA,Buffering and attenuation of mass flows,1529039.0,1.0,
Banco Santander SA,Climate regulation,4831273.0,0.005802971053914053,
Banco Santander SA,Dilution by atmosphere and ecosystems,3806269.0,0.776086001857611,
Banco Santander SA,Disease control,1291564.0,1.0,
Banco Santander SA,Fibres and other materials,1692234.0,1.0,
Banco Santander SA,Filtration,5629340.0,1.1592063561316247e-27,
Banco Santander SA,Flood and storm protection,5373829.0,4.109762370985737e-18,
Banco Santander SA,Genetic materials,1240887.0,1.0,
Banco Santander SA,Ground water,8085897.0,3.205508367984176e-132,
Banco Santander SA,Maintain nursery habitats,98030.0,1.0,
Banco Santander SA,Mass stabilisation and erosion control,7294668.0,2.259069606224485e-71,
Banco Santander SA,Mediation of sensory impacts,2274192.0,1.0,
Banco Santander SA,Pest control,1748537.0,1.0,
Banco Santander SA,Pollination,1170197.0,1.0,
Banco Santander SA,Soil quality,2424651.0,1.0,
Banco Santander SA,Surface water,8046321.0,7.258220369941477e-128,
Banco Santander SA,Ventilation,2432852.0,1.0,
Banco Santander SA,Water flow maintenance,5406166.0,8.371637151221027e-22,
Banco Santander SA,Water quality,5042689.0,1.0600329255786406e-16,
Bank of America Corp,Animal-based energy,859498.0,1.0,
Bank of America Corp,Bio-remediation,5721731.0,7.790522157437765e-35,
Bank of America Corp,Buffering and attenuation of mass flows,1877240.0,1.0,
Bank of America Corp,Climate regulation,5559531.0,3.3643656210344016e-17,
Bank of America Corp,Dilution by atmosphere and ecosystems,4535630.0,1.923090569104703e-09,
Bank of America Corp,Disease control,1560257.0,1.0,
Bank of America Corp,Fibres and other materials,2050603.0,1.0,
Bank of America Corp,Filtration,6598893.0,3.0957450519440327e-75,
Bank of America Corp,Flood and storm protection,6138185.0,2.138931025443106e-54,
Bank of America Corp,Genetic materials,1504310.0,1.0,
Bank of America Corp,Ground water,9072629.0,1.2682070459013425e-239,
Bank of America Corp,Maintain nursery habitats,147265.0,1.0,
Bank of America Corp,Mass stabilisation and erosion control,7952955.0,1.4408670805080426e-129,
Bank of America Corp,Mediation of sensory impacts,2819541.0,1.0,
Bank of America Corp,Pest control,2152600.0,1.0,
Bank of America Corp,Pollination,1417545.0,1.0,
Bank of America Corp,Soil quality,2952816.0,1.0,
