Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,43875.0,2.6781352612597876e-26,
Agricultural Bank of China Ltd,Bio-remediation,3374294.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,275156.0,4.963401684202861e-93,
Agricultural Bank of China Ltd,Climate regulation,3662134.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,1895592.0,1.3678510051547002e-285,
Agricultural Bank of China Ltd,Disease control,165747.0,1.1955237251333625e-67,
Agricultural Bank of China Ltd,Fibres and other materials,313276.0,1.1205414516311984e-100,
Agricultural Bank of China Ltd,Filtration,4226463.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,4003006.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,230187.0,2.067503185919051e-85,
Agricultural Bank of China Ltd,Ground water,8152590.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,1152.0,0.6299917595835377,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,7370591.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,739650.0,1.5514047543651233e-167,
Agricultural Bank of China Ltd,Pest control,371613.0,1.6465077347985836e-111,
Agricultural Bank of China Ltd,Pollination,146092.0,5.724865004660725e-62,
Agricultural Bank of China Ltd,Soil quality,775918.0,9.668039459228404e-173,
Agricultural Bank of China Ltd,Surface water,8152539.0,0.0,
Agricultural Bank of China Ltd,Ventilation,805631.0,3.4998129008182425e-176,
Agricultural Bank of China Ltd,Water flow maintenance,3915790.0,0.0,
Agricultural Bank of China Ltd,Water quality,3278841.0,0.0,
BNP Paribas SA,Animal-based energy,189450.0,1.0,
BNP Paribas SA,Bio-remediation,3804398.0,1.5499365919560218e-96,
BNP Paribas SA,Buffering and attenuation of mass flows,557110.0,0.9458670689527515,
BNP Paribas SA,Climate regulation,4047800.0,3.152008741601907e-94,
BNP Paribas SA,Dilution by atmosphere and ecosystems,2408165.0,2.0675486434817915e-52,
BNP Paribas SA,Disease control,413942.0,0.9999270428354274,
BNP Paribas SA,Fibres and other materials,613575.0,0.6503899349504587,
BNP Paribas SA,Filtration,4782834.0,3.1908587274997635e-128,
BNP Paribas SA,Flood and storm protection,4449706.0,1.006310869697867e-115,
BNP Paribas SA,Genetic materials,487798.0,0.9992096086843032,
BNP Paribas SA,Ground water,8678871.0,7.644989223482832e-251,
BNP Paribas SA,Maintain nursery habitats,24878.0,1.0,
BNP Paribas SA,Mass stabilisation and erosion control,7591589.0,4.51315518100753e-223,
BNP Paribas SA,Mediation of sensory impacts,1078997.0,7.719339244530355e-05,
BNP Paribas SA,Pest control,673115.0,0.6272818465358785,
BNP Paribas SA,Pollination,373423.0,0.9999998652207022,
BNP Paribas SA,Soil quality,1178816.0,2.7025137444026766e-10,
BNP Paribas SA,Surface water,8671819.0,9.885799283248768e-250,
BNP Paribas SA,Ventilation,1168671.0,2.1680800020279704e-07,
BNP Paribas SA,Water flow maintenance,4449347.0,3.2025617885701955e-117,
BNP Paribas SA,Water quality,3829223.0,1.316655848597146e-102,
Banco Santander SA,Animal-based energy,744906.0,1.0,
Banco Santander SA,Bio-remediation,5407714.0,0.9979150090185778,
Banco Santander SA,Buffering and attenuation of mass flows,1598087.0,1.0,
Banco Santander SA,Climate regulation,5293428.0,0.9999996577181965,
Banco Santander SA,Dilution by atmosphere and ecosystems,4153904.0,0.9999999999996751,
Banco Santander SA,Disease control,1352913.0,1.0,
Banco Santander SA,Fibres and other materials,1771907.0,1.0,
