Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,34025.0,1.1060351734955053e-21,
Agricultural Bank of China Ltd,Bio-remediation,2318522.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,248682.0,1.6726669515994728e-88,
Agricultural Bank of China Ltd,Climate regulation,3069913.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,1386250.0,5.840406542645865e-243,
Agricultural Bank of China Ltd,Disease control,127630.0,4.6445999138375415e-57,
Agricultural Bank of China Ltd,Fibres and other materials,209066.0,1.107625038995344e-78,
Agricultural Bank of China Ltd,Filtration,3534772.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,3314633.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,176309.0,2.791317420467589e-72,
Agricultural Bank of China Ltd,Ground water,6721132.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,1154.0,0.6254679352577697,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,6257177.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,560417.0,1.6410427928771119e-146,
Agricultural Bank of China Ltd,Pest control,277403.0,1.9189863496482425e-94,
Agricultural Bank of China Ltd,Pollination,127467.0,9.631112480423572e-57,
Agricultural Bank of China Ltd,Soil quality,594819.0,1.0363188114163339e-149,
Agricultural Bank of China Ltd,Surface water,6710092.0,0.0,
Agricultural Bank of China Ltd,Ventilation,576020.0,1.5079827919469788e-146,
Agricultural Bank of China Ltd,Water flow maintenance,3203742.0,0.0,
Agricultural Bank of China Ltd,Water quality,2416813.0,0.0,
BNP Paribas SA,Animal-based energy,162464.0,1.0,
BNP Paribas SA,Bio-remediation,2603810.0,5.157212304980405e-106,
BNP Paribas SA,Buffering and attenuation of mass flows,511638.0,0.6408751352157124,
BNP Paribas SA,Climate regulation,3247995.0,5.4535242222012115e-140,
BNP Paribas SA,Dilution by atmosphere and ecosystems,1758595.0,4.376655654870759e-59,
BNP Paribas SA,Disease control,343076.0,0.9999796058472944,
BNP Paribas SA,Fibres and other materials,459334.0,0.8348828210221286,
BNP Paribas SA,Filtration,3847007.0,1.2190767826458125e-178,
BNP Paribas SA,Flood and storm protection,3564181.0,2.4433370453342424e-167,
BNP Paribas SA,Genetic materials,375565.0,0.9999955666513919,
BNP Paribas SA,Ground water,6773924.0,0.0,
BNP Paribas SA,Maintain nursery habitats,24741.0,1.0,
BNP Paribas SA,Mass stabilisation and erosion control,6135452.0,0.0,
BNP Paribas SA,Mediation of sensory impacts,819526.0,0.00013959974721550753,
BNP Paribas SA,Pest control,542348.0,0.5110544846096737,
BNP Paribas SA,Pollination,337297.0,0.9999973350656867,
BNP Paribas SA,Soil quality,956979.0,2.5966178958602684e-16,
BNP Paribas SA,Surface water,6760868.0,0.0,
BNP Paribas SA,Ventilation,847267.0,7.268088196521851e-06,
BNP Paribas SA,Water flow maintenance,3466350.0,4.376754266103396e-162,
BNP Paribas SA,Water quality,2768256.0,4.8699365621158915e-123,
Banco Santander SA,Animal-based energy,636520.0,1.0,
Banco Santander SA,Bio-remediation,3962552.0,0.9835613954345973,
Banco Santander SA,Buffering and attenuation of mass flows,1505243.0,1.0,
Banco Santander SA,Climate regulation,4292914.0,0.9726113662596799,
Banco Santander SA,Dilution by atmosphere and ecosystems,3226281.0,0.9999999997986274,
Banco Santander SA,Disease control,1144003.0,1.0,
Banco Santander SA,Fibres and other materials,1439532.0,1.0,
Banco Santander SA,Filtration,5080834.0,1.3350049652187229e-12,
Banco Santander SA,Flood and storm protection,4675451.0,0.001916730852406506,
Banco Santander SA,Genetic materials,1151911.0,1.0,
Banco Santander SA,Ground water,7023496.0,8.224590793806754e-71,
Banco Santander SA,Maintain nursery habitats,98881.0,1.0,
Banco Santander SA,Mass stabilisation and erosion control,6370319.0,4.132901037589488e-31,
Banco Santander SA,Mediation of sensory impacts,1963961.0,1.0,
Banco Santander SA,Pest control,1571268.0,1.0,
Banco Santander SA,Pollination,1105018.0,1.0,
Banco Santander SA,Soil quality,2240541.0,1.0,
Banco Santander SA,Surface water,6916351.0,3.636062645855491e-63,
Banco Santander SA,Ventilation,2037275.0,1.0,
