Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,12982463.0,0.0,
Agricultural Bank of China Ltd,Bio-remediation,12979940.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,12981704.0,0.0,
Agricultural Bank of China Ltd,Climate regulation,12980378.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,12981425.0,0.0,
Agricultural Bank of China Ltd,Disease control,12982583.0,0.0,
Agricultural Bank of China Ltd,Fibres and other materials,12981822.0,0.0,
Agricultural Bank of China Ltd,Filtration,12981088.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,12980454.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,12984230.0,0.0,
Agricultural Bank of China Ltd,Ground water,12980842.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,12980874.0,0.0,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,12980209.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,12980745.0,0.0,
Agricultural Bank of China Ltd,Pest control,12981888.0,0.0,
Agricultural Bank of China Ltd,Pollination,12982543.0,0.0,
Agricultural Bank of China Ltd,Soil quality,12981698.0,0.0,
Agricultural Bank of China Ltd,Surface water,12980904.0,0.0,
Agricultural Bank of China Ltd,Ventilation,12981127.0,0.0,
Agricultural Bank of China Ltd,Water flow maintenance,12981217.0,0.0,
Agricultural Bank of China Ltd,Water quality,12981079.0,0.0,
BNP Paribas SA,Animal-based energy,11709583.0,0.0,
BNP Paribas SA,Bio-remediation,11679687.0,0.0,
BNP Paribas SA,Buffering and attenuation of mass flows,11704904.0,0.0,
BNP Paribas SA,Climate regulation,11685749.0,0.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,11680633.0,0.0,
BNP Paribas SA,Disease control,11705701.0,0.0,
BNP Paribas SA,Fibres and other materials,11687303.0,0.0,
BNP Paribas SA,Filtration,11679771.0,0.0,
BNP Paribas SA,Flood and storm protection,11680067.0,0.0,
BNP Paribas SA,Genetic materials,11721197.0,0.0,
BNP Paribas SA,Ground water,11684885.0,0.0,
BNP Paribas SA,Maintain nursery habitats,11695013.0,0.0,
BNP Paribas SA,Mass stabilisation and erosion control,11681122.0,0.0,
BNP Paribas SA,Mediation of sensory impacts,11687727.0,0.0,
BNP Paribas SA,Pest control,11701257.0,0.0,
BNP Paribas SA,Pollination,11706824.0,0.0,
BNP Paribas SA,Soil quality,11695877.0,0.0,
BNP Paribas SA,Surface water,11686877.0,0.0,
BNP Paribas SA,Ventilation,11678544.0,0.0,
BNP Paribas SA,Water flow maintenance,11688051.0,0.0,
BNP Paribas SA,Water quality,11674830.0,0.0,
Banco Santander SA,Animal-based energy,8564710.0,1.5118419708695954e-81,
Banco Santander SA,Bio-remediation,8491667.0,6.639140075643756e-76,
Banco Santander SA,Buffering and attenuation of mass flows,8531185.0,6.237562202152341e-79,
Banco Santander SA,Climate regulation,8526289.0,1.4905177917490692e-78,
Banco Santander SA,Dilution by atmosphere and ecosystems,8528240.0,1.0536380982647045e-78,
Banco Santander SA,Disease control,8572995.0,3.360638178606736e-82,
Banco Santander SA,Fibres and other materials,8555982.0,7.322043090167122e-81,
Banco Santander SA,Filtration,8484103.0,2.4809237067203066e-75,
Banco Santander SA,Flood and storm protection,8511033.0,2.2193899671913668e-77,
Banco Santander SA,Genetic materials,8597102.0,4.083087254337426e-84,
Banco Santander SA,Ground water,8525929.0,1.588979493853047e-78,
Banco Santander SA,Maintain nursery habitats,8707637.0,3.4653914203238943e-93,
Banco Santander SA,Mass stabilisation and erosion control,8516668.0,8.204654925222599e-78,
Banco Santander SA,Mediation of sensory impacts,8514171.0,1.2756111547051335e-77,
Banco Santander SA,Pest control,8530028.0,7.664822982675813e-79,
Banco Santander SA,Pollination,8563453.0,1.8982779693516528e-81,
Banco Santander SA,Soil quality,8520084.0,4.482007682442103e-78,
Banco Santander SA,Surface water,8526384.0,1.4655653728571025e-78,
Banco Santander SA,Ventilation,8538472.0,1.6990833358779577e-79,
Banco Santander SA,Water flow maintenance,8538148.0,1.8004082240474215e-79,
Banco Santander SA,Water quality,8530167.0,7.477458804478511e-79,
Bank of America Corp,Animal-based energy,9826429.0,1.0770602506199333e-211,
Bank of America Corp,Bio-remediation,9760655.0,2.208625958384259e-203,
Bank of America Corp,Buffering and attenuation of mass flows,9861169.0,3.75243561236661e-216,
Bank of America Corp,Climate regulation,9749798.0,5.011478308795617e-202,
Bank of America Corp,Dilution by atmosphere and ecosystems,9754786.0,1.1957023888272013e-202,
Bank of America Corp,Disease control,9853990.0,3.1577968307585794e-215,
Bank of America Corp,Fibres and other materials,9807207.0,3.0109962886797225e-209,
Bank of America Corp,Filtration,9785679.0,1.5908769925059618e-206,
Bank of America Corp,Flood and storm protection,9754673.0,1.2351866222742941e-202,
Bank of America Corp,Genetic materials,9989025.0,5.8036947494322645e-233,
Bank of America Corp,Ground water,9750424.0,4.187107623692802e-202,
Bank of America Corp,Maintain nursery habitats,9968166.0,3.5449845934311938e-230,
Bank of America Corp,Mass stabilisation and erosion control,9752367.0,2.396390406130401e-202,
Bank of America Corp,Mediation of sensory impacts,9752045.0,2.628644107466017e-202,
Bank of America Corp,Pest control,9839123.0,2.563000158559717e-213,
Bank of America Corp,Pollination,9839481.0,2.306065751470324e-213,
Bank of America Corp,Soil quality,9840949.0,1.4951973143383094e-213,
Bank of America Corp,Surface water,9753978.0,1.508346893419034e-202,
Bank of America Corp,Ventilation,9762132.0,1.443170581310752e-203,
Bank of America Corp,Water flow maintenance,9756087.0,8.22509694430743e-203,
Bank of America Corp,Water quality,9768190.0,2.514460727967454e-204,
Bank of China Ltd,Animal-based energy,12780224.0,0.0,
Bank of China Ltd,Bio-remediation,12772235.0,0.0,
Bank of China Ltd,Buffering and attenuation of mass flows,12775949.0,0.0,
Bank of China Ltd,Climate regulation,12771937.0,0.0,
Bank of China Ltd,Dilution by atmosphere and ecosystems,12774658.0,0.0,
Bank of China Ltd,Disease control,12779693.0,0.0,
