Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,12982526.0,0.0,
Agricultural Bank of China Ltd,Bio-remediation,12979811.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,12982092.0,0.0,
Agricultural Bank of China Ltd,Climate regulation,12980239.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,12981333.0,0.0,
Agricultural Bank of China Ltd,Disease control,12982608.0,0.0,
Agricultural Bank of China Ltd,Fibres and other materials,12981993.0,0.0,
Agricultural Bank of China Ltd,Filtration,12981094.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,12980438.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,12984197.0,0.0,
Agricultural Bank of China Ltd,Ground water,12980895.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,12980833.0,0.0,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,12980167.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,12980850.0,0.0,
Agricultural Bank of China Ltd,Pest control,12981910.0,0.0,
Agricultural Bank of China Ltd,Pollination,12982600.0,0.0,
Agricultural Bank of China Ltd,Soil quality,12981923.0,0.0,
Agricultural Bank of China Ltd,Surface water,12980935.0,0.0,
Agricultural Bank of China Ltd,Ventilation,12981188.0,0.0,
Agricultural Bank of China Ltd,Water flow maintenance,12981269.0,0.0,
Agricultural Bank of China Ltd,Water quality,12981091.0,0.0,
BNP Paribas SA,Animal-based energy,11708553.0,0.0,
BNP Paribas SA,Bio-remediation,11682498.0,0.0,
BNP Paribas SA,Buffering and attenuation of mass flows,11709311.0,0.0,
BNP Paribas SA,Climate regulation,11687859.0,0.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,11682377.0,0.0,
BNP Paribas SA,Disease control,11704838.0,0.0,
BNP Paribas SA,Fibres and other materials,11691523.0,0.0,
BNP Paribas SA,Filtration,11683076.0,0.0,
BNP Paribas SA,Flood and storm protection,11682057.0,0.0,
BNP Paribas SA,Genetic materials,11721996.0,0.0,
BNP Paribas SA,Ground water,11688172.0,0.0,
BNP Paribas SA,Maintain nursery habitats,11695649.0,0.0,
BNP Paribas SA,Mass stabilisation and erosion control,11683155.0,0.0,
BNP Paribas SA,Mediation of sensory impacts,11688816.0,0.0,
BNP Paribas SA,Pest control,11704838.0,0.0,
BNP Paribas SA,Pollination,11706434.0,0.0,
BNP Paribas SA,Soil quality,11697966.0,0.0,
BNP Paribas SA,Surface water,11690488.0,0.0,
BNP Paribas SA,Ventilation,11679864.0,0.0,
BNP Paribas SA,Water flow maintenance,11689801.0,0.0,
BNP Paribas SA,Water quality,11678714.0,0.0,
Banco Santander SA,Animal-based energy,8561446.0,2.7294047428029017e-81,
Banco Santander SA,Bio-remediation,8490602.0,7.995642861004267e-76,
Banco Santander SA,Buffering and attenuation of mass flows,8522547.0,2.896417677821769e-78,
Banco Santander SA,Climate regulation,8526880.0,1.3418961758749648e-78,
Banco Santander SA,Dilution by atmosphere and ecosystems,8528763.0,9.600263191671797e-79,
Banco Santander SA,Disease control,8571838.0,4.147485958549103e-82,
Banco Santander SA,Fibres and other materials,8551800.0,1.5554706458274143e-80,
Banco Santander SA,Filtration,8484297.0,2.398599385341758e-75,
Banco Santander SA,Flood and storm protection,8509500.0,2.9079918687547094e-77,
Banco Santander SA,Genetic materials,8590727.0,1.3173748129488262e-83,
Banco Santander SA,Ground water,8531617.0,5.775490656933321e-79,
Banco Santander SA,Maintain nursery habitats,8709832.0,2.263688923692971e-93,
Banco Santander SA,Mass stabilisation and erosion control,8516571.0,8.34660954773848e-78,
Banco Santander SA,Mediation of sensory impacts,8522870.0,2.7351297584205715e-78,
Banco Santander SA,Pest control,8526622.0,1.4048667912376776e-78,
Banco Santander SA,Pollination,8563445.0,1.9010290345892662e-81,
Banco Santander SA,Soil quality,8514309.0,1.2448940414310405e-77,
Banco Santander SA,Surface water,8531081.0,6.354198967362272e-79,
Banco Santander SA,Ventilation,8545454.0,4.8654467916301506e-80,
Banco Santander SA,Water flow maintenance,8541674.0,9.580388645408588e-80,
Banco Santander SA,Water quality,8525416.0,1.7405949418283278e-78,
Bank of America Corp,Animal-based energy,9835262.0,8.002234449072469e-213,
Bank of America Corp,Bio-remediation,9762363.0,1.3502274413747862e-203,
Bank of America Corp,Buffering and attenuation of mass flows,9882459.0,6.594103489795766e-219,
Bank of America Corp,Climate regulation,9748983.0,6.332277165016032e-202,
Bank of America Corp,Dilution by atmosphere and ecosystems,9761043.0,1.9750733256025348e-203,
Bank of America Corp,Disease control,9860702.0,4.310729536210043e-216,
Bank of America Corp,Fibres and other materials,9817784.0,1.3623978036843417e-210,
Bank of America Corp,Filtration,9789156.0,5.7952766333552736e-207,
Bank of America Corp,Flood and storm protection,9753728.0,1.6207214899543064e-202,
Bank of America Corp,Genetic materials,9974490.0,5.0906347840325273e-231,
Bank of America Corp,Ground water,9754392.0,1.3391118132531971e-202,
Bank of America Corp,Maintain nursery habitats,9969446.0,2.394117568143251e-230,
Bank of America Corp,Mass stabilisation and erosion control,9753545.0,1.7082463089996026e-202,
Bank of America Corp,Mediation of sensory impacts,9753731.0,1.6193246211265808e-202,
Bank of America Corp,Pest control,9846137.0,3.2285871523495766e-214,
Bank of America Corp,Pollination,9846784.0,2.6663730247805237e-214,
Bank of America Corp,Soil quality,9849781.0,1.0985406501374333e-214,
Bank of America Corp,Surface water,9757977.0,4.7750896310100794e-203,
Bank of America Corp,Ventilation,9766650.0,3.921863952336135e-204,
Bank of America Corp,Water flow maintenance,9760411.0,2.3694288417369105e-203,
Bank of America Corp,Water quality,9770960.0,1.1297384037209955e-204,
Bank of China Ltd,Animal-based energy,12780561.0,0.0,
Bank of China Ltd,Bio-remediation,12772539.0,0.0,
Bank of China Ltd,Buffering and attenuation of mass flows,12776752.0,0.0,
Bank of China Ltd,Climate regulation,12771964.0,0.0,
Bank of China Ltd,Dilution by atmosphere and ecosystems,12775058.0,0.0,
Bank of China Ltd,Disease control,12779929.0,0.0,
Bank of China Ltd,Fibres and other materials,12776951.0,0.0,
Bank of China Ltd,Filtration,12773652.0,0.0,
Bank of China Ltd,Flood and storm protection,12772294.0,0.0,
Bank of China Ltd,Genetic materials,12784855.0,0.0,
Bank of China Ltd,Ground water,12773655.0,0.0,
Bank of China Ltd,Maintain nursery habitats,12781833.0,0.0,
