Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,12982677.0,0.0,
Agricultural Bank of China Ltd,Bio-remediation,12979881.0,0.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,12982633.0,0.0,
Agricultural Bank of China Ltd,Climate regulation,12980228.0,0.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,12981299.0,0.0,
Agricultural Bank of China Ltd,Disease control,12982750.0,0.0,
Agricultural Bank of China Ltd,Fibres and other materials,12982301.0,0.0,
Agricultural Bank of China Ltd,Filtration,12981319.0,0.0,
Agricultural Bank of China Ltd,Flood and storm protection,12980571.0,0.0,
Agricultural Bank of China Ltd,Genetic materials,12983011.0,0.0,
Agricultural Bank of China Ltd,Ground water,12981077.0,0.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,12980836.0,0.0,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,12980216.0,0.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,12981002.0,0.0,
Agricultural Bank of China Ltd,Pest control,12982242.0,0.0,
Agricultural Bank of China Ltd,Pollination,12982774.0,0.0,
Agricultural Bank of China Ltd,Soil quality,12982423.0,0.0,
Agricultural Bank of China Ltd,Surface water,12981100.0,0.0,
Agricultural Bank of China Ltd,Ventilation,12981450.0,0.0,
Agricultural Bank of China Ltd,Water flow maintenance,12981452.0,0.0,
Agricultural Bank of China Ltd,Water quality,12981242.0,0.0,
BNP Paribas SA,Animal-based energy,11701337.0,0.0,
BNP Paribas SA,Bio-remediation,11686450.0,0.0,
BNP Paribas SA,Buffering and attenuation of mass flows,11715589.0,0.0,
BNP Paribas SA,Climate regulation,11691794.0,0.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,11685196.0,0.0,
BNP Paribas SA,Disease control,11699921.0,0.0,
BNP Paribas SA,Fibres and other materials,11701238.0,0.0,
BNP Paribas SA,Filtration,11688561.0,0.0,
BNP Paribas SA,Flood and storm protection,11685348.0,0.0,
BNP Paribas SA,Genetic materials,11724570.0,0.0,
BNP Paribas SA,Ground water,11693074.0,0.0,
BNP Paribas SA,Maintain nursery habitats,11697259.0,0.0,
BNP Paribas SA,Mass stabilisation and erosion control,11687437.0,0.0,
BNP Paribas SA,Mediation of sensory impacts,11691583.0,0.0,
BNP Paribas SA,Pest control,11714283.0,0.0,
BNP Paribas SA,Pollination,11700999.0,0.0,
BNP Paribas SA,Soil quality,11705222.0,0.0,
BNP Paribas SA,Surface water,11695898.0,0.0,
BNP Paribas SA,Ventilation,11682394.0,0.0,
BNP Paribas SA,Water flow maintenance,11692751.0,0.0,
BNP Paribas SA,Water quality,11685012.0,0.0,
Banco Santander SA,Animal-based energy,8546991.0,3.692444243707352e-80,
Banco Santander SA,Bio-remediation,8489320.0,9.999727789895058e-76,
Banco Santander SA,Buffering and attenuation of mass flows,8514981.0,1.1055362993642263e-77,
Banco Santander SA,Climate regulation,8526315.0,1.4836469052283095e-78,
Banco Santander SA,Dilution by atmosphere and ecosystems,8528104.0,1.0794373426921063e-78,
Banco Santander SA,Disease control,8565642.0,1.2769449831049536e-81,
Banco Santander SA,Fibres and other materials,8539570.0,1.3961512704922905e-79,
Banco Santander SA,Filtration,8486012.0,1.7796513108442604e-75,
Banco Santander SA,Flood and storm protection,8509598.0,2.8582056676735833e-77,
Banco Santander SA,Genetic materials,8506221.0,5.179797004453776e-77,
Banco Santander SA,Ground water,8536148.0,2.5737521192875144e-79,
Banco Santander SA,Maintain nursery habitats,8712410.0,1.3720615091894822e-93,
Banco Santander SA,Mass stabilisation and erosion control,8516917.0,7.851181067827796e-78,
Banco Santander SA,Mediation of sensory impacts,8534979.0,3.171077040936533e-79,
Banco Santander SA,Pest control,8530239.0,7.382209623920941e-79,
Banco Santander SA,Pollination,8556120.0,7.142045548002049e-81,
Banco Santander SA,Soil quality,8503548.0,8.286817087154963e-77,
Banco Santander SA,Surface water,8534485.0,3.4633298561440425e-79,
Banco Santander SA,Ventilation,8566673.0,1.0592755258030052e-81,
Banco Santander SA,Water flow maintenance,8550142.0,2.0960798906761696e-80,
Banco Santander SA,Water quality,8518422.0,6.015710939848417e-78,
Bank of America Corp,Animal-based energy,9871448.0,1.7631824957231337e-217,
Bank of America Corp,Bio-remediation,9763526.0,9.656517217446283e-204,
Bank of America Corp,Buffering and attenuation of mass flows,9903825.0,1.0875786159375691e-221,
Bank of America Corp,Climate regulation,9744756.0,2.128452165218481e-201,
Bank of America Corp,Dilution by atmosphere and ecosystems,9769966.0,1.5055628170921578e-204,
Bank of America Corp,Disease control,9887653.0,1.3941959950405105e-219,
Bank of America Corp,Fibres and other materials,9860526.0,4.5420353943993545e-216,
Bank of America Corp,Filtration,9792559.0,2.15471984346316e-207,
Bank of America Corp,Flood and storm protection,9749414.0,5.595471659878829e-202,
Bank of America Corp,Genetic materials,9793780.0,1.5104637594904971e-207,
Bank of America Corp,Ground water,9757385.0,5.66197704421127e-203,
Bank of America Corp,Maintain nursery habitats,9969634.0,2.2599690737584778e-230,
Bank of America Corp,Mass stabilisation and erosion control,9752647.0,2.211160132100064e-202,
Bank of America Corp,Mediation of sensory impacts,9755616.0,9.41828598839329e-203,
Bank of America Corp,Pest control,9866752.0,7.136998802693422e-217,
Bank of America Corp,Pollination,9879883.0,1.423818132292024e-218,
