Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,43844.0,1.0,
Agricultural Bank of China Ltd,Bio-remediation,3359546.0,1.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,276202.0,1.0,
Agricultural Bank of China Ltd,Climate regulation,3645450.0,1.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,1888981.0,1.0,
Agricultural Bank of China Ltd,Disease control,165752.0,1.0,
Agricultural Bank of China Ltd,Fibres and other materials,313062.0,1.0,
Agricultural Bank of China Ltd,Filtration,4215812.0,1.0,
Agricultural Bank of China Ltd,Flood and storm protection,3978473.0,1.0,
Agricultural Bank of China Ltd,Genetic materials,230748.0,1.0,
Agricultural Bank of China Ltd,Ground water,8121691.0,1.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,1157.0,0.38135012475332114,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,7338788.0,1.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,735362.0,1.0,
Agricultural Bank of China Ltd,Pest control,372072.0,1.0,
Agricultural Bank of China Ltd,Pollination,146028.0,1.0,
Agricultural Bank of China Ltd,Soil quality,777680.0,1.0,
Agricultural Bank of China Ltd,Surface water,8117731.0,1.0,
Agricultural Bank of China Ltd,Ventilation,801521.0,1.0,
Agricultural Bank of China Ltd,Water flow maintenance,3906772.0,1.0,
Agricultural Bank of China Ltd,Water quality,3274923.0,1.0,
BNP Paribas SA,Animal-based energy,185363.0,3.394850012015862e-24,
BNP Paribas SA,Bio-remediation,3598676.0,1.0,
BNP Paribas SA,Buffering and attenuation of mass flows,525864.0,0.29153276546502604,
BNP Paribas SA,Climate regulation,3805776.0,1.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,2267943.0,1.0,
BNP Paribas SA,Disease control,402130.0,0.007342498071760222,
BNP Paribas SA,Fibres and other materials,583997.0,0.9116381212578487,
BNP Paribas SA,Filtration,4508069.0,1.0,
BNP Paribas SA,Flood and storm protection,4211119.0,1.0,
BNP Paribas SA,Genetic materials,462557.0,0.04021372044718045,
BNP Paribas SA,Ground water,8097899.0,1.0,
BNP Paribas SA,Maintain nursery habitats,24771.0,1.2493078905018575e-105,
BNP Paribas SA,Mass stabilisation and erosion control,7142593.0,1.0,
BNP Paribas SA,Mediation of sensory impacts,1032542.0,0.999999999999992,
BNP Paribas SA,Pest control,643745.0,0.934463452874015,
BNP Paribas SA,Pollination,362866.0,3.863887654882342e-05,
BNP Paribas SA,Soil quality,1105494.0,1.0,
BNP Paribas SA,Surface water,8096509.0,1.0,
BNP Paribas SA,Ventilation,1115297.0,1.0,
BNP Paribas SA,Water flow maintenance,4153385.0,1.0,
BNP Paribas SA,Water quality,3582251.0,1.0,
Banco Santander SA,Animal-based energy,718005.0,4.3850709636154367e-302,
Banco Santander SA,Bio-remediation,4892814.0,0.9999999314292422,
Banco Santander SA,Buffering and attenuation of mass flows,1529039.0,3.1235238755396174e-149,
Banco Santander SA,Climate regulation,4831273.0,0.994197028946086,
Banco Santander SA,Dilution by atmosphere and ecosystems,3806269.0,0.22391399814238905,
Banco Santander SA,Disease control,1291564.0,4.73939457953925e-179,
Banco Santander SA,Fibres and other materials,1692234.0,2.0172837851978663e-119,
Banco Santander SA,Filtration,5629340.0,1.0,
Banco Santander SA,Flood and storm protection,5373829.0,1.0,
Banco Santander SA,Genetic materials,1240887.0,2.626380442839952e-197,
Banco Santander SA,Ground water,8085897.0,1.0,
Banco Santander SA,Maintain nursery habitats,98030.0,0.0,
Banco Santander SA,Mass stabilisation and erosion control,7294668.0,1.0,
Banco Santander SA,Mediation of sensory impacts,2274192.0,4.111480203462769e-71,
Banco Santander SA,Pest control,1748537.0,2.2063368517980876e-120,
Banco Santander SA,Pollination,1170197.0,2.562226169012684e-203,
Banco Santander SA,Soil quality,2424651.0,3.2984884344624424e-54,
Banco Santander SA,Surface water,8046321.0,1.0,
Banco Santander SA,Ventilation,2432852.0,5.862253355626172e-54,
Banco Santander SA,Water flow maintenance,5406166.0,1.0,
Banco Santander SA,Water quality,5042689.0,0.9999999999999999,
Bank of America Corp,Animal-based energy,859498.0,0.0,
Bank of America Corp,Bio-remediation,5721731.0,1.0,
Bank of America Corp,Buffering and attenuation of mass flows,1877240.0,6.415264635392743e-131,
Bank of America Corp,Climate regulation,5559531.0,1.0,
Bank of America Corp,Dilution by atmosphere and ecosystems,4535630.0,0.9999999980769094,
Bank of America Corp,Disease control,1560257.0,7.794587255113193e-171,
Bank of America Corp,Fibres and other materials,2050603.0,2.643710260473767e-102,
Bank of America Corp,Filtration,6598893.0,1.0,
Bank of America Corp,Flood and storm protection,6138185.0,1.0,
Bank of America Corp,Genetic materials,1504310.0,1.0712203317266258e-186,
Bank of America Corp,Ground water,9072629.0,1.0,
Bank of America Corp,Maintain nursery habitats,147265.0,0.0,
Bank of America Corp,Mass stabilisation and erosion control,7952955.0,1.0,
Bank of America Corp,Mediation of sensory impacts,2819541.0,2.365908047750381e-42,
Bank of America Corp,Pest control,2152600.0,1.4087951061354798e-97,
Bank of America Corp,Pollination,1417545.0,6.509963299475443e-197,
Bank of America Corp,Soil quality,2952816.0,1.844544633864974e-31,
Bank of America Corp,Surface water,9011179.0,1.0,
Bank of America Corp,Ventilation,2983072.0,2.264827839957429e-27,
Bank of America Corp,Water flow maintenance,6305356.0,1.0,
Bank of America Corp,Water quality,5903741.0,1.0,
Bank of China Ltd,Animal-based energy,52160.0,0.9999998359676389,
Bank of China Ltd,Bio-remediation,3337717.0,1.0,
Bank of China Ltd,Buffering and attenuation of mass flows,285981.0,1.0,
Bank of China Ltd,Climate regulation,3633271.0,1.0,
Bank of China Ltd,Dilution by atmosphere and ecosystems,1898589.0,1.0,
Bank of China Ltd,Disease control,178825.0,1.0,
Bank of China Ltd,Fibres and other materials,324970.0,1.0,
Bank of China Ltd,Filtration,4207260.0,1.0,
Bank of China Ltd,Flood and storm protection,3971890.0,1.0,
Bank of China Ltd,Genetic materials,245478.0,1.0,
Bank of China Ltd,Ground water,8097042.0,1.0,
Bank of China Ltd,Maintain nursery habitats,3035.0,1.0499560851169777e-06,
Bank of China Ltd,Mass stabilisation and erosion control,7225157.0,1.0,
Bank of China Ltd,Mediation of sensory impacts,740521.0,1.0,
Bank of China Ltd,Pest control,383616.0,1.0,
Bank of China Ltd,Pollination,157933.0,1.0,
Bank of China Ltd,Soil quality,789430.0,1.0,
Bank of China Ltd,Surface water,8096215.0,1.0,
Bank of China Ltd,Ventilation,811244.0,1.0,
Bank of China Ltd,Water flow maintenance,3907597.0,1.0,
Bank of China Ltd,Water quality,3271216.0,1.0,
Bank of Communications Co Ltd,Animal-based energy,45880.0,1.0,
Bank of Communications Co Ltd,Bio-remediation,3365498.0,1.0,
Bank of Communications Co Ltd,Buffering and attenuation of mass flows,280086.0,1.0,
Bank of Communications Co Ltd,Climate regulation,3642200.0,1.0,
Bank of Communications Co Ltd,Dilution by atmosphere and ecosystems,1891807.0,1.0,
Bank of Communications Co Ltd,Disease control,168938.0,1.0,
Bank of Communications Co Ltd,Fibres and other materials,315556.0,1.0,
Bank of Communications Co Ltd,Filtration,4215205.0,1.0,
Bank of Communications Co Ltd,Flood and storm protection,3975103.0,1.0,
Bank of Communications Co Ltd,Genetic materials,233023.0,1.0,
Bank of Communications Co Ltd,Ground water,8100535.0,1.0,
Bank of Communications Co Ltd,Maintain nursery habitats,1528.0,0.012668785266199783,
Bank of Communications Co Ltd,Mass stabilisation and erosion control,7296075.0,1.0,
Bank of Communications Co Ltd,Mediation of sensory impacts,741068.0,1.0,
Bank of Communications Co Ltd,Pest control,374695.0,1.0,
Bank of Communications Co Ltd,Pollination,148875.0,1.0,
Bank of Communications Co Ltd,Soil quality,780895.0,1.0,
Bank of Communications Co Ltd,Surface water,8104274.0,1.0,
Bank of Communications Co Ltd,Ventilation,805799.0,1.0,
Bank of Communications Co Ltd,Water flow maintenance,3904395.0,1.0,
Bank of Communications Co Ltd,Water quality,3266777.0,1.0,
Bank of New York Mellon Corp,Animal-based energy,1026036.0,0.0,
Bank of New York Mellon Corp,Bio-remediation,6131221.0,0.994725313184259,
Bank of New York Mellon Corp,Buffering and attenuation of mass flows,2181411.0,3.5101423764437035e-263,
Bank of New York Mellon Corp,Climate regulation,5755143.0,0.008987532669105286,
Bank of New York Mellon Corp,Dilution by atmosphere and ecosystems,5032969.0,8.495829456846517e-10,
Bank of New York Mellon Corp,Disease control,1833300.0,0.0,
Bank of New York Mellon Corp,Fibres and other materials,2411886.0,1.1842737280664014e-223,
Bank of New York Mellon Corp,Filtration,6904009.0,1.0,
Bank of New York Mellon Corp,Flood and storm protection,6394185.0,0.9999975462031787,
Bank of New York Mellon Corp,Genetic materials,1630967.0,0.0,
Bank of New York Mellon Corp,Ground water,8846864.0,1.0,
Bank of New York Mellon Corp,Maintain nursery habitats,143764.0,0.0,
Bank of New York Mellon Corp,Mass stabilisation and erosion control,7807898.0,1.0,
Bank of New York Mellon Corp,Mediation of sensory impacts,3231467.0,1.9160295059660866e-130,
Bank of New York Mellon Corp,Pest control,2505974.0,7.793591199322553e-216,
Bank of New York Mellon Corp,Pollination,1630865.0,0.0,
Bank of New York Mellon Corp,Soil quality,3327589.0,1.8710763440552083e-116,
Bank of New York Mellon Corp,Surface water,8775067.0,1.0,
Bank of New York Mellon Corp,Ventilation,3402602.0,2.141510981160414e-110,
Bank of New York Mellon Corp,Water flow maintenance,6603179.0,0.999999999998634,
Bank of New York Mellon Corp,Water quality,6355606.0,0.9999999692651395,
Barclays PLC,Animal-based energy,714279.0,8.92492348934026e-150,
Barclays PLC,Bio-remediation,5045342.0,1.0,
Barclays PLC,Buffering and attenuation of mass flows,1481569.0,1.1156537582268653e-39,
Barclays PLC,Climate regulation,5011110.0,1.0,
Barclays PLC,Dilution by atmosphere and ecosystems,3748114.0,1.0,
Barclays PLC,Disease control,1215494.0,9.087597919473193e-62,
Barclays PLC,Fibres and other materials,1580603.0,7.564241928445178e-27,
Barclays PLC,Filtration,5949555.0,1.0,
Barclays PLC,Flood and storm protection,5509959.0,1.0,
Barclays PLC,Genetic materials,1186927.0,3.0821059544218744e-75,
Barclays PLC,Ground water,8739705.0,1.0,
Barclays PLC,Maintain nursery habitats,219371.0,4.858052751365038e-305,
Barclays PLC,Mass stabilisation and erosion control,7830753.0,1.0,
Barclays PLC,Mediation of sensory impacts,2265366.0,0.00048355434045521114,
Barclays PLC,Pest control,1707988.0,1.8973747084515163e-23,
Barclays PLC,Pollination,1127632.0,1.0895155333378363e-74,
Barclays PLC,Soil quality,2370453.0,0.06514739178321896,
Barclays PLC,Surface water,8704968.0,1.0,
Barclays PLC,Ventilation,2373835.0,0.17656209304597004,
Barclays PLC,Water flow maintenance,5468407.0,1.0,
Barclays PLC,Water quality,5044913.0,1.0,
China Construction Bank Corp,Animal-based energy,54206.0,1.0,
China Construction Bank Corp,Bio-remediation,3395230.0,1.0,
China Construction Bank Corp,Buffering and attenuation of mass flows,299925.0,1.0,
China Construction Bank Corp,Climate regulation,3649745.0,1.0,
China Construction Bank Corp,Dilution by atmosphere and ecosystems,1918873.0,1.0,
China Construction Bank Corp,Disease control,184515.0,1.0,
China Construction Bank Corp,Fibres and other materials,336838.0,1.0,
China Construction Bank Corp,Filtration,4260395.0,1.0,
China Construction Bank Corp,Flood and storm protection,4010422.0,1.0,
China Construction Bank Corp,Genetic materials,248064.0,1.0,
China Construction Bank Corp,Ground water,8111779.0,1.0,
China Construction Bank Corp,Maintain nursery habitats,2586.0,0.0009775174831911646,
China Construction Bank Corp,Mass stabilisation and erosion control,7290107.0,1.0,
China Construction Bank Corp,Mediation of sensory impacts,756085.0,1.0,
China Construction Bank Corp,Pest control,398394.0,1.0,
China Construction Bank Corp,Pollination,163391.0,1.0,
China Construction Bank Corp,Soil quality,814013.0,1.0,
China Construction Bank Corp,Surface water,8111539.0,1.0,
China Construction Bank Corp,Ventilation,825622.0,1.0,
China Construction Bank Corp,Water flow maintenance,3912364.0,1.0,
China Construction Bank Corp,Water quality,3311981.0,1.0,
Citigroup Inc,Animal-based energy,418472.0,6.9751427285784355e-118,
Citigroup Inc,Bio-remediation,4230820.0,1.0,
Citigroup Inc,Buffering and attenuation of mass flows,996704.0,7.4045510597532334e-31,
Citigroup Inc,Climate regulation,4140258.0,1.0,
Citigroup Inc,Dilution by atmosphere and ecosystems,3001058.0,1.0,
Citigroup Inc,Disease control,799238.0,5.407381075590584e-47,
Citigroup Inc,Fibres and other materials,1090625.0,8.686089773630056e-19,
Citigroup Inc,Filtration,5151555.0,1.0,
Citigroup Inc,Flood and storm protection,4654886.0,1.0,
Citigroup Inc,Genetic materials,868811.0,8.056177683159234e-43,
Citigroup Inc,Ground water,8146378.0,1.0,
Citigroup Inc,Maintain nursery habitats,58173.0,4.157988234941791e-264,
Citigroup Inc,Mass stabilisation and erosion control,7052359.0,1.0,
Citigroup Inc,Mediation of sensory impacts,1632702.0,0.043465707664044353,
Citigroup Inc,Pest control,1174419.0,8.73854694688431e-19,
Citigroup Inc,Pollination,724618.0,3.6003818976442085e-59,
Citigroup Inc,Soil quality,1760670.0,0.07885427532888678,
Citigroup Inc,Surface water,8120073.0,1.0,
Citigroup Inc,Ventilation,1713800.0,0.327631631166132,
Citigroup Inc,Water flow maintenance,4700906.0,1.0,
Citigroup Inc,Water quality,4205477.0,1.0,
Credite Agricole SA,Animal-based energy,270122.0,4.646519336134738e-50,
Credite Agricole SA,Bio-remediation,3811143.0,1.0,
Credite Agricole SA,Buffering and attenuation of mass flows,681072.0,4.174896850042312e-08,
Credite Agricole SA,Climate regulation,3882531.0,1.0,
Credite Agricole SA,Dilution by atmosphere and ecosystems,2542167.0,1.0,
Credite Agricole SA,Disease control,549917.0,1.3299777880622323e-11,
Credite Agricole SA,Fibres and other materials,761773.0,0.004732410733813978,
Credite Agricole SA,Filtration,4644047.0,1.0,
Credite Agricole SA,Flood and storm protection,4394197.0,1.0,
Credite Agricole SA,Genetic materials,618790.0,1.0186513196744975e-09,
Credite Agricole SA,Ground water,8032367.0,1.0,
Credite Agricole SA,Maintain nursery habitats,36176.0,3.2978825275020235e-160,
Credite Agricole SA,Mass stabilisation and erosion control,6992302.0,1.0,
Credite Agricole SA,Mediation of sensory impacts,1206474.0,0.9982567167954013,
