Bank,service,statistic,p-value,z
Agricultural Bank of China Ltd,Animal-based energy,43875.0,1.0,
Agricultural Bank of China Ltd,Bio-remediation,3374294.0,1.0,
Agricultural Bank of China Ltd,Buffering and attenuation of mass flows,275156.0,1.0,
Agricultural Bank of China Ltd,Climate regulation,3662134.0,1.0,
Agricultural Bank of China Ltd,Dilution by atmosphere and ecosystems,1895592.0,1.0,
Agricultural Bank of China Ltd,Disease control,165747.0,1.0,
Agricultural Bank of China Ltd,Fibres and other materials,313276.0,1.0,
Agricultural Bank of China Ltd,Filtration,4226463.0,1.0,
Agricultural Bank of China Ltd,Flood and storm protection,4003006.0,1.0,
Agricultural Bank of China Ltd,Genetic materials,230187.0,1.0,
Agricultural Bank of China Ltd,Ground water,8152590.0,1.0,
Agricultural Bank of China Ltd,Maintain nursery habitats,1152.0,0.3700082404164623,
Agricultural Bank of China Ltd,Mass stabilisation and erosion control,7370591.0,1.0,
Agricultural Bank of China Ltd,Mediation of sensory impacts,739650.0,1.0,
Agricultural Bank of China Ltd,Pest control,371613.0,1.0,
Agricultural Bank of China Ltd,Pollination,146092.0,1.0,
Agricultural Bank of China Ltd,Soil quality,775918.0,1.0,
Agricultural Bank of China Ltd,Surface water,8152539.0,1.0,
Agricultural Bank of China Ltd,Ventilation,805631.0,1.0,
Agricultural Bank of China Ltd,Water flow maintenance,3915790.0,1.0,
Agricultural Bank of China Ltd,Water quality,3278841.0,1.0,
BNP Paribas SA,Animal-based energy,189450.0,4.306590867481952e-27,
BNP Paribas SA,Bio-remediation,3804398.0,1.0,
BNP Paribas SA,Buffering and attenuation of mass flows,557110.0,0.054132931047248437,
BNP Paribas SA,Climate regulation,4047800.0,1.0,
BNP Paribas SA,Dilution by atmosphere and ecosystems,2408165.0,1.0,
BNP Paribas SA,Disease control,413942.0,7.295716457251908e-05,
BNP Paribas SA,Fibres and other materials,613575.0,0.34961006504954134,
BNP Paribas SA,Filtration,4782834.0,1.0,
BNP Paribas SA,Flood and storm protection,4449706.0,1.0,
BNP Paribas SA,Genetic materials,487798.0,0.0007903913156968537,
BNP Paribas SA,Ground water,8678871.0,1.0,
BNP Paribas SA,Maintain nursery habitats,24878.0,2.776533849058845e-106,
BNP Paribas SA,Mass stabilisation and erosion control,7591589.0,1.0,
BNP Paribas SA,Mediation of sensory impacts,1078997.0,0.9999228066075547,
BNP Paribas SA,Pest control,673115.0,0.3727181534641215,
BNP Paribas SA,Pollination,373423.0,1.347792978310143e-07,
